city,total,adequada,semi_adequada,inadequada
alta floresta d'oeste,6658,18,5259,1380
alto alegre dos parecis,3001,0,2003,998
alto paraiso,3040,16,2387,637
alvorada d'oeste,4981,45,4033,903
ariquemes,18527,808,16433,1286
buritis,5975,0,4579,1396
cabixi,1952,7,1620,325
cacaulandia,1325,11,1053,261
cacoal,19322,3008,15086,1229
campo novo de rondonia,2676,0,1900,777
candeias do jamari,3167,656,2382,129
castanheiras,1057,4,828,225
cerejeiras,4826,17,4288,521
chupinguaia,1449,5,1270,173
colorado do oeste,5760,31,5094,636
corumbiara,2627,0,2095,532
costa marques,2387,134,1659,594
cujubim,1612,6,1259,346
espigao d'oeste,6591,40,5648,904
governador jorge teixeira,2958,0,2199,759
guajara-mirim,9033,520,7293,1219
itapua do oeste,1698,272,1141,285
jaru,13566,379,11277,1910
ji-parana,28084,1244,24863,1978
machadinho d'oeste,5564,28,4396,1140
ministro andreazza,2708,0,2205,503
mirante da serra,3124,0,2447,677
monte negro,3029,0,2403,626
nova brasilandia d'oeste,4221,0,3256,965
nova mamore,3264,63,2425,776
nova uniao,1997,0,1475,522
novo horizonte do oeste,3060,4,2327,730
ouro preto do oeste,10659,273,9064,1322
parecis,861,0,646,215
pimenta bueno,8427,733,7290,404
pimenteiras do oeste,654,0,557,97
porto velho,83744,15269,63460,5016
presidente medici,6803,83,5727,994
primavera de rondonia,1100,0,956,144
rio crespo,772,0,619,153
rolim de moura,12628,64,11459,1105
santa luzia d'oeste,2965,13,2332,620
sao felipe d'oeste,1712,0,1255,457
sao francisco do guapore,2702,0,2003,699
sao miguel do guapore,5791,0,4313,1478
seringueiras,2793,0,1944,849
teixeiropolis,1383,0,1074,309
theobroma,2535,0,1952,583
urupa,3555,10,2719,826
vale do anari,1938,0,1288,650
vale do paraiso,2426,0,1804,622
vilhena,14506,910,13385,211
