city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
mafra,4.71,3.45,1.3,1.07,3.86,2.63,16.04,10.67
navegantes,7.55,4.2,2.22,1.11,7.62,3.65,21.35,13.38
rio do sul,5.02,2.81,0.91,0.75,4.26,2.08,17.08,9.35
sao bento do sul,3.37,2.43,0.89,0.54,3.05,1.75,14.15,10.35
tubarao,5.4,3.34,1.34,0.75,4.17,2.46,20.62,10.68
de 100.001 a 500.000 ,4.31,2.75,1.17,0.68,3.67,2.09,17.08,10.09
balneario camboriu,3,1.5,1.17,0.41,2.82,1.27,8.27,4.18
blumenau,2.79,1.77,0.77,0.49,2.21,1.3,11.71,6.66
brusque,3.93,2.68,0.85,0.52,3.29,2.17,14.71,10.2
chapeco,7.11,4.5,1.7,0.81,6.01,3.2,32.33,20.89
criciuma,4.69,3.0,1.18,0.69,3.73,2.31,21.49,11.32
florianopolis,3.56,2.09,1.05,0.62,3.07,1.57,12.36,6.72
itajai,4.97,2.97,1.5,0.77,4.53,2.38,16.55,10.84
jaragua do sul,2.65,1.77,0.6,0.49,2.23,1.34,11.68,7.61
lages,7.21,5.02,2.05,1.2,6.54,3.93,22.78,15.38
palhoca,6.46,3.9,1.62,0.89,6.01,3.11,26.79,16.17
sao jose,4.47,2.69,1.26,0.72,3.74,1.94,19.84,10.55
mais de 500.000 ,-,2.26,-,0.56,-,1.65,-,9.26
joinville,3.41,2.26,0.89,0.56,2.84,1.65,14.84,9.26
