city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
santa catarina,9.75,4.85,12.05,4.27,2.42,0.57
ate 5.000 ,16.37,9.05,48.47,20.44,9.95,3.02
abdon batista,17.99,10.14,56.47,29.47,10.79,3.86
agronomica,7.55,4.47,56.52,23.53,4.35,0.71
aguas frias,12.94,8.02,36.86,27.16,6.67,3.7
alto bela vista,0,0.76,33.75,19.08,0,0.0
anitapolis,16.62,6.48,41.84,4.45,10.39,0.4
arabuta,7.06,3.96,62.65,5.61,4.71,0.66
arroio trinta,8.98,3.0,38.02,11.0,5.99,1.0
arvoredo,29.15,7.28,68.16,41.72,21.52,5.3
atalanta,6.76,4.19,58.03,11.16,4.79,0.93
bandeirante,22.82,12.56,82.28,42.79,19.82,5.58
barra bonita,17.39,13.85,64.73,24.62,13.04,1.54
belmonte,19.77,12.32,47.67,18.01,11.24,3.79
bocaina do sul,23.42,18.87,45.65,33.96,12.31,6.79
bom jardim da serra,14.73,12.15,35.89,24.86,3.32,1.13
bom jesus,19.34,11.36,41.56,22.27,12.35,6.82
bom jesus do oeste,14.01,7.43,66.67,18.24,10.63,0.0
botuvera,5.1,5.17,32.17,1.72,2.55,0.34
braco do trombudo,12.01,1.77,13.78,1.06,1.77,0.0
brunopolis,23.28,8.17,56.77,32.21,13.3,1.92
calmon,24.2,15.68,49.24,22.11,16.24,5.91
capao alto,19.25,13.15,50.29,27.7,14.08,4.23
caxambu do sul,26.11,12.75,23.98,34.23,6.38,1.34
celso ramos,15.28,9.84,64.12,15.03,9.63,3.11
cerro negro,31.49,17.82,71.98,43.27,24.13,8.73
chapadao do lageado,9.97,9.41,89.73,29.02,9.97,3.92
cordilheira alta,16.85,4.42,54.21,28.51,13.19,2.81
coronel martins,18.09,9.8,74.74,38.56,16.38,6.54
cunhatai,10.44,5.3,53.3,50.76,6.59,4.55
dona emma,9.2,1.92,12.64,14.06,2.01,0.0
doutor pedrinho,4.73,4.85,25.68,6.47,2.03,0.97
entre rios,34.33,13.48,88.84,58.8,32.62,10.11
ermo,11.82,1.8,16.82,2.4,3.18,0.0
erval velho,15.78,7.21,28.07,8.52,5.88,2.3
flor do sertao,34.22,15.89,65.24,11.21,32.09,3.74
formosa do sul,18.39,11.59,73.58,4.88,15.05,1.83
frei rogerio,10.38,4.65,60.93,33.14,7.38,1.16
galvao,29.53,12.64,46.23,24.16,12.83,2.23
guaruja do sul,17.53,8.44,34.16,8.12,8.76,1.95
guatambu,27.97,12.9,73.03,40.86,20.44,7.53
ibiam,11.17,10.48,69.54,22.58,7.11,6.45
ibicare,9.52,8.93,20.95,12.05,3.49,2.23
iomere,4.33,1.23,45.19,0.0,3.37,0.0
ipira,10.84,3.36,30.88,6.71,5.73,0.67
iraceminha,17.98,5.74,59.21,25.34,10.96,3.04
irati,23.05,10.69,62.55,14.5,15.64,2.29
jabora,15.35,8.71,58.51,38.26,7.19,5.3
jardinopolis,17.25,11.21,45.88,24.3,7.84,2.8
jose boiteux,19.19,8.91,38.7,8.02,9.76,1.11
jupia,16.96,9.58,84.78,49.7,15.22,2.4
lacerdopolis,9.63,5.44,31.55,1.36,3.74,0.68
lajeado grande,17.27,8.6,73.38,34.41,14.39,1.08
leoberto leal,20.55,8.7,82.71,50.72,18.55,6.16
lindoia do sul,11.98,6.99,54.03,7.9,8.31,2.13
macieira,13.74,10.0,82.46,29.29,13.27,2.86
major gercino,12.68,7.11,61.97,7.95,10.21,2.09
marema,19.38,11.61,50.17,41.07,10.73,8.04
matos costa,23.61,21.66,34.95,32.48,12.96,8.28
mirim doce,18.06,10.67,24.75,16.29,5.69,5.62
modelo,14.25,7.75,34.11,9.15,6.54,1.41
morro grande,16.78,5.66,13.29,0.0,5.59,0.0
nova erechim,11.02,6.01,21.49,0.0,3.31,0.0
nova itaberaba,21.99,11.0,41.23,38.0,15.86,6.0
novo horizonte,15.32,18.09,80.48,53.77,14.11,11.06
ouro verde,10.34,10.34,67.82,35.06,8.43,4.6
paial,16.67,5.88,79.28,21.01,14.86,1.68
painel,24.68,10.66,51.91,27.41,7.66,3.55
palmeira,21.67,14.43,42.36,28.35,11.82,6.19
paraiso,20.08,15.0,68.26,43.46,14.53,7.31
passos maia,31.44,15.37,47.42,26.95,17.01,5.54
pedras grandes,5.47,4.36,42.29,9.45,3.23,0.73
peritiba,7.63,1.63,8.84,9.24,3.61,0.0
pinheiro preto,8,2.74,16.36,5.02,0.36,0.46
piratuba,8.21,5.31,36.55,13.86,3.29,0.29
planalto alegre,23.44,16.15,66.67,31.68,18.68,6.83
ponte alta,28.57,14.25,18.51,4.68,4.81,1.78
ponte alta do norte,25.89,12.13,5.8,0.33,3.13,0.0
presidente castello branco,4.08,3.53,53.06,0.0,3.06,0.0
presidente nereu,16.88,13.13,59.31,14.38,11.69,4.38
princesa,18.85,8.7,64.62,12.56,9.62,2.42
rancho queimado,22.18,5.41,20.56,5.95,6.45,0.0
rio fortuna,6.42,3.44,50.27,15.46,4.01,0.69
rio rufino,16.96,12.38,60.55,5.45,11.42,0.99
riqueza,14.7,11.58,72.13,22.03,12.67,3.67
saltinho,28.94,17.35,81.44,44.41,24.55,9.12
salto veloso,14.65,7.01,7.21,4.14,2.79,0.0
santa helena,17.22,12.42,64.1,23.53,13.55,2.61
santa rosa de lima,9.05,2.4,45.73,11.2,6.03,0.0
santa terezinha do progresso,19.42,14.67,83.25,47.11,17.72,8.89
santiago do sul,17.98,14.56,46.63,12.62,10.11,4.85
sao bernardino,20.81,12.92,83.76,62.68,20.05,10.05
sao bonifacio,5.73,2.87,54.48,5.17,3.23,0.0
sao joao do itaperiu,9.17,7.12,23.21,1.42,4.87,1.07
sao martinho,8.87,4.72,30.5,3.77,1.77,0.47
sao miguel da boa vista,25,7.09,62.23,32.28,20.21,3.15
sao pedro de alcantara,9.32,5.26,16.4,1.44,2.89,0.48
serra alta,12.69,3.72,56.5,24.19,11.48,0.93
sul brasil,16.16,17.68,71.95,27.62,10.98,9.39
tigrinhos,16.57,6.67,66.85,9.52,13.81,1.9
treviso,7.14,0.45,34.96,0.0,3.38,0.0
tunapolis,5.09,3.16,67.48,29.11,4.2,1.58
uniao do oeste,17.27,11.76,62.12,52.49,13.33,7.24
urupema,15.2,8.92,41.2,8.92,7.2,2.55
vargeao,20.33,13.0,33.49,21.67,7.89,2.79
vargem,14.84,13.02,56.38,46.05,11.57,6.51
vargem bonita,15.47,10.24,11.68,16.19,2.04,3.33
witmarsum,5.17,3.93,25.86,3.21,1.15,0.36
xavantina,11.68,6.81,52.99,8.24,7.98,0.72
zortea,9.73,4.2,19.46,2.67,2.35,0.38
de 5.001 a 10.000 ,13.56,8.17,32.38,14.89,5.94,1.87
agrolandia,10.9,5.61,11.79,1.34,2.44,0.24
agua doce,13.85,10.7,31.61,17.09,6.68,1.92
aguas de chapeco,15.89,7.73,58.03,36.87,10.54,3.97
aguas mornas,8.98,5.97,17.96,2.69,2.99,0.0
alfredo wagner,19.48,9.46,70.35,30.05,16.47,4.15
anchieta,20.2,10.37,55.5,32.72,12.66,5.28
angelina,23.05,9.63,66.36,6.52,20.82,2.27
anita garibaldi,22.5,15.06,58.65,13.86,14.71,2.71
antonio carlos,6.72,2.58,11.94,1.1,1.79,0.0
apiuna,16.43,3.74,18.25,3.61,6.45,0.37
armazem,14.95,6.25,29.91,1.48,7.85,0.33
ascurra,7.89,4.78,0.46,0.0,0,0.0
aurora,4.66,3.23,42.07,16.36,3.62,1.15
balneario arroio do silva,7.97,6.03,0.64,0.13,0.16,0.0
balneario barra do sul,12.35,4.53,4.88,0.32,1.98,0.0
balneario gaivota,8,4.8,2.5,0.0,0.83,0.0
bela vista do toldo,11.57,5.58,74.38,60.77,9.66,4.23
bom retiro,21.37,18.79,24.86,3.15,6.03,1.05
caibi,14.08,9.35,45.63,27.34,7.93,3.27
campo belo do sul,31.03,14.7,29.41,20.68,9.84,4.04
campo ere,31.97,18.2,46.35,19.7,16.38,5.11
catanduvas,20.61,9.71,20.98,8.97,7.45,0.98
descanso,12.5,8.29,48.73,32.8,7.75,1.76
grao para,9.95,6.51,26.26,21.48,3.1,0.87
imbuia,10.61,4.94,52.73,11.41,5.77,1.52
ipora do oeste,4.97,4.04,54.91,21.97,3.98,2.58
ipuacu,34.98,17.47,61.14,56.32,22.77,9.91
ipumirim,10.76,5.82,45.2,3.33,6.1,0.21
irani,12.83,5.75,25.77,8.57,4.83,0.37
ita,13.13,4.76,32.3,10.14,5.31,0.83
laurentino,8.55,5.98,16.29,1.44,2.24,0.0
luzerna,5.69,3.86,13.14,6.67,1.76,1.05
major vieira,12.38,5.02,62.38,37.84,6.31,2.28
maracaja,5.46,3.86,5.3,0.88,1.66,0.0
meleiro,8.85,4.26,11.18,6.29,2.18,0.2
monte carlo,18.73,16.05,11.59,6.44,2.84,1.31
monte castelo,14.65,5.78,34.59,13.84,6.74,1.08
ouro,9.49,4.56,22.8,0.95,1.98,0.0
palma sola,21.88,13.78,44.91,16.13,11.8,3.67
passo de torres,8.08,8.53,1.54,1.17,0.38,0.17
paulo lopes,20.96,10.15,13.82,0.75,5.12,0.19
petrolandia,8.21,5.82,45.75,12.08,4.4,2.01
praia grande,11.7,10.05,16.73,4.31,4.63,0.72
rio das antas,11.48,6.43,47.09,19.88,5.66,3.51
rio do campo,9.34,5.14,31.82,8.19,5.4,0.76
rio do oeste,8.13,5.58,22.03,8.37,2.03,0.8
romelandia,18.78,15.67,65.27,39.95,13.92,5.74
salete,8.42,4.08,30.45,11.17,2.05,0.53
santa rosa do sul,11.15,5.49,5.29,1.41,1.26,0.31
santa terezinha,13.81,5.35,69.51,42.35,12.23,3.71
sao cristovao do sul,21.86,17.26,11.88,5.44,3.79,0.47
sao domingos,18.96,9.59,34.53,24.79,6.87,2.19
sao joao do oeste,0,0.61,72.73,39.45,0,0.61
sao joao do sul,10.66,4.02,22.81,2.87,3.96,0.19
sao jose do cerrito,23.89,14.66,71.58,41.07,18.83,6.1
saudades,7.13,4.8,54.3,5.28,5.28,0.96
tangara,10.51,6.75,41.36,21.63,3.62,1.69
timbe do sul,17.62,7.16,24.16,6.42,6.14,2.22
timbo grande,25.72,13.02,51.25,23.4,18.23,5.01
treze de maio,11.24,6.58,33,10.29,4.61,1.23
treze tilias,10.53,5.5,31.39,4.13,5.64,0.98
trombudo central,8.77,3.2,14.49,1.88,1.43,0.0
vidal ramos,19.27,7.33,68.49,38.83,14.71,3.66
vitor meireles,13.7,8.46,54.49,14.59,10.31,2.54
de 10.001 a 20.000 ,12.98,6.59,19.67,6.63,4.2,0.92
abelardo luz,22.97,12.58,57.17,35.27,15.87,6.26
balneario picarras,11.56,6.19,7.1,0.87,1.2,0.2
benedito novo,7.85,4.49,12.74,1.62,2.28,0.12
bombinhas,8.67,3.0,0.2,0.0,0,0.0
campo alegre,12.55,6.65,19.66,1.99,4.4,0.2
canelinha,15.56,7.58,7.83,1.63,2.68,0.11
cocal do sul,4.82,2.32,2.15,0.3,0.37,0.0
coronel freitas,19.44,7.48,25.23,11.73,8.32,1.32
correia pinto,15.39,10.47,19.89,5.94,3.92,1.32
corupa,4.36,1.64,6.79,1.64,0.96,0.0
cunha pora,9.47,3.74,43.09,23.02,5.11,1.05
dionisio cerqueira,17.78,11.13,38.84,19.51,7.87,2.98
faxinal dos guedes,15.28,8.32,23.83,4.16,5.7,0.33
garopaba,17.56,6.42,7.02,0.37,1.96,0.07
garuva,14.02,6.35,3.48,0.83,1.4,0.0
governador celso ramos,10.25,6.12,0.41,0.12,0.16,0.0
gravatal,8.07,5.15,19.1,4.64,3.86,0.52
guabiruba,5.69,2.81,1.25,0.0,0.16,0.0
guaraciaba,12.05,8.45,37.22,13.27,6.27,1.66
ibirama,9.82,4.32,10.45,0.5,1.7,0.07
ilhota,10.98,3.49,9.3,1.47,1.68,0.0
imarui,20.62,10.86,39.73,13.25,11.1,1.85
irineopolis,13.3,7.76,57.34,21.63,9.08,2.65
itapiranga,7.76,3.16,35.1,12.81,4.78,1.11
itapoa,11.3,4.94,4.37,0.09,1.14,0.0
jacinto machado,15.24,7.42,19.86,9.67,6.18,1.46
jaguaruna,12.53,6.71,9.12,1.41,2.86,0.16
lauro muller,10.18,4.15,8.35,3.13,1.45,0.25
lebon regis,24.43,18.19,32.91,20.81,7.6,3.57
lontras,9.47,4.4,10.71,1.69,1.47,0.45
luiz alves,6.74,4.57,29.6,6.79,2.29,1.34
massaranduba,7.65,3.32,19.53,1.46,3.78,0.39
mondai,8.74,5.81,42.98,18.14,4.37,1.89
morro da fumaca,11.75,9.1,7.72,3.9,2.05,1.52
nova trento,6.04,3.05,25.62,10.49,2.57,0.98
nova veneza,6.8,3.24,6.55,1.98,0.59,0.21
otacilio costa,11.87,6.84,4.77,1.38,1.05,0.26
palmitos,15.69,8.29,38.1,14.97,6.91,1.22
papanduva,16.63,8.79,35.61,20.09,7.71,2.12
pinhalzinho,15.52,5.97,23.58,0.4,5.07,0.0
ponte serrada,23.64,15.23,18.81,10.48,6.48,2.18
porto belo,12.19,5.93,2.15,0.98,1.2,0.45
pouso redondo,13.15,4.46,39.13,5.7,7.04,0.46
presidente getulio,5.74,3.34,13.18,3.96,0.51,0.44
quilombo,19.67,9.03,39.92,26.67,8.31,3.61
rio dos cedros,7.08,5.6,9.75,0.68,1.34,0.0
rodeio,8.37,3.71,6.65,1.0,1.11,0.29
sangao,16.22,10.31,26,9.78,4.74,1.7
santa cecilia,22.22,12.87,21.76,4.87,5.03,1.0
santo amaro da imperatriz,7.82,4.02,2.07,0.28,0.36,0.21
sao carlos,12.12,5.42,41.34,18.64,5.77,0.97
sao jose do cedro,14.88,7.47,46.96,14.43,9.78,2.15
sao ludgero,5.61,3.5,12.35,5.79,1.33,0.87
schroeder,3.97,1.18,0.83,0.22,0.08,0.0
seara,9.71,4.99,25.25,4.58,4.18,0.83
sideropolis,8.94,5.67,12.27,0.33,1.22,0.11
taio,7.2,4.93,14.22,7.54,2,0.82
tres barras,14.98,9.4,7.11,2.69,1.57,0.33
turvo,9.93,5.18,9.18,3.15,1.39,0.23
urubici,17.35,8.93,24.56,1.81,3.88,0.53
de 20.001 a 50.000 ,9.78,5.09,7.12,3.93,1.29,0.47
araquari,10.2,6.61,2.18,1.1,0.94,0.34
barra velha,13.03,4.74,6.1,1.53,1.33,0.2
braco do norte,6.83,2.65,8.63,2.9,0.73,0.13
campos novos,15.89,7.13,20.18,8.02,4.86,0.88
capinzal,8.36,4.44,2.86,1.93,0.49,0.29
capivari de baixo,5.9,4.24,0.05,0.06,0.05,0.0
curitibanos,16.89,10.62,10.72,5.23,2.36,1.12
forquilhinha,7.96,3.69,7.41,1.26,0.87,0.0
fraiburgo,12.95,8.61,10.45,7.32,2.78,1.32
guaramirim,6.18,2.33,3.09,0.69,0.91,0.09
herval d'oeste,11.56,5.84,7.75,0.66,1.55,0.0
imbituba,10.15,5.44,0.8,0.21,0.11,0.03
itaiopolis,11.72,6.98,35.3,21.44,6.42,1.73
itapema,8.16,4.31,0.9,0.19,0.1,0.11
ituporanga,9.02,5.54,24.61,11.36,2.21,0.89
joacaba,8.43,3.29,3.81,3.61,0.68,0.21
maravilha,10.14,4.24,11.74,2.89,1.76,0.55
orleans,7.44,3.93,20.99,6.42,2.58,0.69
