folder;file_name;number_of_words;pct_pol_neg;pct_pol_pos;pct_pol_neu;city;state;city_state;2000_education_var_01_quantity;2000_family_var_01_total;2000_family_var_01_suitable;2000_family_var_01_semi_suitable;2000_family_var_01_inappropriate;2000_family_var_02_quantity;2000_fertility_var_01_total;2000_fertility_var_01_has_children;2000_fertility_var_01_children_born;2000_fertility_var_01_children_borned_live;2000_fertility_var_01_children_borned_dead;2000_fertility_var_02_total;2000_fertility_var_02_married;2000_fertility_var_02_separated;2000_fertility_var_02_divorced;2000_fertility_var_02_widow;2000_fertility_var_02_single;2000_fertility_var_03_total;2000_work_var_01_total;2000_work_var_01_domestic_regular;2000_work_var_01_domestic_irregular;2000_work_var_01_other_regular;2000_work_var_01_military_and_gov;2000_work_var_01_other_irregular;2000_work_var_02_total;2000_work_var_02_regular;2000_work_var_02_military_and_gov;2000_work_var_02_irregular;2000_work_var_02_employers;2000_work_var_02_entrepreneur;2010_education_var_01_quantity;2010_family_var_01_total;2010_family_var_01_suitable;2010_family_var_01_semi_suitable;2010_family_var_01_inappropriate;2010_family_var_02_quantity;2010_fertility_var_01_total;2010_fertility_var_01_has_children;2010_fertility_var_01_children_born;2010_fertility_var_01_children_borned_live;2010_fertility_var_01_children_borned_dead;2010_fertility_var_02_total;2010_fertility_var_02_married;2010_fertility_var_02_separated;2010_fertility_var_02_divorced;2010_fertility_var_02_widow;2010_fertility_var_02_single;2010_fertility_var_03_total;2010_work_var_01_total;2010_work_var_01_main_regular;2010_work_var_01_main_irregular;2010_work_var_01_other_regular;2010_work_var_01_other_irregular;2010_work_var_02_total;2010_work_var_02_regular;2010_work_var_02_military_and_gov;2010_work_var_02_irregular;2010_work_var_02_entrepreneur;2010_work_var_02_employers;social_indicator_var_01_2000_total;social_indicator_var_01_2010_total;social_indicator_var_01_2000_15_to_24_years;social_indicator_var_01_2010_15_to_24_years;social_indicator_var_01_2000_25_to_59_years;social_indicator_var_01_2010_25_to_59_years;social_indicator_var_01_2000_60_to_more_years;social_indicator_var_01_2010_60_to_more_years;social_indicator_var_02_2000_suitable;social_indicator_var_02_2010_suitable;social_indicator_var_02_2000_semi_suitable;social_indicator_var_02_2010_semi_suitable;social_indicator_var_02_2000_inappropriate;social_indicator_var_02_2010_inappropriate;social_indicator_var_03_2000_responsable_illiterate;social_indicator_var_03_2010_responsable_illiterate;social_indicator_var_03_2000_inappropriate_residence;social_indicator_var_03_2010_inappropriate_residence;social_indicator_var_03_2000_responsable_illiterate_and_inappropriate_residence;social_indicator_var_03_2010_responsable_illiterate_and_inappropriate_residence;2000_enem_var_01_enem_score_mean;2000_enem_var_01_enem_score_std;2000_enem_var_01_enem_score_median;2010_enem_var_01_enem_score_mean;2010_enem_var_01_enem_score_std;2010_enem_var_01_enem_score_median
ciclo_3;9033-São José dos Pinhais-PR.pdf;45624;0.01606425702811245;0.03563982706783418;0.9495468211644392;sao jose dos pinhais;pr;sao jose dos pinhais_pr;58679.0;55686.0;33078.0;22214.0;394.0;203814.0;81237.0;52041.0;167171.0;158426.0;8745.0;162033.0;70057.0;3201.0;3177.0;6345.0;79253.0;89465.0;61018.0;2267.0;4110.0;40495.0;3257.0;10889.0;388.0;400.0;546.0;250.0;1500.0;400.0;81683.60469809;80727.75232394;58989.33450121;21666.9880196;71.42980313;263382.70787471;112861.4487016;72299.41727958;197579.4209832;189137.02858346;8442.39239978;222038.55136189;90788.99407833;4278.8705673;8050.10656042;9362.46993172;109558.11022412;124355.24602254;139493.8745948;103444.57246705;36049.30212775;103531.00956729;35962.86502754;1298.22;1203.95;2105.97;859.97;1420.73;4121.62;5.69;3.4;1.42;0.67;5.25;2.5;24.37;16.05;73.7;82.51;23.71;16.73;2.59;0.76;7.51;2.98;2.46;0.77;0.35;0.1;52.26595697329378;10.812921247770143;51.825;541.2439222537674;67.30321767676;538.64
ciclo_3;9025-Pedras de Fogo-PB.pdf;38710;0.014631750381304447;0.031279890391127885;0.9547863402528244;pedras de fogo;pb;pedras de fogo_pb;8521.0;5928.0;76.0;4781.0;1070.0;25861.0;9890.0;6248.0;32438.0;31477.0;961.0;19930.0;3924.0;178.0;117.0;657.0;15055.0;9635.0;4914.0;41.0;519.0;1187.0;382.0;2786.0;151.0;160.0;151.0;120.0;500.0;166.0;9985.43220159;7372.99999999;801.53903777;5954.24530055;617.21566167;26995.0;11292.71463369;7163.59428186;29727.34755774;28363.04390835;1364.30364946;22417.15571661;6468.21827614;51.83983768;314.59686794;1023.75111457;14558.74962028;11525.8722213;9820.31482145;3662.3401886999995;6157.97463275;3670.71712008;6149.59770138;518.77;649.05;864.22;305.11;472.37;1089.86;44.88;30.27;24.92;7.69;48.05;30.77;79.79;69.12;4.15;16.2;55.03;56.97;40.82;26.83;65.66;41.31;44.97;28.84;33.19;14.19;0.0;0.0;0.0;505.1373099415204;70.20162273818147;504.78
ciclo_3;9013-Florestal-MG.pdf;18035;0.016150516150516155;0.030636030636030636;0.954156954156954;florestal;mg;florestal_mg;1653.0;1558.0;861.0;605.0;92.0;5621.0;2265.0;1315.0;5303.0;5007.0;296.0;4600.0;2011.0;95.0;62.0;226.0;2206.0;2242.0;1683.0;68.0;129.0;817.0;166.0;503.0;250.0;293.0;302.0;180.0;2500.0;300.0;1994.96312413;2033.99999999;1398.89739836;597.32449566;37.77810597;6575.0;2931.73120228;1738.45813793;5445.52806251;5270.90884603;174.61921652;5728.50538699;2431.88629436;104.20018237;146.85863321;274.98070506;2770.57957199;2832.27542088;3479.1930243;1998.0695804000002;1481.1234439000002;2009.56163997;1469.63138434;1006.16;977.68;1324.64;590.7;1272.16;2156.51;9.14;6.46;2.41;0.42;7.79;5.06;26.24;19.06;63.21;75.27;13.97;12.78;22.82;11.95;12.94;7.26;25.55;13.83;4.03;1.59;51.73214285714285;10.075669893834544;53.93;558.6015116279071;64.76027784070821;562.54
ciclo_3;9002-Paramoti-CE.pdf;11670;0.013637533236126596;0.02633158933013124;0.9609743545758641;paramoti;ce;paramoti_ce;4446.0;2533.0;10.0;1891.0;632.0;10953.0;3982.0;2422.0;13137.0;12694.0;443.0;8097.0;3245.0;39.0;20.0;402.0;4391.0;4119.0;1331.0;0.0;105.0;163.0;137.0;926.0;149.0;151.0;184.0;100.0;700.0;140.0;4475.07701445;3010.33925527;223.04395904;2499.90936764;287.38592859;11284.01776585;4522.04359786;2817.80778778;12904.12243833;12452.00175679;452.12068155;9356.87214422;3405.29906522;103.55470183;73.21398865;461.78401813;5313.02037039;4399.36029326;3228.50510721;963.30386531;2265.2012419;963.30386531;2265.2012419;417.54;598.85;686.15;275.05;346.38;280;41.12;29.66;19.52;7.27;44.28;31.04;68.31;59.8;1.3;9.97;37.35;56.21;61.34;33.82;63.91;49.86;69.31;35.02;47.89;22.86;35.8925;6.808641567890028;37.7575;509.959074074074;72.756492719066;500.69
ciclo_3;9021-RESERVA DO CABAÇAL-MT.pdf;30454;0.014328436688685137;0.025009037431397683;0.9614841105524335;reserva do cabacal;mt;reserva do cabacal_mt;898.0;665.0;5.0;609.0;51.0;2418.0;944.0;556.0;2762.0;2527.0;235.0;1982.0;907.0;22.0;22.0;92.0;939.0;1019.0;580.0;0.0;47.0;63.0;146.0;324.0;200.0;225.0;314.0;151.0;2300.0;260.0;799.85875983;821.59940318;79.9411085;705.21748701;36.44080767;2548.59940317;1057.23078464;726.43191431;2934.36332926;2630.01670011;304.34662915;2164.96452089;980.12176992;47.83613348;55.7650711;105.40253418;975.83901221;1158.82113519;1230.5735488;506.19877975;724.37476905;508.83922536;721.73432343;719.74;810.45;895.29;474.06;711.45;2974.24;21.11;17.89;3.37;1.72;22.64;12.53;57.4;61.94;0.75;11.37;66.62;62.64;32.63;26.0;24.71;11.65;35.14;23.69;9.27;2.01;0.0;0.0;0.0;486.5725;60.99205019588025;499.29
ciclo_3;9006-Abadiânia-GO.pdf;31389;0.016281445536968454;0.024613714723534668;0.961179925935385;abadiania;go;abadiania_go;2914.0;3214.0;42.0;2972.0;200.0;11349.0;4357.0;2917.0;10859.0;10126.0;733.0;9106.0;4024.0;91.0;222.0;413.0;4355.0;4931.0;2681.0;65.0;461.0;860.0;301.0;994.0;200.0;253.0;300.0;151.0;370.0;250.0;4425.11855547;4627.428722899999;2872.37611762;1696.34999859;58.70260669;15246.47704903;6542.67211347;3583.48680396;10822.63585338;10406.86718059;415.76867274;13491.29458983;5142.30191067;175.55959391;405.88007913;585.67943229;7181.87357383;6783.39629135;7383.01671429;3016.66439478;4366.35231951;3016.66439478;4366.35231951;853.22;739.46;1150.39;587.25;1078.44;3738.49;17.55;10.84;3.9;1.52;16.76;8.51;49.52;37.62;1.21;67.05;63.16;17.86;35.63;15.1;21.86;8.73;33.06;12.94;7.88;1.4;62.2625;8.418106230025849;62.2625;500.84924369747915;66.05739598771206;503.5
ciclo_3;9048-Barra dos Coqueiros-SE.pdf;9586;0.01483028720626632;0.02600522193211488;0.9603133159268932;barra dos coqueiros;se;barra dos coqueiros_se;6586.0;4360.0;834.0;3374.0;153.0;17807.0;7011.0;4123.0;16912.0;15866.0;1046.0;13682.0;3843.0;207.0;175.0;574.0;8884.0;6333.0;3734.0;145.0;285.0;1929.0;250.0;1126.0;200.0;250.0;350.0;151.0;1000.0;180.0;7757.09276059;6835.06188417;2962.35397257;3828.32936577;44.37854583;24884.2740323;10580.91901942;6188.39652449;20198.547792299996;19068.24467514;1130.30311718;20555.78614746;4416.87468474;246.01330979;666.96567064;652.54007998;14573.39240231;9721.98186487;8468.50396033;4840.85444705;3627.64951328;4840.85444705;3627.64951328;885.62;1001.81;1973.7;477.46;665.63;2257.11;19.9;13.3;11.16;4.59;20.05;13.32;49.58;36.01;26.93;57.29;63.46;40.75;9.61;1.96;34.7;20.86;13.54;1.86;9.28;0.83;42.015;0.7990306627407955;42.015;497.3429206349205;66.72554727357918;499.36
ciclo_3;8997-Nilo Peçanha-BA.pdf;22840;0.014996711247533434;0.030738873054154788;0.955799166849375;nilo pecanha;ba;nilo pecanha_ba;4438.0;2596.0;351.0;1688.0;557.0;11202.0;4044.0;2396.0;12441.0;11553.0;888.0;8553.0;1262.0;37.0;35.0;174.0;7045.0;3965.0;2405.0;0.0;104.0;388.0;59.0;1855.0;100.0;151.0;164.0;100.0;100.0;100.0;5146.92582021;3546.17743234;806.52613815;2431.36424309;308.2870511;12488.91784516;4960.9568675;2887.39082063;12112.48296002;11193.94151747;918.5414425000001;10305.42190278;1550.45939043;19.71633955;34.58860191;273.52425929;8427.1333116;4984.26972124;4979.18924416;1124.84540249;3854.34384167;1139.06254087;3840.12670328;405.04;700.56;1612.88;328.93;373.53;1413.78;33.49;26.29;18.17;7.81;36.72;27.83;63.12;59.91;17.03;26.21;39.95;35.74;43.03;38.05;57.41;36.76;53.27;41.61;38.25;21.94;59.2175;4.083541661352316;59.2175;488.77651162790704;63.591895391258795;484.69
ciclo_3;9029-Ilha de Itamaracá-PE.pdf;37716;0.014648515245601462;0.028288618209802833;0.957938592999496;ilha de itamaraca;pe;ilha de itamaraca_pe;5182.0;3642.0;32.0;3352.0;258.0;14218.0;5744.0;3651.0;14012.0;12804.0;1208.0;12852.0;3523.0;241.0;192.0;404.0;8492.0;5623.0;3258.0;229.0;626.0;906.0;237.0;1260.0;151.0;200.0;300.0;130.0;500.0;180.0;6594.21594667;5394.30418982;444.62940785;4728.94170936;220.73307261;18155.86424613;7773.60129189;5099.26965765;16716.52654378;15887.11758028;829.40896339;18698.81941766;3742.04388499;163.89009253;488.50236409999997;703.09109398;13601.29198206;7457.60430363;7005.34962846;2719.90789558;4285.44173288;2730.43868281;4274.91094565;618.06;820.67;1215.09;406.22;556.35;872.32;19.52;15.34;9.64;7.0;21.33;16.2;38.9;30.3;1.51;11.9;74.74;76.66;23.75;11.44;27.73;17.74;30.57;14.71;13.64;5.62;0.0;0.0;0.0;0.0;0.0;0.0
ciclo_3;9037-Poço Branco-RN.pdf;37426;0.016805373437876314;0.025716502983756592;0.9590034520591936;poco branco;rn;poco branco_rn;4658.0;2569.0;352.0;2159.0;58.0;12499.0;4764.0;2672.0;15403.0;14580.0;823.0;9439.0;3227.0;58.0;24.0;337.0;5793.0;4435.0;1731.0;24.0;203.0;560.0;89.0;855.0;151.0;190.0;151.0;151.0;700.0;151.0;4552.72567427;3354.65771913;180.40470674;3070.70329405;103.54971834;13915.23693877;5656.84549945;3396.04550457;15284.552859099998;14945.18485575;339.36800335;11405.12136427;2928.75268301;177.22998436;93.56926042;478.43698585;7727.13245063;5112.29123604;3839.75138932;1611.80654702;2227.9448423;1611.80654702;2227.9448423;684.15;858.51;1232.26;430.32;524.58;400;39.53;29.64;18.19;10.41;42.98;30.38;75.19;65.04;22.03;7.68;72.44;86.48;5.53;5.84;61.96;46.69;6.46;7.45;5.26;3.76;0.0;0.0;0.0;472.1121518987343;60.603491260836385;480.46
