city,total,adequada,semi_adequada,inadequada
guarani de goias,1247.73285366,2.7243171,1187.20673553,57.80180103
guarinos,807.21028818,4.77956588,768.69860569,33.73211661
heitorai,1196.12208517,467.78123143,705.51820586,22.82264788
hidrolandia,5434.85611346,516.15964925,4764.45880123,154.23766298
hidrolina,1380.99999999,2.73967519,1345.26445057,32.99587423
iaciara,3390.77973449,249.7830276,3048.5097463,92.48696059
inaciolandia,1859.00000001,31.7117281,1812.74864551,14.5396264
indiara,4290.96223768,333.56880142,3917.17220515,40.22123111
inhumas,15300.29347765,5050.76985559,10196.01481226,53.5088098
ipameri,8141.97029438,4771.28093068,3302.4500915,68.2392722
ipiranga de goias,1013.63376659,2.19362459,1001.51186571,9.92827629
ipora,11083.21409222,2697.85732661,8373.41412522,11.94264039
israelandia,1014.73382547,38.40550012,967.59689973,8.73142562
itaberai,11237.15324202,2651.30379174,8472.76678373,113.08266655
itaguari,1580.99999998,331.287055,1249.71294498,-
itaguaru,1871.99999999,235.58539458,1622.40704562,14.00755979
itaja,1693.11009985,1177.62162014,499.36007983,16.12839988
itapaci,5923.39338806,600.87469162,5280.92394754,41.5947489
itapirapua,2769.11056306,457.27938441,2260.29744542,51.53373323
itapuranga,9123.68484689,5201.82207458,3905.72805307,16.13471924
itaruma,2056.91055013,1035.03669796,971.03449642,50.83935575
itaucu,2894.99999999,1635.42679619,1242.14992639,17.42327741
itumbiara,30697.31363959,19696.40491226,10901.37904425,99.52968308
ivolandia,984.61402651,40.70215131,924.52116468,19.39071052
jandaia,2233.77089439,338.54332528,1870.67587501,24.5516941
jaragua,12984.19404728,1869.6832223,10904.09793533,210.41288965
jatai,27639.75677163,15526.64405247,12002.09089721,111.02182195
jaupaci,1054.79373762,189.11554747,851.66229486,14.01589529
jesupolis,741.20580721,32.74672114,693.8304117,14.62867437
joviania,2404.39025478,1290.60987119,1102.00222876,11.77815483
jussara,6416.37470235,3643.39391232,2688.69363944,84.28715059
lagoa santa,429.73071948,103.5943978,295.75774159,30.37858009
leopoldo de bulhoes,2546,515.02362833,1954.45204379,76.52432788
luziania,49793.06700282,8200.37083231,40796.30654603,796.38962448
mairipotaba,854.46395745,13.48647303,809.24986186,31.72762256
mambai,1914.00724008,199.73427555,1649.19677318,65.07619135
mara rosa,3472.00000002,1390.25852235,2026.31772371,55.42375396
marzagao,708.0618603,4.60089664,693.36340663,10.09755703
matrincha,1487.62368552,174.82238235,1279.79436519,33.00693798
maurilandia,3553.76631858,233.0860648,3305.1518755,15.52837828
mimoso de goias,869,39.15271189,789.96685169,39.88043642
minacu,9756.53692964,4823.4020707,4765.99782387,167.13703507
mineiros,15921.36945195,11869.33692168,3845.02378475,207.00874552
moipora,636.00000002,30.85853318,596.83882302,8.30264382
monte alegre de goias,2176.64457203,-,1970.69651857,205.94805346
montes claros de goias,2732.25634834,198.7236198,2476.32203,57.21069854
montividiu,3283,259.07602371,2941.18385179,82.7401245
montividiu do norte,1237.50329663,89.74594857,1115.87930639,31.87804167
morrinhos,14236.08528705,7605.84356992,6576.21647111,54.02524602
morro agudo de goias,825.72148514,8.17007133,807.47592081,10.075493
mossamedes,1757.00000001,125.88036938,1606.12488176,24.99474887
mozarlandia,4301.97745956,132.92403485,4133.34416651,35.7092582
mundo novo,2158.11457206,526.84524517,1551.53025972,79.73906717
mutunopolis,1312,140.32696189,1134.05722965,37.61580846
nazario,2711.4029166,133.27018031,2565.75782143,12.37491486
neropolis,7371.25829119,3737.19937299,3613.98016725,20.07875095
niquelandia,12946.23665464,2574.90094988,10117.78217457,253.55353019
nova america,775.99999999,-,759.66514478,16.33485521
nova aurora,732.99999998,2.03805651,730.96194347,-
nova crixas,3938.34416061,266.70754273,3513.79822805,157.83838983
nova gloria,2963.98755266,233.10894243,2707.65733284,23.22127739
nova iguacu de goias,929.85906582,496.81557417,408.54473415,24.4987575
nova roma,1126.99999997,7.49369852,1105.25686084,14.24944061
nova veneza,2485.00000002,126.88865407,2332.21778594,25.89356001
novo brasil,1333,54.43415361,1273.59600975,4.96983664
novo gama,26496.86498319,7722.21094275,18513.28753882,261.36650162
novo planalto,1344.87529157,133.85112612,1145.58442272,65.43974273
orizona,4867.19811451,286.37509818,4495.05997728,85.76303905
ouro verde de goias,1334.00000001,2.30167823,1304.18079444,27.51752734
ouvidor,1821,75.35134765,1730.08179829,15.56685406
padre bernardo,8030.82234287,1327.56215331,6288.75506672,414.50512284
palestina de goias,1115.18316594,16.63320989,1084.1686898,14.38126625
palmeiras de goias,7718.01284354,3763.29015886,3878.53007073,76.19261395
palmelo,784,362.86208334,421.13791666,-
palminopolis,1269.74179808,158.94098182,1102.05233994,8.74847632
panama,975.51523158,7.74862267,947.98217197,19.78443694
paranaiguara,3062.82361822,2571.02020892,462.67267915,29.13073015
parauna,3492.48403084,2027.59826603,1332.61858175,132.26718306
perolandia,926.60137688,8.64990885,895.50483379,22.44663424
petrolina de goias,3290.09708419,257.31953613,2976.7432787,56.03426936
pilar de goias,900.04385997,5.19814778,861.21458091,33.63113128
piracanjuba,8483.81127036,2405.40280128,5935.68470034,142.72376874
piranhas,4013.15753462,57.3969522,3926.03595033,29.72463209
pirenopolis,7255.67227013,1864.07207828,5308.46451467,83.13567718
pires do rio,9384.29078609,3364.25276397,5997.45120637,22.58681575
planaltina,22844.70137399,4458.55643344,18029.62223947,356.52270108
pontalina,6065.64462936,2124.51572076,3877.83269914,63.29620946
porangatu,13453.10884353,950.04330888,12178.12575461,324.93978004
porteirao,1074.46097932,53.97037724,1005.2298946,15.26070748
