city,total,regular,military_and_gov,irregular,employers,entrepreneur
abatia,151,180,350,151,800,200
adrianopolis,200,253,300,151,3000,200
agudos do sul,200,312,700,151,1550,150
almirante tamandare,302,350,500,235,1500,360
altamira do parana,151,290,213,150,22000,130
alto parana,226,290,360,151,1000,300
alto piquiri,191,245,316,151,1500,300
altonia,200,300,382,150,800,200
alvorada do sul,200,232,600,151,1200,302
amapora,200,242,394,151,600,300
ampere,230,230,620,180,1000,280
anahy,160,240,235,100,1000,151
andira,250,266,230,151,1000,400
angulo,250,260,250,151,1000,300
antonina,250,300,610,151,500,200
antonio olinto,151,250,250,151,500,150
apucarana,300,300,729,200,1000,350
arapongas,300,310,350,200,1500,400
arapoti,280,316,300,151,2000,300
arapua,151,302,250,120,151,200
araruna,226,270,302,150,1000,220
araucaria,365,390,600,240,1200,400
ariranha do ivai,200,225,225,115,3000,200
assai,200,270,600,151,1500,300
assis chateaubriand,250,270,390,151,1500,300
astorga,250,250,500,160,1100,350
atalaia,250,270,350,151,0,450
balsa nova,300,300,800,151,1500,300
bandeirantes,250,260,300,151,1500,302
barbosa ferraz,160,226,250,100,1500,200
barra do jacare,200,280,350,110,0,200
barracao,294,302,450,151,1000,300
bela vista da caroba,180,270,301,135,100,180
bela vista do paraiso,225,230,440,151,1000,350
bituruna,250,292,350,180,300,200
boa esperanca,210,300,252,151,400,300
boa esperanca do iguacu,180,270,300,150,500,180
boa ventura de sao roque,170,240,300,150,5000,151
boa vista da aparecida,200,300,300,151,1500,151
bocaiuva do sul,250,300,500,151,2000,225
bom jesus do sul,151,263,200,150,190,140
bom sucesso,206,229,250,151,1000,280
bom sucesso do sul,250,300,460,151,2000,250
borrazopolis,170,230,230,135,755,200
braganey,151,250,160,140,400,200
brasilandia do sul,200,240,290,100,1000,300
cafeara,230,250,0,120,10000,350
cafelandia,292,300,320,151,2000,500
cafezal do sul,200,248,735,120,1000,200
california,220,270,600,151,1000,250
cambara,250,260,800,151,2000,300
cambe,300,320,500,200,1000,400
cambira,200,250,302,151,600,300
campina da lagoa,200,230,280,151,1000,300
campina do simao,200,265,300,151,1500,151
campina grande do sul,340,360,400,220,2000,350
campo bonito,200,247,150,150,0,250
campo do tenente,220,231,750,160,1000,250
campo largo,350,400,412,240,2000,400
campo magro,300,350,331,240,1500,350
campo mourao,300,320,480,151,1200,300
candido de abreu,151,250,440,120,604,151
candoi,200,300,260,151,2000,200
cantagalo,200,250,300,150,1000,200
capanema,300,290,426,151,1200,300
capitao leonidas marques,250,300,450,160,2000,300
carambei,329,340,980,170,2500,500
carlopolis,185,222,544,151,1000,250
cascavel,320,350,700,200,2000,400
castro,262,300,600,151,1800,300
catanduvas,200,250,290,151,1000,300
centenario do sul,220,230,1100,151,1000,300
cerro azul,190,280,278,150,1000,165
ceu azul,300,300,634,180,1000,300
chopinzinho,220,300,742,151,1000,300
cianorte,300,300,650,160,1500,350
cidade gaucha,250,300,600,151,1500,400
clevelandia,250,270,300,151,1000,400
colombo,350,375,580,250,1500,450
colorado,286,300,400,166,1300,400
congonhinhas,160,200,151,151,500,151
conselheiro mairinck,200,209,277,150,5000,300
contenda,250,300,500,160,1000,250
corbelia,266,300,350,151,1200,500
cornelio procopio,300,300,800,151,1500,400
coronel domingos soares,220,270,280,200,1200,200
coronel vivida,250,300,735,150,1057,230
corumbatai do sul,151,200,302,100,500,200
cruz machado,200,302,400,150,2000,151
cruzeiro do iguacu,240,302,414,150,2000,200
cruzeiro do oeste,240,288,600,151,1100,300
cruzeiro do sul,200,250,450,151,2000,250
cruzmaltina,165,200,252,150,2500,250
curitiba,500,500,900,300,2000,600
curiuva,190,230,500,151,1300,200
diamante do norte,200,300,333,150,1000,300
diamante do sul,151,230,477,150,0,150
diamante d'oeste,180,280,550,100,2000,200
dois vizinhos,300,336,442,151,1800,300
douradina,230,300,680,151,800,300
doutor camargo,236,270,280,151,1000,300
doutor ulysses,151,197,250,150,500,120
eneas marques,250,300,471,151,2000,280
engenheiro beltrao,250,260,755,151,1000,302
entre rios do oeste,300,250,377,151,1000,500
esperanca nova,180,270,320,140,1000,180
espigao alto do iguacu,151,280,700,140,0,100
farol,215,234,297,100,5000,280
faxinal,225,266,574,150,1200,300
fazenda rio grande,350,361,321,250,1500,400
fenix,228,240,600,150,800,230
fernandes pinheiro,200,250,188,150,3000,182
figueira,180,280,300,130,1500,250
flor da serra do sul,255,200,350,190,200,300
florai,227,286,700,151,1000,300
floresta,280,258,430,151,550,300
florestopolis,250,258,350,151,1500,300
florida,224,290,311,151,650,250
formosa do oeste,200,231,280,151,800,200
foz do iguacu,350,400,900,250,2000,350
foz do jordao,200,350,205,151,1000,300
francisco alves,180,200,270,120,900,220
francisco beltrao,300,328,480,151,1500,300
general carneiro,264,300,200,200,1200,300
godoy moreira,198,260,210,70,500,200
goioere,240,280,613,151,1000,300
goioxim,151,210,240,150,180,150
grandes rios,151,226,700,130,700,151
guaira,250,338,700,151,2000,250
guairaca,190,250,255,151,500,250
guamiranga,180,240,1350,150,800,151
guapirama,180,200,180,151,2800,400
guaporema,200,300,0,151,0,500
guaraci,250,261,320,151,1500,300
guaraniacu,200,250,190,151,800,300
guarapuava,300,300,700,151,1500,300
guaraquecaba,160,272,900,151,1000,150
guaratuba,300,308,700,250,1500,300
honorio serpa,270,302,370,151,1500,200
ibaiti,200,230,270,151,1200,250
ibema,223,280,240,150,1000,200
ibipora,300,302,738,180,1200,350
icaraima,243,300,385,151,600,270
iguaracu,250,294,320,150,1000,300
iguatu,151,250,310,60,0,200
imbau,200,300,967,151,4500,155
imbituva,228,250,300,151,1000,226
inacio martins,200,223,290,150,800,200
inaja,200,280,151,150,750,285
indianopolis,240,248,426,151,800,300
ipiranga,206,250,300,151,1000,230
ipora,179,225,600,145,750,250
iracema do oeste,151,220,182,150,0,151
irati,246,280,550,151,1500,200
iretama,183,250,151,150,850,200
itaguaje,212,252,280,150,1100,300
itaipulandia,260,280,627,180,1000,300
itambaraca,200,200,440,150,1000,300
itambe,270,289,360,151,1000,400
itapejara d'oeste,250,300,630,151,1800,300
itaperucu,300,315,300,200,250,300
itauna do sul,180,250,240,145,500,250
ivai,200,300,302,150,1000,170
ivaipora,220,300,380,151,1800,240
ivate,227,280,280,151,3000,200
ivatuba,224,250,185,151,2000,453
jaboti,200,250,151,151,900,230
jacarezinho,268,265,900,151,1500,400
jaguapita,250,266,600,151,1000,300
jaguariaiva,260,300,240,160,2000,380
jandaia do sul,250,270,360,151,1100,300
janiopolis,160,260,320,140,500,200
japira,173,200,240,151,2500,200
japura,220,240,200,151,1000,300
jardim alegre,151,250,623,130,640,200
jardim olinda,350,350,390,200,5300,450
jataizinho,250,300,256,160,700,300
jesuitas,151,280,330,120,1200,150
joaquim tavora,200,230,656,151,800,240
jundiai do sul,173,200,272,151,3000,200
juranda,205,250,870,150,2000,300
jussara,250,290,400,151,1200,300
kalore,160,218,510,140,600,200
lapa,230,280,536,151,1000,250
laranjal,151,200,800,150,1000,155
laranjeiras do sul,251,300,500,151,1500,300
leopolis,200,250,375,151,1500,300
lidianopolis,151,280,300,140,1500,200
lindoeste,200,300,337,151,750,151
loanda,226,250,200,151,1000,302
lobato,290,320,200,151,3000,500
londrina,400,400,840,220,2000,500
luiziana,200,250,302,150,2000,250
lunardelli,151,208,260,100,300,200
lupionopolis,225,250,0,151,4160,250
mallet,200,260,380,151,1600,170
mambore,238,285,370,140,1000,303
mandaguacu,280,300,870,151,1200,350
mandaguari,250,300,700,151,1200,300
mandirituba,280,302,350,200,1000,300
manfrinopolis,200,250,250,151,700,180
mangueirinha,250,300,320,151,1200,200
manoel ribas,200,280,310,150,1500,252
marechal candido rondon,300,302,700,160,1500,300
maria helena,200,250,170,151,1500,250
marialva,300,300,350,180,1200,350
marilandia do sul,200,250,380,140,1000,250
marilena,200,250,290,150,1200,200
mariluz,184,216,228,144,1050,260
maringa,400,360,700,230,1500,500
mariopolis,240,240,480,150,1200,300
maripa,300,300,1100,151,1000,350
marmeleiro,240,300,390,151,1000,200
marquinho,180,230,230,142,1000,180
marumbi,151,205,280,151,800,200
matelandia,272,260,564,200,1000,306
matinhos,320,350,350,250,1200,400
mato rico,151,220,200,80,1285,151
maua da serra,250,300,240,160,2000,300
medianeira,300,320,700,200,1200,350
mercedes,302,300,450,151,800,450
mirador,200,300,320,151,0,200
miraselva,220,240,220,151,0,302
missal,300,300,420,180,800,300
moreira sales,200,236,471,100,800,250
morretes,250,300,800,200,2000,300
munhoz de melo,220,247,230,140,0,300
nossa senhora das gracas,238,260,0,130,600,300
nova alianca do ivai,215,250,224,150,300,400
nova america da colina,190,248,1000,151,350,270
nova aurora,240,275,300,151,2000,300
nova cantu,151,240,151,120,1000,200
nova esperanca,280,300,302,151,1000,400
nova esperanca do sudoeste,200,300,281,150,16000,200
nova fatima,200,205,500,151,1000,350
nova laranjeiras,220,250,550,151,1000,200
nova londrina,250,280,500,151,1000,300
nova olimpia,193,227,235,151,906,200
nova prata do iguacu,275,300,261,151,1200,300
nova santa barbara,151,192,283,140,1200,280
nova santa rosa,280,300,370,151,1950,300
nova tebas,151,240,286,130,800,151
novo itacolomi,160,220,1259,130,600,200
ortigueira,170,230,320,151,1000,151
ourizona,250,270,387,151,2000,400
ouro verde do oeste,250,280,220,151,800,300
paicandu,280,300,369,190,1000,350
palmas,280,300,300,160,2000,400
palmeira,250,300,416,151,1800,300
palmital,180,250,250,102,700,300
palotina,280,300,730,151,1500,450
paraiso do norte,230,260,700,151,1000,400
paranacity,242,300,500,151,1200,300
paranagua,360,400,772,240,1500,350
paranapoema,239,280,780,151,0,300
paranavai,300,300,600,170,1500,400
pato bragado,300,280,600,151,1000,450
pato branco,350,350,679,200,1600,500
paula freitas,230,280,600,151,2200,200
paulo frontin,200,300,618,160,800,151
peabiru,230,286,700,151,1000,250
perobal,226,270,500,170,1000,250
perola,200,223,402,151,1700,300
perola d'oeste,200,270,350,150,550,200
pien,280,300,520,150,1300,200
pinhais,400,400,600,250,1500,450
pinhal de sao bento,200,300,300,130,10000,200
pinhalao,200,300,340,151,800,280
pinhao,230,300,370,150,1000,200
pirai do sul,230,300,568,151,1500,300
piraquara,310,350,600,200,1500,380
pitanga,180,280,424,151,1300,173
pitangueiras,200,270,365,150,300,300
planaltina do parana,200,300,265,151,5615,300
planalto,240,302,382,151,1500,200
ponta grossa,350,350,760,180,1700,400
pontal do parana,310,380,600,230,1500,350
porecatu,300,300,720,151,1000,400
porto amazonas,250,290,151,160,1200,450
porto barreiro,151,250,151,120,0,170
porto rico,225,270,416,200,800,225
porto vitoria,250,280,360,151,900,200
prado ferreira,200,230,180,160,1750,350
pranchita,250,260,346,151,1000,300
presidente castelo branco,250,300,360,151,500,300
primeiro de maio,200,240,332,151,500,300
prudentopolis,170,250,570,151,900,150
quarto centenario,200,280,700,120,3000,250
quatigua,225,270,600,151,1200,200
quatro barras,350,365,800,200,1500,302
quatro pontes,340,302,480,180,1000,500
quedas do iguacu,250,310,315,151,1000,200
querencia do norte,200,280,316,140,2000,250
quinta do sol,200,240,750,150,1500,250
quitandinha,200,300,600,150,1000,200
ramilandia,200,280,251,150,5000,250
rancho alegre,200,220,630,151,1000,300
rancho alegre d'oeste,200,256,600,150,1000,250
realeza,270,302,376,151,1000,300
reboucas,180,280,750,140,1500,151
renascenca,220,300,300,151,1000,200
reserva,180,250,302,125,1000,170
reserva do iguacu,280,350,800,150,1200,300
ribeirao claro,200,225,900,151,1000,300
ribeirao do pinhal,180,200,215,151,2000,250
rio azul,175,250,302,151,1000,160
rio bom,190,250,260,151,500,180
rio bonito do iguacu,160,270,180,151,750,150
rio branco do ivai,170,260,340,130,0,200
rio branco do sul,300,340,380,180,1500,260
rio negro,291,280,720,160,1000,300
rolandia,300,300,735,190,1000,400
roncador,180,240,180,150,1000,200
rondon,250,280,500,160,1050,300
rosario do ivai,180,300,175,150,1000,200
sabaudia,250,285,280,170,1000,300
salgado filho,200,280,300,151,500,150
salto do itarare,150,260,500,112,800,150
salto do lontra,230,320,394,151,1500,200
santa amelia,151,160,200,140,1500,250
santa cecilia do pavao,161,240,184,151,1000,151
santa cruz de monte castelo,200,226,350,150,1500,300
santa fe,240,250,700,151,1000,300
santa helena,300,300,600,151,1500,300
santa ines,246,300,199,151,600,500
santa isabel do ivai,200,225,598,150,600,300
santa izabel do oeste,230,300,308,151,1000,250
santa lucia,200,304,648,150,700,200
santa maria do oeste,151,249,300,130,500,150
santa mariana,200,200,800,151,1250,350
santa monica,151,289,200,150,0,230
santa tereza do oeste,300,300,310,200,1000,370
santa terezinha de itaipu,300,370,350,180,1000,400
santana do itarare,200,250,440,120,2000,300
santo antonio da platina,250,250,369,151,1500,302
santo antonio do caiua,171,260,0,150,5000,250
santo antonio do paraiso,202,243,800,151,1500,200
santo antonio do sudoeste,205,235,500,151,1000,200
santo inacio,267,300,330,151,1000,400
sao carlos do ivai,250,300,176,151,1000,300
sao jeronimo da serra,151,250,227,150,1200,200
sao joao,200,280,324,150,1900,200
sao joao do caiua,200,250,295,150,1500,300
sao joao do ivai,200,250,300,150,900,200
sao joao do triunfo,151,226,450,120,1250,150
sao jorge do ivai,230,240,268,151,2000,300
sao jorge do patrocinio,180,200,300,150,1000,200
sao jorge d'oeste,200,300,597,151,600,200
sao jose da boa vista,151,280,226,130,1000,151
sao jose das palmeiras,158,250,711,100,700,180
sao jose dos pinhais,388,400,546,250,1500,400
sao manoel do parana,200,253,310,150,1500,300
sao mateus do sul,250,300,280,151,1000,200
sao miguel do iguacu,300,300,600,200,1500,400
sao pedro do iguacu,200,300,340,90,500,250
sao pedro do ivai,250,280,300,150,1200,300
sao pedro do parana,220,300,200,168,3000,250
sao sebastiao da amoreira,200,225,800,151,1000,300
sao tome,200,252,240,150,1000,200
sapopema,200,250,226,151,1200,200
sarandi,300,300,280,200,1500,302
saudade do iguacu,270,300,680,180,1000,250
senges,230,250,320,151,1200,250
serranopolis do iguacu,240,300,400,151,700,250
sertaneja,240,260,500,151,2000,250
