city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
itaipulandia,1712,20,190,669,145,688
itambaraca,2083,43,153,1326,80,481
itambe,1876,54,269,874,154,526
itapejara d'oeste,1880,27,220,773,64,797
itaperucu,3978,229,398,2719,76,555
itauna do sul,1294,27,107,468,51,640
ivai,1820,35,160,728,27,871
ivaipora,7455,234,1022,3030,367,2803
ivate,1957,14,87,1199,127,531
ivatuba,1094,25,99,392,97,481
jaboti,1057,8,107,299,4,639
jacarezinho,11889,509,902,7395,752,2332
jaguapita,3454,54,311,1941,111,1037
jaguariaiva,8346,166,698,4938,226,2319
jandaia do sul,5982,212,708,3340,142,1579
janiopolis,2052,23,255,636,99,1038
japira,1134,25,63,477,77,491
japura,2979,21,220,1540,21,1176
jardim alegre,2769,40,297,914,69,1448
jardim olinda,276,0,9,170,7,91
jataizinho,3266,115,363,1731,157,901
jesuitas,2405,28,246,764,164,1204
joaquim tavora,2979,107,197,1586,52,1037
jundiai do sul,1055,10,93,524,23,406
juranda,1885,31,268,868,20,699
jussara,2180,61,209,1361,40,510
kalore,1141,6,147,544,31,412
lapa,10043,414,1006,5300,589,2734
laranjal,1099,0,113,353,16,617
laranjeiras do sul,7535,160,845,4043,289,2197
leopolis,1334,20,58,711,52,492
lidianopolis,1172,20,57,284,51,759
lindoeste,1091,14,91,467,142,377
loanda,5959,143,782,2737,193,2105
lobato,1432,28,199,855,59,290
londrina,142105,5621,11096,85442,8568,31378
luiziana,1822,10,231,842,79,660
lunardelli,1523,28,192,379,71,854
lupionopolis,1323,8,173,833,0,309
mallet,2305,42,256,1332,89,587
mambore,3424,57,444,1728,50,1145
mandaguacu,5372,208,408,3168,132,1455
mandaguari,9940,351,997,5702,231,2659
mandirituba,3850,94,415,1891,188,1263
manfrinopolis,241,7,16,65,105,48
mangueirinha,3652,33,341,1554,284,1440
manoel ribas,2328,35,344,761,178,1010
marechal candido rondon,12189,401,1202,6741,491,3355
maria helena,1545,21,160,670,72,622
marialva,7595,192,717,4211,270,2206
marilandia do sul,2039,38,251,868,33,850
marilena,1777,10,180,743,58,786
mariluz,2824,20,238,1683,29,855
maringa,93259,2591,6407,59029,5618,19614
mariopolis,1291,17,135,570,152,417
maripa,1302,30,155,774,23,320
marmeleiro,2789,73,397,1170,166,984
marquinho,726,0,39,250,67,370
marumbi,1296,18,159,555,37,527
matelandia,3810,86,291,1989,120,1323
matinhos,6374,126,749,3169,537,1793
mato rico,542,0,44,156,117,224
maua da serra,1695,17,109,838,139,591
medianeira,11134,232,1011,5998,720,3174
mercedes,791,10,65,332,59,325
mirador,823,6,25,350,58,386
miraselva,695,3,61,372,31,228
missal,2302,71,340,849,217,825
moreira sales,3700,44,351,1754,136,1414
morretes,4082,111,298,2003,168,1502
munhoz de melo,1056,19,76,620,45,297
nossa senhora das gracas,1179,3,107,826,0,242
nova alianca do ivai,457,10,47,174,70,155
nova america da colina,1361,0,37,640,23,661
nova aurora,3464,38,410,1537,268,1211
nova cantu,1951,49,297,639,78,889
nova esperanca,7896,126,803,3562,308,3097
nova esperanca do sudoeste,771,14,68,252,79,357
nova fatima,2588,59,250,1286,90,904
nova laranjeiras,1321,5,106,511,142,557
nova londrina,4233,103,421,2247,160,1303
nova olimpia,1562,0,199,541,137,685
nova prata do iguacu,1924,41,210,596,182,894
nova santa barbara,971,21,140,204,56,549
nova santa rosa,1613,35,170,733,103,572
nova tebas,1387,18,118,643,67,541
novo itacolomi,692,0,43,240,14,395
ortigueira,3931,45,401,1853,107,1525
ourizona,1024,15,97,622,35,255
ouro verde do oeste,1232,9,164,628,32,398
paicandu,9871,433,1079,5883,396,2081
palmas,9480,244,1002,5325,353,2555
palmeira,7361,176,898,3943,487,1857
palmital,3358,42,424,1289,28,1575
palotina,8044,191,1028,4423,297,2105
paraiso do norte,3603,45,330,2040,54,1134
paranacity,2964,53,266,1498,128,1019
paranagua,33363,815,2593,21440,1105,7410
paranapoema,737,0,39,425,21,253
paranavai,22829,816,2237,12429,1267,6080
pato bragado,948,13,90,520,115,210
pato branco,18915,740,1452,11710,1125,3887
paula freitas,1003,44,98,515,17,329
paulo frontin,899,5,79,547,40,228
peabiru,3524,70,434,1743,126,1150
perobal,1535,12,113,732,51,627
perola,2783,40,286,1268,38,1151
perola d'oeste,1211,34,153,453,114,457
pien,2436,39,179,1683,17,519
pinhais,31772,1152,2467,21975,1002,5175
pinhal de sao bento,251,0,23,83,45,99
pinhalao,1437,23,114,323,243,734
pinhao,5749,25,488,2978,148,2109
pirai do sul,5483,132,446,2889,191,1826
piraquara,21583,1040,2103,12554,881,5005
pitanga,7555,136,866,3033,177,3343
pitangueiras,899,0,48,285,85,481
planaltina do parana,1091,19,140,325,25,583
planalto,2317,45,292,863,258,858
ponta grossa,72485,2824,5483,49726,3169,11283
pontal do parana,2780,44,401,1110,146,1079
porecatu,5398,162,287,4106,81,762
