city,total,regular,military_and_gov,irregular,entrepreneur,employers
sao jose do xingu,1351.14,924.88,1396.71,797.88,2429.8,2128.58
sao jose dos quatro marcos,1080.71,902.13,1309.04,648.09,1288.01,5794.83
sao pedro da cipa,847.43,867.49,786.63,634.01,921.83,2448.77
sapezal,1540.17,1324.82,1720.4,888.19,2052.41,6400.9
serra nova dourada,829.95,814.7,927.05,800.27,827.92,-
sinop,1433.16,1168.84,2199.92,820.82,1593.63,4961.27
sorriso,1563.26,1221.54,1984.16,819.95,2615.77,5360.68
tabapora,1022.8,1001.46,1070.94,826.18,1194.66,3737.07
tangara da serra,1454.87,1173.16,2159.51,680.58,2268.85,3873.74
tapurah,1380.31,1103.98,1476.48,862.51,2382.02,5713.62
terra nova do norte,965.59,1077.16,1939.03,565.87,878.07,3404.04
tesouro,879.98,926.76,1109.89,614.86,802.25,3637.39
torixoreu,1131.18,935.92,1077.94,547.96,1522.77,4229.02
uniao do sul,967.36,1013.13,1300.38,733.69,1117.6,2582.01
vale de sao domingos,1000.7,1126.81,988.89,742.24,1155.63,2338.27
varzea grande,1138.15,1030.58,1804.84,793.43,1340.21,3917.41
vera,947.4,915.04,1159.8,676.9,1378.58,2012.48
vila bela da santissima trindade,1086.9,916.05,1445.11,706.71,1530.28,20000
vila rica,1201.36,1015.35,1580.53,662.78,1559.26,8106.46
