city,total,main_regular,main_irregular,other_regular,other_irregular
nova mutum,17960.83915036,13010.14716154,4950.69198882,13039.57835791,4921.26079245
nova nazare,987.48183183,497.66984129,489.81199054,501.28950461,486.19232722
nova olimpia,7226.32021636,5177.70670597,2048.61351039,5177.70670597,2048.61351039
nova santa helena,1643.31261206,743.96530703,899.34730503,743.96530703,899.34730503
nova ubirata,4658.5170054,2681.68985422,1976.82715118,2687.88276802,1970.63423738
nova xavantina,9530.16881475,4256.81654083,5273.35227392,4256.81654083,5273.35227392
novo horizonte do norte,1974.23724712,625.86025011,1348.37699701,627.8090696,1346.42817752
novo mundo,3519.64940445,1074.75642768,2444.89297677,1074.75642768,2444.89297677
novo santo antonio,836.12905725,472.68826852,363.44078873,472.68826852,363.44078873
novo sao joaquim,2710.47163035,1181.21968603,1529.25194432,1181.21968603,1529.25194432
paranaita,5255.71535039,1953.82300184,3301.89234855,1963.53324007,3292.18211031
paranatinga,8353.03302103,4651.74355324,3701.28946779,4651.74355324,3701.28946779
pedra preta,6689.46832455,4231.90212352,2457.56620103,4231.90212352,2457.56620103
peixoto de azevedo,14231.80678869,4374.50819768,9857.29859101,4374.50819768,9857.29859101
planalto da serra,1015.82352863,375.49663414,640.32689449,375.49663414,640.32689449
pocone,12155.54447272,5182.71059174,6972.83388098,5182.71059174,6972.83388098
pontal do araguaia,2631.0961997,1395.81432426,1235.28187544,1399.28419704,1231.81200266
ponte branca,739.98493517,327.07562124,412.90931393,327.07562124,412.90931393
pontes e lacerda,19369.68797936,10442.5084123,8927.17956706,10442.5084123,8927.17956706
porto alegre do norte,4462.77050292,1640.91639512,2821.8541078,1640.91639512,2821.8541078
porto dos gauchos,2500.71648626,1468.99226538,1031.72422088,1468.99226538,1031.72422088
porto esperidiao,4371.73800553,1865.18879472,2506.54921081,1874.88721055,2496.85079498
porto estrela,1068.60707963,308.99233102,759.61474861,308.99233102,759.61474861
poxoreo,6532.7150803,3349.29459083,3183.42048947,3354.09195636,3178.62312394
primavera do leste,27299.63618805,17601.86570753,9697.77048052,17641.04364075,9658.59254729
querencia,6953.49184944,3209.26595425,3744.22589519,3213.50377029,3739.98807915
reserva do cabacal,1230.5735488,506.19877975,724.37476905,508.83922536,721.73432343
ribeirao cascalheira,3914.81424905,1456.69146037,2458.12278868,1456.69146037,2458.12278868
ribeiraozinho,1089.00564985,447.04584353,641.95980632,447.04584353,641.95980632
rio branco,2348.63071488,1223.80060095,1124.83011393,1223.80060095,1124.83011393
rondolandia,1636.52834952,621.64922769,1014.87912183,621.64922769,1014.87912183
rondonopolis,97036.40868365,63795.35990918,33241.04877447,63879.72167939,33156.68700425
rosario oeste,7993.81683247,3296.83324164,4696.98359083,3300.45458749,4693.36224498
salto do ceu,1636.7378294,705.35446962,931.38335978,711.73696478,925.00086463
santa carmem,1903.88394403,1071.35199552,832.53194851,1071.35199552,832.53194851
santa cruz do xingu,974.5080824,431.90472776,542.60335464,433.89194834,540.61613405
santa rita do trivelato,1239.01196436,829.94985049,409.06211387,829.94985049,409.06211387
santa terezinha,2738.88972851,986.50099043,1752.38873808,986.50099043,1752.38873808
santo afonso,1250.24687449,613.09201366,637.15486083,613.09201366,637.15486083
santo antonio do leste,1497.04669811,936.50034978,560.54634833,936.50034978,560.54634833
santo antonio do leverger,7187.66889395,3605.5719779,3582.09691605,3613.72864165,3573.9402523
sao felix do araguaia,4208.8626885,1919.34181811,2289.52087039,1919.34181811,2289.52087039
sao jose do povo,1299.83759642,573.25813122,726.5794652,573.25813122,726.5794652
sao jose do rio claro,8527.72353844,4989.7756242,3537.94791424,4989.7756242,3537.94791424
sao jose do xingu,2204.75859363,1067.58688001,1137.17171362,1067.58688001,1137.17171362
sao jose dos quatro marcos,8592.46883989,4717.87738929,3874.5914506,4734.08779458,3858.38104531
sao pedro da cipa,1705.73772429,1370.010074,335.72765029,1373.57704351,332.16068078
sapezal,9206.89008393,7089.86875168,2117.02133225,7107.78600063,2099.1040833
serra nova dourada,593.25204655,209.34460396,383.90744259,211.23400255,382.018044
sinop,59595.71150126,38716.83587958,20878.87562168,38770.7283172,20824.98318406
sorriso,34068.78163073,21834.71517195,12234.06645878,21853.98473077,12214.79689996
tabapora,4923.47375297,2348.54495483,2574.92879814,2348.54495483,2574.92879814
tangara da serra,40974.30371747,26664.7675414,14309.53617607,26664.7675414,14309.53617607
tapurah,4981.8683415899995,3279.51550887,1702.35283272,3279.51550887,1702.35283272
terra nova do norte,6481.47912266,2833.52953913,3647.94958353,2833.52953913,3647.94958353
tesouro,1223.47355017,666.22607154,557.24747863,666.22607154,557.24747863
torixoreu,1571.92220351,821.71023273,750.21197078,825.30727316,746.61493035
uniao do sul,1785.10596646,789.10647158,995.99949488,789.10647158,995.99949488
vale de sao domingos,1220.54488429,389.16886859,831.3760157,389.16886859,831.3760157
varzea grande,120623.49589994,76001.79751409,44621.69838585,76159.90882594,44463.58707399
vera,4748.27702663,2810.24339075,1938.03363588,2810.24339075,1938.03363588
vila bela da santissima trindade,4985.70397195,2175.07922557,2810.62474638,2181.07957336,2804.6243986
vila rica,10022.94600203,3864.72032517,6158.22567686,3864.72032517,6158.22567686
