city,total,adequada,semi_adequada,inadequada
ipero,7796,3699.408278,4053.67065944,42.92106256
ipeuna,1776.43517969,1154.48434721,588.41798085,33.53285163
ipigua,1442.00000002,840.57406778,591.06865476,10.35727748
iporanga,1238.18099788,528.31487142,639.5939265,70.27219996
ipua,4372.99401881,3560.66504025,785.20934479,27.11963377
iracemapolis,5947.99999997,4939.29018139,1008.70981858,-
irapua,2246.23571567,1644.81621286,592.18780605,9.23169676
irapuru,2221.00000001,1620.78485389,592.58527736,7.62986876
itabera,5517.14093697,2947.78499242,2439.76867319,129.58727136
itai,7151.87881633,4807.71201152,2234.22071879,109.94608602
itajobi,4857,3745.41002024,1091.64148887,19.94849089
itaju,973.99999999,640.73185087,333.26814912,-
itanhaem,28228.06987001,17290.95337031,10818.848188,118.2683117
itaoca,990.99999999,292.7151219,673.84244958,24.44242851
itapecerica da serra,42745.31554799,14101.66436961,28501.40670785,142.24447053
itapetininga,42257.72831967,30238.0966724,11934.91807425,84.71357302
itapeva,26604.78078949,17528.18753224,8743.18094507,333.41231218
itapevi,57597.69761054,31075.93216988,26456.79003024,64.97541042
itapira,21189.10621936,17338.57561664,3850.53060272,-
itapirapua paulista,1159.1247659,388.68121237,749.21863722,21.22491631
itapolis,13192.21305237,10642.98345778,2482.25776556,66.97182903
itaporanga,4744.47867703,3021.27913861,1647.96945251,75.23008591
itapui,3707.99999997,2692.28610271,1015.71389726,-
itapura,1337.83167959,341.96215283,982.04398458,13.82554218
itaquaquecetuba,89680.11115114,45529.36857944,43955.17222581,195.57034589
itarare,15161.99999998,10731.48523968,4354.41761685,76.09714345
itariri,4596.09021734,1826.51213535,2612.16832974,157.40975225
itatiba,31123.78417117,22278.75066438,8842.57134039,2.4621664
itatinga,5228.99999997,3660.96607475,1524.94331169,43.09061353
itirapina,4010,2704.28077691,1291.72195918,13.99726391
itirapua,1713.00000001,1203.49457185,490.32612701,19.17930115
itobi,2288.26946739,1673.95960381,600.1711353,14.13872828
itu,46476.82294544,34796.10142773,11579.0920116,101.62950611
itupeva,13300,7465.56981632,5834.43018368,-
ituverava,12596.23075486,11185.82113944,1379.09478439,31.31483103
jaborandi,2026.23608312,1529.9325238,496.30355932,-
jaboticabal,22660.56083374,19207.95704663,3431.40812712,21.19565999
jacarei,64214.79927111,49427.4755051,14748.08163613,39.24212988
jaci,1752.96085781,1327.10314191,415.0890544,10.7686615
jacupiranga,5300.99999999,2956.70943612,2184.83436738,159.45619649
jaguariuna,13539.4516555,10321.62708666,3213.79606085,4.02850799
jales,16277.51957889,14401.14762042,1855.76619911,20.60575936
jambeiro,1648,851.3923863,782.84274098,13.76487272
jandira,32527.24920042,20475.996209,12051.25299142,-
jardinopolis,11129.70486382,8753.45843538,2331.10947957,45.13694887
jarinu,7097,1656.14388491,5407.94750475,32.90861034
jau,40919.66878236,34414.76403482,6452.69722145,52.20752609
jeriquara,969.99999999,710.03901564,259.96098435,-
joanopolis,3890.53276605,2309.84873492,1575.74378237,4.94024876
joao ramalho,1282.93521794,918.53887591,349.21310214,15.18323989
jose bonifacio,10324.99999999,8114.37407827,2161.21902139,49.40690033
julio mesquita,1372.99999999,1056.50560495,314.13892478,2.35547026
jumirim,855.00000001,447.03053507,405.74893198,2.22053296
jundiai,118265.25679203,94596.84465272,23650.83213801,17.5800013
junqueiropolis,5788.00000001,4624.83210356,1132.57359903,30.59429742
juquia,5943.60809073,2614.52019201,3115.59083866,213.49706006
juquitiba,8746.37640836,2309.62302536,6235.99689854,200.75648446
lagoinha,1695,866.38169197,821.53614162,7.08216641
laranjal paulista,7939.99999999,5778.05826636,2161.94173363,-
lavinia,1765,1345.14263301,404.75221109,15.1051559
lavrinhas,1854.51775418,1077.03588311,769.26519659,8.21667448
leme,27919.53515136,22194.12526749,5682.69112185,42.71876202
lencois paulista,18161.57207031,15258.22871248,2895.5998724,7.74348543
limeira,84413.77783162,68054.49566509,16300.40002309,58.88214344
lindoia,2211.97497817,1500.04620933,708.70868244,3.2200864
lins,22852.80831094,19851.98197938,2995.55139495,5.27493661
lorena,25071.58914734,19681.971139,5364.50994216,25.10806618
lourdes,713,529.36035324,178.34946873,5.29017803
louveira,11039.82927657,7303.53785095,3726.62703881,9.66438681
lucelia,6012.99999999,4995.05859133,1008.31473122,9.62667744
lucianopolis,709.00442726,487.44901602,219.29021912,2.26519212
luis antonio,3209.99999998,2582.14346079,622.64723723,5.20930196
luiziania,1559,1235.35430565,318.38365716,5.26203719
lupercio,1328.99999999,1043.00907285,281.33527623,4.65565091
lutecia,921.00000003,672.89038272,235.48910448,12.62051283
macatuba,4645.15843156,3687.33948824,949.68936948,8.12957384
macaubal,2687.99999999,2185.57479288,487.71839098,14.70681613
macedonia,1247.70354892,848.09542748,391.65068818,7.95743326
magda,1138.99999999,892.70317225,239.34967129,6.94715645
mairinque,12922.74641713,7562.4203584,5290.4875719,69.83848683
mairipora,23152.74186955,9348.65447688,13397.05487757,407.0325151
manduri,2903.00000001,2246.38447843,636.61994539,19.99557619
maraba paulista,1226.00935075,622.95674278,572.2301056,30.82250237
maracai,4372.00000002,3301.00795745,1049.23349396,21.75854861
marapoama,893.00000002,708.73396603,175.9595759,8.30645809
mariapolis,1295.86141975,876.94028564,408.74212624,10.17900787
marilia,68711.16407033,59196.97762214,9370.55798672,143.62846147
marinopolis,690.33794187,499.82746621,183.63019561,6.88028005
martinopolis,7526.00000002,5715.14954169,1810.85045833,-
matao,23710.20031057,19947.20592333,3762.99438724,-
maua,125369.11774998,83670.0707688,41687.1986816,11.84829958
mendonca,1555,1188.53431004,356.83707254,9.62861742
meridiano,1262.00000001,865.91152154,380.61639421,15.47208426
mesopolis,648,439.86135949,205.46209715,2.67654336
miguelopolis,6461.99552668,4744.54718985,1696.13060821,21.31772862
mineiros do tiete,3671.49726715,2905.44892186,752.86840119,13.1799441
mira estrela,1035.99999999,759.76110522,273.1802339,3.05866087
miracatu,6209.00000001,1991.49557279,3976.01042919,241.49399803
mirandopolis,8177.00000001,6097.59930546,2072.95757039,6.44312416
mirante do paranapanema,5486.57218738,2253.81061291,3042.29702802,190.46454645
mirassol,17419.82225896,14929.57349002,2473.19372388,17.05504506
mirassolandia,1411.09918803,1050.4779806,360.62120743,-
mococa,20301.51416348,16169.95679016,3953.29699769,178.26037563
mogi das cruzes,116385.62819945,76088.50598475,39975.42550121,321.69671349
mogi guacu,41778.11729528,34657.41451655,7086.79759766,33.90518107
