city,qt
jardinopolis,37595.7048638
jarinu,23827
jau,130373.6564321
jeriquara,3160
joanopolis,11661.1310641
joao ramalho,4133.93521795
jose bonifacio,32683
julio mesquita,4430
jumirim,2798
jundiai,369178.72985023
junqueiropolis,17414
juquia,19166.47281649
juquitiba,28554.39076955
lagoinha,4798
laranjal paulista,25251
lavinia,5124
lavrinhas,6510.55326256
leme,91351.65980715
lencois paulista,61257.14414059
limeira,275161.36510948
lindoia,6695.97497817
lins,70592.42340434
lorena,82200.17829468
lourdes,2101
louveira,37033.48782968
lucelia,18445
lucianopolis,2247.00442727
luis antonio,11249
luiziania,5008
lupercio,4353
lutecia,2714
macatuba,16221.15843155
macaubal,7629
macedonia,3638.20458006
magda,3200
mairinque,43102.70281091
mairipora,80640.84708921
manduri,8962
maraba paulista,3585.97408855
maracai,13311
marapoama,2631
mariapolis,3912.86141976
marilia,214172.18010051
marinopolis,2111.33794188
martinopolis,22950
matao,76686.20031059
maua,415149.01558533
mendonca,4640
meridiano,3834
mesopolis,1886
miguelopolis,20369.9955267
mineiros do tiete,11987.49726714
mira estrela,2820
miracatu,20545
mirandopolis,24303
mirante do paranapanema,16930.06717753
mirassol,53598.47104721
mirassolandia,4292.09918803
mococa,65813.5141635
mogi das cruzes,386530.7011652
mogi guacu,136847.03777823
moji mirim,85812.70123488
mombuca,3266
moncoes,2132
mongagua,44813.3399158
monte alegre do sul,7128.14472308
monte alto,46505.5023542
monte aprazivel,21671.75613329
monte azul paulista,18869
monte castelo,4063
monte mor,48792.5270713
monteiro lobato,4095
morro agudo,29050
morungaba,11748
motuca,4270.7830535
murutinga do sul,4146.66357928
nantes,2707
narandiba,4288
natividade da serra,6673
nazare paulista,16385.26417825
neves paulista,8745.06363005
nhandeara,10611.0055604
nipoa,4270
nova alianca,5891
nova campina,8484.86972666
nova canaa paulista,2101.57989192
nova castilho,1125
nova europa,9294.72434205
nova granada,19155
nova guataporanga,2173.35977689
nova independencia,2991.96778236
nova luzitania,3431.45325461
nova odessa,51038.33165912
novais,4592
novo horizonte,36505.0730984
nuporanga,6788.26312884
ocaucu,4154.7173679
oleo,2673
olimpia,49899.97463424
onda verde,3870
oriente,6088
orindiuva,5643.05857965
orlandia,39657.40570749
osasco,665523.97620525
oscar bressane,2537
osvaldo cruz,29645.88468902
ourinhos,102731
ouro verde,7795.67649398
ouroeste,8338.09474576
pacaembu,10863
palestina,11028
palmares paulista,10921.87652309
palmeira d'oeste,9555.71000721
palmital,21159
panorama,14530.64110636
paraguacu paulista,40920.89398936
paraibuna,17298.44087431
paraiso,5896.09238752
paranapanema,17741.99200591
paranapua,3812.51664766
parapua,10822
pardinho,5551.25597623
pariquera-acu,18384
parisi,2032
patrocinio paulista,12963
pauliceia,6261.81838973
paulinia,82044.23713899
paulistania,1773.04126591
paulo de faria,8531.98672249
pederneiras,41399.67711457
pedra bela,5754
pedranopolis,2558
pedregulho,15652
pedreira,41411.59516438
pedrinhas paulista,2939
pedro de toledo,10170.95490829
penapolis,58298
pereira barreto,24618.24828344
pereiras,7454
peruibe,59525.88271472
piacatu,5098.21019897
piedade,51464.05467101
pilar do sul,26231.46775178
pindamonhangaba,146477.2633975
pindorama,14919
pinhalzinho,13015.74700461
piquerobi,3522
piquete,14041.81410216
piracaia,25023
piracicaba,363252.63010694
piraju,28371
pirajui,19597
pirangi,10580
pirapora do bom jesus,15703
pirapozinho,24589.97337105
pirassununga,69904
piratininga,11807.28712659
pitangueiras,35266
planalto,4463
platina,3192
poa,105789.53154448
poloni,5388.50319254
pompeia,19896
pongai,3447.17819221
pontal,40082.50113621
pontalinda,4049.57078702
pontes gestal,2518
populina,4208
porangaba,8306
porto feliz,48559.1444418
porto ferreira,51311.44599494
potim,16761.93978975
potirendaba,15430
pracinha,1524
pradopolis,17316
praia grande,261568.15872603
pratania,4599
presidente alves,4105.76756348
presidente bernardes,13492.0259007
presidente epitacio,40890.79039109
presidente prudente,205776.4432959
presidente venceslau,36414.94153268
promissao,35387.96427732
quadra,3232.41186445
quata,12699.91646067
queiroz,2805.04100064
queluz,10647
quintana,6004
rafard,8607
rancharia,28704.8674301
redencao da serra,3862
regente feijo,18460.29610488
reginopolis,5279
registro,54149.86515716
restinga,6571
ribeira,3335.01088712
ribeirao bonito,12094.46542366
ribeirao branco,18233.04705504
ribeirao corrente,4273
ribeirao do sul,4446
ribeirao dos indios,2187
ribeirao grande,7412.05795703
ribeirao pires,112787
ribeirao preto,600394.27789711
rifaina,3419.70079496
rincao,10270.57318529
rinopolis,9923
rio claro,185261.3456902
rio das pedras,29408.8219961
rio grande da serra,43755.0752133
riolandia,9337
riversul,6139.02601905
rosana,19624.04603634
roseira,9518.70328241
rubiacea,2729
rubineia,2849.8514966
sabino,5217
sagres,2395
sales,5426
sales oliveira,10548
salesopolis,15576.19811084
salmourao,4775.3075801
saltinho,7052.95701463
salto,105208.14442322
salto de pirapora,39249
salto grande,8692.82595345
sandovalina,3675.27664297
santa adelia,14241.40615417
santa albertina,5674
santa barbara d'oeste,179700.01132176
santa branca,13716.54229499
santa clara d'oeste,2084
santa cruz da conceicao,3994
santa cruz da esperanca,1953
santa cruz das palmeiras,29836
santa cruz do rio pardo,43647.88547455
santa ernestina,5557
santa fe do sul,29108
santa gertrudes,21560.70633072
santa isabel,50181.24472081
santa lucia,8248
santa maria da serra,5413
santa mercedes,2831
santa rita do passa quatro,26068
santa rita d'oeste,2543
santa rosa de viterbo,23800
santa salete,1447
santana da ponte pensa,1641
santana de parnaiba,108784.8144941
santo anastacio,20426
santo andre,675184.61882946
santo antonio da alegria,6250.91333818
santo antonio de posse,20605
santo antonio do aracangua,7623.79653535
santo antonio do jardim,5943
santo antonio do pinhal,6456.46760118
santo expedito,2803
santopolis do aguapei,4276
santos,417703.76657996
sao bento do sapucai,10395.98300247
sao bernardo do campo,762048.85958953
sao caetano do sul,148405.65833993
sao carlos,220751.3647654
sao francisco,2793
sao joao da boa vista,83353.13589584
sao joao das duas pontes,2566
sao joao de iracema,1780
sao joao do pau d'alho,2098
