city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
rio de janeiro,11.05,5.55,4.49,1.68,1.43,0.35
ate 5.000 ,-,-,-,-,-,-
de 5.001 a 10.000 ,20.8,12.5,23.75,13.96,8.69,3.48
comendador levy gasparian,14.73,9.51,8.09,2.53,2.9,0.3
laje do muriae,22.18,14.29,19.48,11.25,6.69,3.75
macuco,13.69,8.37,3.75,0.82,1.55,0.2
rio das flores,22.88,10.58,15.33,5.22,6.72,0.71
sao jose de uba,24.64,13.92,49.6,9.74,15.14,2.58
sao sebastiao do alto,27.94,16.21,56.39,28.84,21.8,9.18
varre-sai,30.51,13.64,47.34,28,19.55,5.58
de 10.001 a 20.000 ,20.15,10.47,16.81,9.55,6.8,2.33
aperibe,15.03,8.36,8.04,8.36,3.87,0.86
areal,16.8,7.76,5,2.85,1.43,0.57
cambuci,21.44,9.11,27.46,19.65,9.93,2.46
cantagalo,21.85,12.05,20.72,8.48,8.46,3.19
carapebus,14.1,7.11,15.49,8.91,3.85,1.35
cardoso moreira,27.29,13,27.99,11.63,12.64,2.96
carmo,20.77,10.53,11.2,3.99,4.23,1.45
duas barras,24.73,13.18,22.94,2.01,8.78,0.45
engenheiro paulo de frontin,12.51,5.75,8.85,0,2.14,0
italva,19.08,9.6,22.6,9.09,6.46,1.84
mendes,9.51,3.32,6.53,1.14,1.77,0.26
natividade,18.29,8.49,19.11,8.67,6.98,1.94
porciuncula,22.23,11.56,23,21.56,9.13,3.95
porto real,17.66,6.01,3.13,0.48,1.29,0.14
quatis,17.13,9.62,13.86,5.4,6.88,1.56
rio claro,26.52,13.17,24.58,9.66,10.93,3.44
santa maria madalena,26.73,15.71,34.03,16.08,14.32,5.11
sapucaia,28.89,14.7,27.54,17.56,13.8,5
sumidouro,31.21,14.27,45.47,14.53,18.33,3.42
trajano de moraes,28.88,15.94,40.26,20.28,17.4,5.87
de 20.001 a 50.000 ,19.84,9.54,15.18,4.67,6.35,1.36
armacao dos buzios,14.19,6.92,3.63,0.09,1.39,0
arraial do cabo,10.91,5.6,1.92,0.09,0.84,0.05
bom jardim,24.6,10.98,27.15,4.25,12.52,1.68
bom jesus do itabapoana,19.28,10.37,15.59,9.16,5.97,2.4
casimiro de abreu,18.08,8.18,4.2,1.11,1.56,0.36
conceicao de macabu,19.41,11.03,7.64,3.81,2.94,1.14
cordeiro,15.08,6.06,5.47,1.75,2.6,0.34
iguaba grande,14.29,5.2,3.1,0.56,1.52,0.19
itaocara,16.31,8.4,20.48,13.4,5.3,2.07
itatiaia,14.69,7.4,0.74,0.38,0.39,0.04
mangaratiba,13.7,5.2,6.01,1.01,2.3,0.15
miguel pereira,15.36,8,6.63,1.59,2.53,0.37
miracema,23.02,14.01,9.23,2.41,5.05,0.85
paracambi,10.21,3.83,5.8,1.97,1.01,0.04
paraiba do sul,19.13,8.86,10.53,5.75,5.01,2.13
paraty,22.7,10.23,14.32,4.27,6.22,1.18
paty do alferes,27.39,16.33,26.16,10.19,12.44,3.76
pinheiral,11.71,5.7,4.2,0.78,1.37,0.28
pirai,17.07,7.93,7.93,3.8,2.59,0.99
quissama,23.35,9.43,18.96,2.91,6.81,0.47
santo antonio de padua,20.47,8.23,18.84,7.1,7.32,1.62
sao fidelis,19.99,9.64,22.26,11.4,8.68,2.6
sao francisco de itabapoana,36.4,21.75,59.98,15.14,28,6.13
sao joao da barra,18.36,10.91,11.05,4.46,4.13,1.49
sao jose do vale do rio preto,20.43,9.4,14.26,2.68,5.7,0.56
