city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
resende,6.89,4.21,1.95,0.82,5.86,3.07,24.23,14.57
rio das ostras,10.6,3.73,3.83,0.69,10.44,3.15,27.04,12.82
sao joao de meriti,5.72,3.38,2.07,1.05,4.52,2.35,19.98,11.29
teresopolis,10.37,6.48,2.84,0.91,9.99,5.27,25.88,17.86
volta redonda,5.07,3.3,1.08,0.63,4.07,2.2,18.38,11.21
mais de 500.000 ,5.15,3.31,2.03,1.1,4.45,2.6,12.85,8.45
duque de caxias,8,4.99,2.7,1.32,6.95,3.72,26.7,17.39
nova iguacu,7.19,4.64,2.6,1.3,6.1,3.4,23.77,15.72
rio de janeiro,4.41,2.9,1.88,1.08,3.84,2.38,9.94,6.54
sao goncalo,5.81,3.58,1.77,0.88,4.8,2.46,19.13,11.9
