city,total,suitable,semi_suitable,inappropriate
rio rufino,726.52584535,208.98453681,510.20256789999996,7.33874064
riqueza,1514.00000001,260.18965594,1221.87377943,31.93656464
rodeio,3492.99999999,1600.80625181,1892.19374818,-
romelandia,1805.79159859,96.69264786,1674.03261834,35.06633239
salete,2283.28293514,906.03040017,1360.30266389,16.94987108
saltinho,1167.22136079,317.96339652,802.2378409,47.02012337
salto veloso,1367.39865523,977.17011907,390.22853616,-
sangao,3035.56726105,420.3785473,2595.76797934,19.42073441
santa cecilia,4643.03981974,2910.20213652,1688.61063763,44.22704559
santa helena,721.99999999,40.41052119,670.43716371,11.15231509
santa rosa de lima,600.20780043,72.12819948,523.56257577,4.51702518
santa rosa do sul,2660.57892404,1157.90847654,1502.6704475,-
santa terezinha,2496.99999996,276.93991584,2082.21553126,137.84455286
santa terezinha do progresso,865.99787247,36.71419521,815.44471667,13.83896059
santiago do sul,431.00000001,48.82946832,375.18280763,6.98772406
santo amaro da imperatriz,6158.0,3842.38223589,2315.61776411,-
sao bento do sul,23830.99999999,19940.11155784,3883.49501786,7.39342429
sao bernardino,786.84300368,13.06790961,721.17510344,52.59999063
sao bonifacio,970.12921683,206.21336712,761.74407297,2.17177674
sao carlos,3242.83854273,624.18048181,2591.06818584,27.58987508
sao cristovao do sul,1335.87935901,655.68188433,672.86907901,7.32839567
sao domingos,2965.70646029,399.15523604,2534.94930908,31.60191517
sao francisco do sul,13483.99999998,8070.70022593,5380.79515659,32.50461746
sao joao batista,8123.89388287,5149.23062965,2974.66325322,-
sao joao do itaperiu,1011.36187023,189.99927844,821.36259179,-
sao joao do oeste,1926.00000002,367.64457498,1532.13999785,26.21542719
sao joao do sul,2333.67007462,370.98296707,1945.8206079,16.86649965
sao joaquim,7994.89427865,4329.4626085,3612.00078075,53.4308894
sao jose,69569.50167309,59906.81051175,9646.79970236,15.89145898
sao jose do cedro,4350.03770449,1337.46848589,2962.78595109,49.78326751
sao jose do cerrito,2925.99595047,262.21129628,2572.60967357,91.17498062
sao lourenco do oeste,6844.00000002,2211.79604298,4586.11464859,46.08930845
sao ludgero,3356.90965603,2480.14779585,846.02441174,30.73744844
sao martinho,981.0,236.73035502,744.26964498,-
sao miguel da boa vista,589.20146184,28.5865957,548.91569947,11.69916667
sao miguel do oeste,12226.62160411,7059.30273301,5167.3188711,-
sao pedro de alcantara,1102.41390465,580.13028988,522.28361477,-
saudades,2691.25894299,377.98125448,2304.40304592,8.87464259
schroeder,4672.67214633,2116.1605214,2556.51162493,-
seara,5457.00000001,2870.31809009,2570.84804873,15.83386119
serra alta,979.26302978,196.6185689,763.87136537,18.77309551
sideropolis,4001.83875339,2496.52861718,1494.05853539,11.25160082
sombrio,8583.00000001,1647.91442756,6935.08557245,-
sul brasil,853.99999998,33.94631427,792.7967738,27.25691191
taio,5524.38322066,2370.32850472,3126.7480362,27.30667974
tangara,2817.1583454,963.38890187,1815.72134029,38.04810324
tigrinhos,582.25356176,28.32448089,550.73122307,3.1978578
tijucas,9776.02258341,7410.74754947,2365.27503394,-
