city,qt
nova padua,2443
nova palma,6336.47366838
nova petropolis,18872.37852932
nova prata,22669
nova ramada,2437
nova roma do sul,3343
nova santa rita,22705
novo barreiro,3978
novo cabrais,3821.74147375
novo hamburgo,238134.48218524
novo machado,3921.94113731
novo tiradentes,2277
novo xingu,1757
osorio,40815.38516966
paim filho,4240.12761142
palmares do sul,10945.8990252
palmeira das missoes,33935.75937257
palmitinho,6916.61394208
panambi,37931.6042101
pantano grande,9862.00872421
parai,6794
paraiso do sul,7329.20327438
pareci novo,3506
parobe,51369.61290883
passa sete,5154
passo do sobrado,5962.46802859
passo fundo,183596.812749
paulo bento,2196
paverama,8030.54606195
pedras altas,2212
pedro osorio,7755.10321121
pejucara,3970
pelotas,326937.85364402
picada cafe,5151.41957852
pinhal,2513
pinhal da serra,2130
pinhal grande,4465.54075496
pinheirinho do vale,4472.48740072
pinheiro machado,12737.90604749
pirapo,2743.36270895
piratini,19841
planalto,10453.00449921
poco das antas,2017
pontao,3833.33719163
ponte preta,1750
portao,30739
porto alegre,1397394.37805848
porto lucena,5385.66665327
porto maua,2524.27494139
porto vera cruz,1841.43046024
porto xavier,10533.78818204
pouso novo,1868
presidente lucena,2479.51658812
progresso,6155.21483986
protasio alves,2000
putinga,4135
quarai,22938
quatro irmaos,1775
quevedos,2683.00830925
quinze de novembro,3650.85821733
redentora,10213
relvado,2155
restinga seca,15764.71240206
rio dos indios,3589.59779841
rio grande,195766.01677164
rio pardo,37236.66056417
riozinho,4313
roca sales,10251.60253682
rodeio bonito,5727.52177385
rolador,2546
rolante,19404.52622512
ronda alta,10143.17472508
rondinha,5507.43012696
roque gonzales,7158.74035293
rosario do sul,39513.4585258
sagrada familia,2572.13892805
saldanha marinho,2861
salto do jacui,11805.16627394
salvador das missoes,2661.02480416
salvador do sul,6641.86345964
sananduva,15353.36366658
santa barbara do sul,8821
santa cecilia do sul,1651.11680159
santa clara do sul,5641.70665502
santa cruz do sul,117377.23712566
santa margarida do sul,2158.47605481
santa maria,259310.838583
santa maria do herval,6041.20775628
santa rosa,68106.42934596
santa tereza,1717
santa vitoria do palmar,30837
santana da boa vista,8232
sant'ana do livramento,82129.2888221
santiago,48763.07859992
santo angelo,75791.72521552
santo antonio da patrulha,39526.47956339
santo antonio das missoes,11177.64582257
santo antonio do palma,2139
santo antonio do planalto,1987
santo augusto,13968
santo cristo,14299.65414572
santo expedito do sul,2461
sao borja,61275.17313393
sao domingos do sul,2918
sao francisco de assis,19188
sao francisco de paula,20182.22246789
sao gabriel,59537.09939314
sao jeronimo,21872.97357078
sao joao da urtiga,4726
sao joao do polesine,2591
sao jorge,2771
sao jose das missoes,2720
sao jose do herval,2204
sao jose do hortencio,4090.95723424
sao jose do inhacora,2181.3353259
sao jose do norte,25389.99274756
sao jose do ouro,6904
sao jose do sul,2075.71878192
sao jose dos ausentes,3284
sao leopoldo,213284.63954992
sao lourenco do sul,42863.7836714
sao luiz gonzaga,34291.33411196
sao marcos,20084
sao martinho,5743.88359651
sao martinho da serra,3201
sao miguel das missoes,7421
sao nicolau,5689.73465893
sao paulo das missoes,6293.20002424
sao pedro da serra,3315
sao pedro das missoes,1886
sao pedro do butia,2873
sao pedro do sul,16319.0074509
sao sebastiao do cai,21850.44531759
sao sepe,23671
sao valentim,3632
sao valentim do sul,2168
sao valerio do sul,2647
sao vendelino,1942.25365019
sao vicente do sul,8388
sapiranga,74826.73108011
sapucaia do sul,130638.35730433
sarandi,21077.22010899
seberi,10860.34534521
sede nova,2995.73900145
segredo,7141.39365292
selbach,4916
senador salgado filho,2814
sentinela do sul,5198
serafina correa,14246
serio,2268.00338568
sertao,6284.70607312
sertao santana,5815.16455918
sete de setembro,2124
severiano de almeida,3811.07226917
silveira martins,2437
sinimbu,10047
sobradinho,14125
soledade,29810.04268353
tabai,4114.88863912
tapejara,19205.45206355
tapera,10386.54224503
tapes,16577.61074992
taquara,54211
taquari,25888.8902504
taquarucu do sul,2951.70397534
tavares,5345.61040858
tenente portela,13704
terra de areia,9874
teutonia,27187.88695722
tio hugo,2724
tiradentes do sul,6461
toropi,2952
torres,34472.1367928
tramandai,41450.34351005
travesseiro,2314
tres arroios,2855
tres cachoeiras,10189.4363315
tres coroas,23738
tres de maio,23638.05076959
tres forquilhas,2899.73028024
tres palmeiras,4374.62388499
tres passos,23479.80177556
trindade do sul,5747.87238207
triunfo,25729.47528483
tucunduva,5887
tunas,4395
tupanci do sul,1563.23397255
tupancireta,22225.4910199
tupandi,3924
tuparendi,8549.29822768
turucu,3522
ubiretama,2296
uniao da serra,1487
unistalda,2450
uruguaiana,124352.38823204
vacaria,60938
vale do sol,11071.48439826
vale real,5105.87983882
vale verde,3253
vanini,1984
venancio aires,65515.0773447
vera cruz,23928.89588547
veranopolis,22765
vespasiano correa,1967.83881777
viadutos,5298
viamao,237832.18284617
vicente dutra,5258.45985058
victor graeff,3021.54895022
vila flores,3200
vila langaro,2146.85650313
vila maria,4221
vila nova do sul,4221
vista alegre,2832
vista alegre do prata,1534.85187392
vista gaucha,2759
vitoria das missoes,3463.40019587
westfalia,2793
xangri-la,12402.48895328
