city,qt
abatia,8219
adrianopolis,7027
agudos do sul,7221
almirante tamandare,88271
altamira do parana,7037
alto parana,12714
alto piquiri,10717
altonia,19086
alvorada do sul,9253
amapora,4655
ampere,15576
anahy,2996
andira,21558
angulo,2837
antonina,19096
antonio olinto,7407
apucarana,107508
arapongas,85280
arapoti,23799
arapua,4172
araruna,13072
araucaria,94116
ariranha do ivai,2883
assai,18007
assis chateaubriand,33245
astorga,23596
atalaia,4012
balsa nova,10141
bandeirantes,33579
barbosa ferraz,14070
barra do jacare,2723
barracao,9260
bela vista da caroba,4503
bela vista do paraiso,14954
bituruna,15980
boa esperanca,5162
boa esperanca do iguacu,3107
boa ventura de sao roque,6780
boa vista da aparecida,8414
bocaiuva do sul,9003
bom jesus do sul,4154
bom sucesso,6107
bom sucesso do sul,3392
borrazopolis,9453
braganey,6188
brasilandia do sul,3889
cafeara,2485
cafelandia,11143
cafezal do sul,4648
california,7652
cambara,22694
cambe,88059
cambira,6688
campina da lagoa,16920
campina do simao,4365
campina grande do sul,34375
campo bonito,5128
campo do tenente,6322
campo largo,92550
campo magro,20340
campo mourao,80163
candido de abreu,18769
candoi,14185
cantagalo,12795
capanema,18196
capitao leonidas marques,14346
carambei,14784
carlopolis,13249
cascavel,244473
castro,63373
catanduvas,10367
centenario do sul,11775
cerro azul,16352
ceu azul,10399
chopinzinho,20474
cianorte,57239
cidade gaucha,9522
clevelandia,18319
colombo,182996
colorado,20886
congonhinhas,7846
conselheiro mairinck,3463
contenda,13224
corbelia,15789
cornelio procopio,46602
coronel domingos soares,7004
coronel vivida,23260
corumbatai do sul,4946
cruz machado,17643
cruzeiro do iguacu,4394
cruzeiro do oeste,20138
cruzeiro do sul,4664
cruzmaltina,3459
curitiba,1578981
curiuva,12827
diamante do norte,6099
diamante do sul,3659
diamante d'oeste,4861
dois vizinhos,31940
douradina,6148
doutor camargo,5777
doutor ulysses,5999
eneas marques,6369
engenheiro beltrao,14066
entre rios do oeste,3328
esperanca nova,2308
espigao alto do iguacu,5388
farol,3963
faxinal,15470
fazenda rio grande,62854
fenix,4925
fernandes pinheiro,6368
figueira,9024
flor da serra do sul,5059
florai,5285
floresta,5117
florestopolis,12182
florida,2426
formosa do oeste,8703
foz do iguacu,257218
foz do jordao,6378
francisco alves,6956
francisco beltrao,67003
general carneiro,13884
godoy moreira,3836
goioere,29588
goioxim,8110
grandes rios,7833
guaira,28588
guairaca,5898
guamiranga,7150
guapirama,4065
guaporema,2244
guaraci,4890
guaraniacu,17142
guarapuava,154514
guaraquecaba,8267
guaratuba,27235
honorio serpa,6896
ibaiti,26318
ibema,5872
ibipora,42032
icaraima,10034
iguaracu,3582
iguatu,2255
imbau,9474
imbituva,24371
inacio martins,10963
inaja,2915
indianopolis,4212
ipiranga,13301
ipora,16387
iracema do oeste,2951
irati,51984
iretama,11261
itaguaje,4771
itaipulandia,6811
itambaraca,7039
itambe,5956
itapejara d'oeste,9162
itaperucu,19344
itauna do sul,4447
ivai,11772
ivaipora,32196
ivate,6922
ivatuba,2519
jaboti,4590
jacarezinho,39435
jaguapita,10866
jaguariaiva,30645
jandaia do sul,19608
janiopolis,8070
japira,4898
japura,7734
jardim alegre,13655
jardim olinda,1523
jataizinho,11314
jesuitas,9832
joaquim tavora,9590
jundiai do sul,3659
juranda,8095
jussara,6295
kalore,4982
lapa,41730
laranjal,7192
laranjeiras do sul,29930
leopolis,4440
lidianopolis,4783
lindoeste,6224
loanda,19480
lobato,4057
londrina,445363
luiziana,7540
lunardelli,5668
lupionopolis,4312
mallet,12574
mambore,15143
mandaguacu,16794
mandaguari,31357
mandirituba,17409
manfrinopolis,3802
mangueirinha,17743
manoel ribas,13047
marechal candido rondon,40900
maria helena,6384
marialva,28641
marilandia do sul,8992
marilena,6756
mariluz,10293
maringa,287621
mariopolis,5994
maripa,5889
marmeleiro,13636
marquinho,5639
marumbi,4612
matelandia,14317
matinhos,24024
mato rico,4496
maua da serra,6442
medianeira,37672
mercedes,4596
mirador,2500
miraselva,1961
missal,10411
moreira sales,13360
morretes,15222
munhoz de melo,3389
nossa senhora das gracas,3827
nova alianca do ivai,1338
nova america da colina,3585
nova aurora,13590
nova cantu,9914
nova esperanca,25645
nova esperanca do sudoeste,5258
nova fatima,8297
nova laranjeiras,11797
nova londrina,13118
nova olimpia,5275
nova prata do iguacu,10393
nova santa barbara,3611
nova santa rosa,7049
nova tebas,9467
novo itacolomi,2866
ortigueira,25216
ourizona,3380
ouro verde do oeste,5472
paicandu,30764
palmas,34732
palmeira,30775
palmital,16881
palotina,25712
paraiso do norte,9691
paranacity,9059
paranagua,126740
paranapoema,2393
paranavai,75461
pato bragado,4090
pato branco,62049
paula freitas,5041
paulo frontin,6555
peabiru,13426
perobal,5291
perola,9273
perola d'oeste,7354
pien,9911
pinhais,102434
pinhal de sao bento,2560
pinhalao,6217
pinhao,28317
pirai do sul,21465
piraquara,70252
pitanga,35873
pitangueiras,2418
planaltina do parana,3980
planalto,14070
ponta grossa,272592
pontal do parana,14255
porecatu,15814
porto amazonas,4218
porto barreiro,4206
porto rico,2550
porto vitoria,4013
prado ferreira,3152
pranchita,6251
presidente castelo branco,4305
primeiro de maio,10700
prudentopolis,46050
quarto centenario,5323
quatigua,6736
quatro barras,16137
quatro pontes,3629
quedas do iguacu,27237
querencia do norte,11438
quinta do sol,5744
quitandinha,15266
ramilandia,3859
rancho alegre,4197
rancho alegre d'oeste,3095
realeza,16008
reboucas,13663
renascenca,6938
reserva,23915
reserva do iguacu,6659
ribeirao claro,10842
ribeirao do pinhal,14246
rio azul,12948
rio bom,3584
rio bonito do iguacu,13791
rio branco do ivai,3801
rio branco do sul,29267
rio negro,28557
rolandia,49378
roncador,13619
rondon,8519
rosario do ivai,6547
sabaudia,5413
salgado filho,5338
salto do itarare,5549
salto do lontra,12732
santa amelia,4407
santa cecilia do pavao,4044
santa cruz de monte castelo,8515
santa fe,8847
santa helena,20428
santa ines,2099
santa isabel do ivai,9129
santa izabel do oeste,11671
santa lucia,4126
santa maria do oeste,13635
santa mariana,13443
santa monica,3190
santa tereza do oeste,10754
santa terezinha de itaipu,18299
santana do itarare,5610
santo antonio da platina,39831
santo antonio do caiua,2878
santo antonio do paraiso,2790
santo antonio do sudoeste,17852
santo inacio,5167
sao carlos do ivai,5904
sao jeronimo da serra,11745
sao joao,11198
sao joao do caiua,6076
sao joao do ivai,13143
sao joao do triunfo,12472
sao jorge do ivai,5566
sao jorge do patrocinio,6604
sao jorge d'oeste,9276
sao jose da boa vista,6946
sao jose das palmeiras,4102
sao jose dos pinhais,203814
sao manoel do parana,2072
sao mateus do sul,36556
sao miguel do iguacu,24254
sao pedro do iguacu,7277
sao pedro do ivai,9473
sao pedro do parana,2729
sao sebastiao da amoreira,8438
sao tome,5045
sapopema,6856
sarandi,71371
saudade do iguacu,4608
senges,17778
serranopolis do iguacu,4733
sertaneja,6496
sertanopolis,15136
siqueira campos,15947
sulina,3897
tamarana,9686
tamboara,4255
tapejara,13106
tapira,6263
teixeira soares,8176
telemaco borba,61098
terra boa,14582
terra rica,13715
terra roxa,16251
tibagi,18402
tijucas do sul,12260
toledo,98034
tomazina,9836
tres barras do parana,11813
tunas do parana,3611
tuneiras do oeste,9013
tupassi,8018
turvo,14530
ubirata,22484
umuarama,90283
uniao da vitoria,48347
uniflor,2355
urai,11842
ventania,8024
vera cruz do oeste,9640
vere,8699
vila alta,3773
virmond,4052
vitorino,6276
wenceslau braz,19493
xambre,6480
