city,total,adequada,semi_adequada,inadequada
mambore,4380,725,3459,196
mandaguacu,4698,1457,3183,59
mandaguari,9167,2472,6570,125
mandirituba,4645,506,3942,197
manfrinopolis,931,0,739,192
mangueirinha,4233,760,2953,521
manoel ribas,3396,55,3147,194
marechal candido rondon,11983,2438,9401,144
maria helena,1793,19,1713,60
marialva,8101,3485,4422,194
marilandia do sul,2503,0,2297,205
marilena,1798,0,1690,108
mariluz,2695,99,2538,58
maringa,84220,48103,35885,232
mariopolis,1627,346,1237,43
maripa,1714,137,1491,86
marmeleiro,3645,826,2450,369
marquinho,1304,9,961,334
marumbi,1340,10,1303,27
matelandia,3861,294,3463,104
matinhos,6931,3914,3017,0
mato rico,1153,24,797,332
maua da serra,1699,277,1314,108
medianeira,10606,2652,7855,99
mercedes,1294,30,1196,67
mirador,688,0,663,24
miraselva,559,0,549,10
missal,2896,45,2808,43
moreira sales,3956,55,3781,120
morretes,4168,1427,2434,306
munhoz de melo,970,15,924,30
nossa senhora das gracas,1069,52,991,26
nova alianca do ivai,369,5,359,6
nova america da colina,963,0,912,51
nova aurora,3783,322,3300,161
nova cantu,2375,14,1984,377
nova esperanca,7353,2627,4503,223
nova esperanca do sudoeste,1356,90,1074,192
nova fatima,2317,79,2161,77
nova laranjeiras,2760,128,2018,614
nova londrina,3645,952,2581,112
nova olimpia,1598,103,1469,26
nova prata do iguacu,2795,83,2504,208
nova santa barbara,1073,130,872,71
nova santa rosa,2069,48,1947,74
nova tebas,2404,101,1931,372
novo itacolomi,778,34,648,95
ortigueira,6754,576,5041,1137
ourizona,982,611,359,12
ouro verde do oeste,1501,5,1447,48
paicandu,8575,1616,6905,53
palmas,8563,2434,5774,355
palmeira,8024,3485,4168,371
palmital,4237,284,3101,852
palotina,7224,1338,5784,101
paraiso do norte,2770,289,2412,69
paranacity,2542,774,1757,11
paranagua,34541,19365,14985,192
paranapoema,652,30,613,9
paranavai,21642,10879,10584,179
pato bragado,1159,201,938,20
pato branco,17791,11784,5734,273
paula freitas,1324,144,1067,113
paulo frontin,1783,216,1390,176
peabiru,3863,214,3524,125
perobal,1498,18,1412,68
perola,2813,67,2690,56
perola d'oeste,2029,201,1698,129
pien,2479,430,1889,160
pinhais,28584,19770,8800,15
pinhal de sao bento,667,0,563,104
pinhalao,1657,182,1279,196
pinhao,7054,1217,4836,1001
pirai do sul,5987,2321,3168,498
piraquara,18996,7232,11626,138
pitanga,9214,1082,6633,1499
pitangueiras,683,5,629,50
planaltina do parana,1038,4,995,39
planalto,3908,176,3335,397
ponta grossa,76225,43896,31821,508
pontal do parana,4207,2541,1650,16
porecatu,4404,3010,1322,72
porto amazonas,1126,608,507,11
porto barreiro,900,0,709,191
porto rico,663,24,610,29
porto vitoria,1045,19,969,57
prado ferreira,926,3,917,6
pranchita,1694,330,1277,88
presidente castelo branco,1189,66,1086,37
primeiro de maio,3025,64,2882,79
prudentopolis,11856,2490,7762,1604
quarto centenario,1436,51,1266,119
quatigua,2062,1481,552,29
quatro barras,4418,2228,2156,35
quatro pontes,1068,118,899,50
quedas do iguacu,6608,2238,4100,269
querencia do norte,2993,32,2759,202
quinta do sol,1443,31,1359,53
quitandinha,4046,499,2979,568
ramilandia,856,72,704,80
rancho alegre,1264,51,1184,29
rancho alegre d'oeste,832,4,785,44
realeza,4480,566,3665,249
reboucas,3701,975,2434,292
renascenca,1720,515,1093,112
reserva,6194,675,4631,887
reserva do iguacu,1594,352,974,268
ribeirao claro,3076,1548,1381,147
ribeirao do pinhal,3906,1527,2230,149
rio azul,3276,863,2017,396
rio bom,1009,8,936,65
rio bonito do iguacu,2859,103,1983,773
rio branco do ivai,953,44,731,178
rio branco do sul,7851,1730,5623,497
rio negro,7599,4326,3087,185
rolandia,13997,3299,10507,191
roncador,3632,291,2899,443
rondon,2381,461,1805,114
rosario do ivai,1772,385,1173,214
sabaudia,1531,24,1456,51
salgado filho,1379,149,1016,214
salto do itarare,1634,289,1227,118
salto do lontra,3352,319,2758,276
santa amelia,1179,154,1002,23
santa cecilia do pavao,1168,111,1009,47
santa cruz de monte castelo,2377,111,2180,86
santa fe,2539,356,2121,62
santa helena,5571,1568,3976,27
santa ines,595,19,555,21
santa isabel do ivai,2687,729,1875,83
santa izabel do oeste,3120,477,2405,237
santa lucia,1162,27,1049,86
santa maria do oeste,3092,35,2216,841
santa mariana,3956,1358,2483,115
santa monica,882,32,806,45
santa tereza do oeste,2713,13,2580,119
santa terezinha de itaipu,4873,211,4581,80
santana do itarare,1583,0,1479,104
santo antonio da platina,11390,6376,4792,222
santo antonio do caiua,820,21,793,5
santo antonio do paraiso,738,124,552,62
santo antonio do sudoeste,4850,1487,3073,290
santo inacio,1452,443,960,49
sao carlos do ivai,1636,26,1592,18
sao jeronimo da serra,3168,91,2685,392
sao joao,3113,586,2321,206
sao joao do caiua,1716,456,1211,49
sao joao do ivai,3882,2028,1770,83
sao joao do triunfo,3087,495,2059,533
sao jorge do ivai,1654,433,1167,54
sao jorge do patrocinio,1849,50,1710,89
sao jorge d'oeste,2544,340,2064,140
sao jose da boa vista,1967,535,1267,165
sao jose das palmeiras,1098,154,856,88
sao jose dos pinhais,55686,33078,22214,394
sao manoel do parana,582,36,514,32
sao mateus do sul,9811,3142,5756,913
sao miguel do iguacu,6405,1963,4275,168
sao pedro do iguacu,1927,6,1812,109
sao pedro do ivai,2680,710,1904,66
sao pedro do parana,770,0,744,27
sao sebastiao da amoreira,2268,164,2012,92
sao tome,1409,60,1323,26
sapopema,1742,386,1129,228
sarandi,20039,2010,17930,99
saudade do iguacu,1136,99,911,126
senges,4699,1046,3333,320
serranopolis do iguacu,1292,6,1255,31
sertaneja,1913,5,1841,67
sertanopolis,4307,1392,2847,69
siqueira campos,4713,2033,2540,140
sulina,1051,0,966,85
tamarana,2421,58,2166,197
tamboara,1268,0,1225,43
tapejara,3719,624,2956,139
tapira,1874,127,1660,87
teixeira soares,2117,597,1317,203
telemaco borba,17492,9159,8301,32
terra boa,4177,315,3745,117
terra rica,3823,333,3375,115
terra roxa,4693,74,4448,171
tibagi,4827,1332,2874,621
tijucas do sul,3280,206,2789,285
toledo,27909,9262,18380,267
tomazina,2773,411,2105,257
tres barras do parana,3088,7,2821,260
tunas do parana,895,79,723,94
tuneiras do oeste,2576,12,2426,138
tupassi,2359,0,2308,51
turvo,3595,320,2591,684
ubirata,6511,274,6006,232
umuarama,26229,10397,15514,318
uniao da vitoria,13463,8604,4682,177
uniflor,643,18,596,28
urai,3404,1392,1887,125
ventania,2107,25,1950,133
vera cruz do oeste,2654,376,2129,149
vere,2288,334,1758,196
vila alta,1049,4,986,58
virmond,1027,58,836,133
vitorino,1677,39,1554,84
wenceslau braz,5521,1217,4028,275
xambre,1931,81,1737,113
