city,total
angra dos reis,51149
aperibe,3689
araruama,35305
areal,4177
armacao dos buzios,7944
arraial do cabo,10596
barra do pirai,36239
barra mansa,71009
belford roxo,174093
bom jardim,9973
bom jesus do itabapoana,14277
cabo frio,54374
cachoeiras de macacu,20425
cambuci,6686
campos dos goytacazes,169399
cantagalo,8366
carapebus,3857
cardoso moreira,5526
carmo,6286
casimiro de abreu,9342
comendador levy gasparian,3076
conceicao de macabu,7776
cordeiro,7392
duas barras,4281
duque de caxias,313873
engenheiro paulo de frontin,5233
guapimirim,15829
iguaba grande,6901
itaborai,79803
itaguai,35016
italva,5834
itaocara,10722
itaperuna,37903
itatiaia,10279
japeri,31984
laje do muriae,3374
macae,56248
macuco,1992
mage,84126
mangaratiba,10749
marica,34294
mendes,7249
miguel pereira,9857
miracema,10626
natividade,6354
nilopolis,62008
niteroi,190030
nova friburgo,77712
nova iguacu,372594
paracambi,16571
paraiba do sul,15475
parati,12360
paty do alferes,10181
petropolis,121582
pinheiral,8212
pirai,9201
porciuncula,6265
porto real,4978
quatis,4218
queimados,46746
quissama,5768
resende,42501
rio bonito,21110
rio claro,6661
rio das flores,2993
rio das ostras,15818
rio de janeiro,2374103
santa maria madalena,4509
santo antonio de padua,17151
sao fidelis,16333
sao francisco de itabapoana,17553
sao goncalo,380604
sao joao da barra,12765
sao joao de meriti,183127
sao jose de uba,3182
sao jose do vale do rio preto,8798
sao pedro da aldeia,28088
sao sebastiao do alto,3688
sapucaia,7715
saquarema,22389
seropedica,27034
silva jardim,8861
sumidouro,6629
tangua,11362
teresopolis,60759
trajano de morais,4211
tres rios,29321
valenca,26141
varre-sai,3382
vassouras,12545
volta redonda,101492
