city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
santa cruz,47.79,31.27,39.34,29.03,21.88,13.48
santa helena,53.85,30.21,47.49,39.58,29.73,14.75
santana de mangueira,73.05,53.58,76.61,59.38,59.64,37.33
santana dos garrotes,61.21,50.93,56.29,49.07,40.5,33.33
sao jose da lagoa tapada,71.04,54.56,51.29,43.37,42.9,29.42
sao jose de caiana,65.35,52.27,73.72,53.9,56.15,33.28
sao jose dos ramos,78.38,45.21,71.76,49.37,61.47,25.5
sao mamede,43.94,29.42,25.95,21.07,15.91,9.76
sao miguel de taipu,72.44,56.53,56.56,48.69,45.14,29.57
serra redonda,55.1,44.12,57,42.48,37.51,22.22
serraria,65.13,56.31,59.35,41.01,45.96,28.86
sobrado,68.73,48.58,86.98,62.32,59.85,30.45
triunfo,57.89,40.12,59.81,42.04,37.49,20.0
umbuzeiro,68.83,49.66,65.37,53.32,49.74,34.32
vieiropolis,66.95,49.14,64.39,31.6,49.25,20.0
de 10.001 a 20.000 ,60.24,42.44,47.25,31.33,33.77,17.04
alagoa nova,59.92,41.3,55.33,43.11,37.45,20.35
alagoinha,67.35,51.77,25,19.36,18.57,11.35
alhandra,58.52,38.89,30.61,13.8,21.79,7.07
aracagi,67.18,50.91,64.52,46.51,46.65,27.03
arara,66.49,47.07,34.86,30.99,27.86,19.1
araruna,69.6,53.04,55.42,35.81,45.68,24.96
aroeiras,66.32,52.26,67.47,50.22,49,30.36
barra de santa rosa,66.39,45.87,50.9,36.27,38.58,21.1
belem,62.44,41.54,18.37,12.04,14.3,6.43
bonito de santa fe,61.92,42.82,47.42,27.84,33.58,15.53
boqueirao,54.76,36.06,28.59,23.83,19.8,10.68
brejo do cruz,60.82,47.27,39.67,23.59,31.28,15.47
cacimba de dentro,71.21,54.19,52.93,28.5,42.84,19.2
campo de santana,68.93,44.47,47.43,28.33,36.81,17.49
conceicao,64.38,44.64,47.46,32.36,36.23,18.71
coremas,67.83,47.71,38.17,14.52,30.44,9.58
cruz do espirito santo,64.85,52.3,59.35,35.5,41.91,20.58
cuite,60.01,40.68,43.69,33.28,34.16,16.58
dona ines,71.85,50.74,65.02,50.28,50.81,31.38
fagundes,64.58,48.17,64.58,52.09,46.77,30.04
gurinhem,71.32,55.18,44.49,28.46,33.29,15.22
imaculada,60.26,44.76,67.31,53.31,44.47,29.37
inga,63.32,51.07,41.02,32.1,30.65,21.42
itapororoca,72.68,46.81,27.38,34.45,23.2,19.09
itatuba,70.23,54.03,46.93,33.62,37.85,23.42
jacarau,67.21,47.84,45.68,18.08,36.83,12.35
juazeirinho,53.46,35.17,52.98,35.43,32.8,16.42
juripiranga,68.09,46.77,25.45,8.43,19.89,4.5
lucena,57.05,39.85,29.86,8.35,21.91,5.49
manaira,68.61,46.66,61.61,44.79,47.73,26.87
massaranduba,65.24,43.47,64.44,43.21,46.96,24.91
mogeiro,64.67,43.39,78.46,40.65,55.3,21.7
natuba,75.64,55.64,79.81,60.36,64.33,35.36
nova floresta,50.36,37.46,14.84,9.21,8.52,5.42
paulista,64.33,45.07,65.78,46.08,46.57,26.14
pianco,57.21,36.89,40.56,24.98,32.07,15.24
picui,52.29,32.14,39.55,24.49,26.34,11.83
pilar,59.77,45.74,36.69,22.12,27.97,11.25
pirpirituba,53.87,41.13,25.7,22.38,17.08,12.4
pitimbu,59.43,38.2,33.55,27.85,23.79,13.63
pocinhos,54.11,33.12,47.24,31.23,30.49,11.9
puxinana,43.91,26.92,58.02,9.51,28.51,4.06
remigio,57.61,44.73,37.94,25.78,30.36,17.15
salgado de sao felix,64.59,50.28,66.3,50.09,47.33,29.57
santa luzia,42.73,30.83,18.11,8.31,11.35,3.75
sao joao do rio do peixe,53.53,36.15,58.49,43.24,35.96,19.47
sao jose de piranhas,55.29,36.33,53.33,41.46,34.58,19.38
sao sebastiao de lagoa de roca,52.41,33.97,72.8,51.99,43.59,22.77
serido,55.11,30.22,64.47,47.2,38.96,16.88
serra branca,38.69,25.89,48.05,23.4,24.11,8.9
soledade,49.06,28.24,26.31,19.47,14.13,5.83
sume,45.93,29.4,29.84,22.11,18.93,9.78
taperoa,54.26,39.15,41.45,38.87,27.81,18.19
tavares,64.32,43.81,57.52,37.51,43.28,21.44
teixeira,56.22,35.33,52.07,34.06,37.07,15.5
uirauna,52.36,34.26,36.75,16.15,26.07,8.36
de 20.001 a 50.000 ,55.6,38.84,32.13,23.38,23.7,12.7
alagoa grande,68.9,50.69,34.29,26.38,29.43,18.28
areia,61.14,45.34,52.39,34.31,38.48,20.02
bananeiras,70.57,49.88,65.22,46.11,53.29,28.66
caapora,51.84,33.92,24.21,6.96,16.46,3.5
catole do rocha,46.35,30.57,31.28,19.67,21.13,9.78
conde,59.62,34.12,52.44,23.31,36.55,9.08
esperanca,48.49,33.9,34.92,26.03,23.41,14.32
itabaiana,53.57,37.15,24.87,18.74,18.63,10.19
itaporanga,51.34,32.64,36.21,18.41,26.28,9.03
lagoa seca,49,29.38,21.07,25.74,14.83,10.78
mamanguape,58.55,44.47,21.14,19.92,15.81,11.75
mari,65.84,47.27,16.23,15.13,12.27,9.41
monteiro,53.61,35.14,38.25,31.54,25.18,15.63
pedras de fogo,65.66,41.31,44.97,28.84,33.19,14.19
pombal,50.74,37.1,27.4,17.58,19.48,10.93
princesa isabel,51.8,33.32,38.06,23.28,25.59,10.65
queimadas,46.57,29.08,41.98,21.59,24.8,10.18
rio tinto,57.31,38.38,44.12,36.95,33.2,18.04
sao bento,61.42,49.57,20.74,12.25,16.9,9.03
solanea,64.65,44.62,40.88,21.64,32.76,13.8
de 50.001 a 100.000 ,40.06,26.48,10.43,6.76,6.73,3.27
bayeux,34.97,22.0,1.42,0.63,0.7,0.21
cabedelo,30.25,17.36,2.06,0.81,1.24,0.33
cajazeiras,42.37,25.88,24.56,16.37,15.37,6.31
guarabira,43.75,27.12,10.76,2.04,7.06,1.04
sape,61.87,42.83,31.87,18.8,25.41,10.8
sousa,41.66,29.14,18.14,8.32,11.8,4.19
de 100.001 a 500.000 ,35.34,22.55,7.47,3.24,5.19,1.65
campina grande,30.32,18.45,4.87,1.84,3.25,0.85
patos,40.91,26.63,6.7,4.02,4.7,2.08
santa rita,48.72,31.07,14.41,6.67,10.37,3.61
mais de 500.000 ,24.09,13.9,1.11,0.22,0.62,0.12
joao pessoa,24.09,13.9,1.11,0.22,0.62,0.12
