city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
juarez tavora,9.03,10.24,66.79,75.86,24.18,13.9
junco do serido,36.81,64.01,27.97,10.34,35.22,25.65
juru,0.04,20.59,51.26,44.57,48.7,34.84
lagoa de dentro,33.69,11.34,35.15,59.47,31.16,29.18
livramento,5.88,21.93,31.72,45.08,62.4,32.99
malta,62.67,73.29,22.58,16.22,14.75,10.49
marcacao,0.07,7.25,83.66,90.0,16.27,2.75
marizopolis,1.07,14.65,87.17,76.51,11.76,8.84
mataraca,0.41,3.68,89.38,89.52,10.22,6.8
matureia,0.17,19.71,53.58,49.88,46.25,30.41
mulungu,3.68,5.5,53.22,65.59,43.1,28.91
nazarezinho,1.18,18.25,37.94,27.44,60.88,54.31
nova olinda,11.03,26.37,53.91,43.44,35.06,30.19
olho d'agua,6.6,35.2,40.97,29.6,52.43,35.2
pedra lavrada,32.27,39.04,24.54,7.19,43.19,53.77
pedro regis,0.08,1.22,28.83,61.48,71.09,37.3
piloes,8.93,9.15,29.42,42.25,61.65,48.6
piloezinhos,1.95,24.77,42.67,49.05,55.37,26.18
riacho dos cavalos,24.63,36.4,13.44,26.65,61.93,36.94
santa cecilia,-,-,15.97,26.99,84.03,73.01
santa cruz,7.29,27.51,55.69,46.57,37.02,25.92
santa helena,6.64,24.28,52.68,37.08,40.68,38.64
santana de mangueira,0.32,4.96,32.9,42.06,66.77,52.98
santana dos garrotes,1.31,9.64,52.18,50.22,46.51,40.14
sao jose da lagoa tapada,9.04,16.34,43.97,42.01,46.99,41.65
sao jose de caiana,0.25,0.62,36.78,50.0,62.97,49.38
sao jose dos ramos,-,3.73,35.07,43.01,64.93,53.27
sao mamede,42.81,73.1,31.56,5.5,25.63,21.4
sao miguel de taipu,4.51,30.8,41.49,22.17,54.01,47.04
serra redonda,25.62,30.55,21.05,28.82,53.33,40.63
serraria,5.32,20.95,42.66,42.02,52.01,37.03
sobrado,0.06,0.1,13.82,35.3,86.12,64.6
triunfo,5.46,23.22,43.61,37.78,50.93,39.0
umbuzeiro,11.95,10.38,30.57,39.37,57.48,50.25
vieiropolis,1.59,1.55,38.6,69.21,59.81,29.24
de 10.001 a 20.000 ,17.63,29.17,40.77,41.66,41.61,29.16
alagoa nova,21.23,29.41,27.47,31.52,51.3,39.07
alagoinha,8.16,7.95,67.27,71.49,24.57,20.56
alhandra,1.56,9.07,71.92,78.37,26.51,12.56
aracagi,2.95,10.57,34.95,43.75,62.1,45.68
arara,24.95,48.73,41.87,25.59,33.17,25.67
araruna,2.06,36.19,50.31,32.25,47.63,31.56
aroeiras,10.23,18.85,27.58,31.49,62.2,49.66
barra de santa rosa,39.93,50.63,16.01,15.13,44.06,34.24
belem,65.81,76.58,19.53,12.95,14.66,10.47
bonito de santa fe,38.42,45.84,25.91,29.6,35.67,24.56
boqueirao,53.7,51.31,23.36,25.49,22.95,23.2
brejo do cruz,38.8,62.63,28.21,14.36,32.99,23.01
cacimba de dentro,0.79,12.49,52.6,61.78,46.61,25.73
campo de santana,6.6,10.56,48.38,60.05,45.02,29.39
conceicao,5.15,19.89,54.92,48.69,39.93,31.42
coremas,35.26,52.54,33.24,32.43,31.5,15.03
cruz do espirito santo,9.54,15,35.05,50.68,55.42,34.33
cuite,12.51,14.89,50.44,54.81,37.05,30.29
