city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
paraiba,29.71,21.91,14.73,5.26,30.29,21.55,58,49.07
ate 5.000 ,37.59,28.96,17.59,6.08,40.15,29.39,64.14,58.06
algodao de jandaira,48.54,32.68,26.02,4.54,54.94,34.5,74.14,69.35
amparo,34.44,21.49,13.18,2.77,38.31,21.44,65.13,49.62
areia de baraunas,38.2,32.56,16.94,7.52,43.33,35.76,65.99,69.01
assuncao,30.52,26.26,13.47,4.08,31.72,27.76,61.06,57.87
barauna,35.09,28.29,10.06,4.18,36.91,26.82,69.04,64.01
bernardino batista,42.27,30.83,16.6,4.92,48.32,32.63,72.73,67.34
bom jesus,36.14,25.16,13.42,3.93,41.06,23.94,64,56.29
cacimba de areia,39.32,26.83,23.2,7.64,39.8,27.75,68.91,53.47
cajazeirinhas,44.65,34.81,25.38,6.81,50.94,40.48,63.27,58.24
caraubas,30.21,19.09,13.11,4.55,29.42,16.92,54.2,39.72
carrapateira,39.91,28.08,16.25,3.89,47.75,30.33,64.44,65.15
catingueira,42.15,35.77,23.37,9.93,45.49,39.12,71.07,63.56
caturite,29.36,22.44,12.52,4.25,29.83,22.18,57.79,48.73
congo,35.14,28.54,17.11,6.52,35.95,28.26,58.17,54.01
coxixola,27.2,21.21,10.5,2.87,23.89,19.82,51.45,42.41
curral velho,36.88,34.92,14.89,10.42,43.71,37.2,70.74,74.33
damiao,48.81,39.66,25.75,8.32,53.99,44.21,76.96,74.83
duas estradas,43.99,30.58,16.53,7.72,44.89,29.53,74.58,58.26
emas,39.94,30.43,23.43,7.04,44.86,31.94,66.91,64.01
frei martinho,32.59,29.96,9.55,2.78,32.87,24.72,62.44,65.04
gurjao,27.37,21.02,7.65,3.9,27.83,19.97,52.42,46.17
lagoa,43.17,33.84,21.52,7.72,46.64,34.08,69.74,64.71
lastro,38.78,31.09,16.03,7.14,44.14,31.25,67.18,60.75
logradouro,41.1,34.11,18.22,8.25,42.87,35.49,72.35,67.63
mae d'agua,39.43,30.2,19.77,6.93,42.23,32.12,66.41,55.22
matinhas,40.71,31.61,18.28,9.04,42.78,31.72,71.03,65.39
mato grosso,52.51,41.52,24.63,10.64,59.68,45.96,81.15,74.1
montadas,34.78,25.28,12.21,2.38,37.08,23.36,66.32,58.64
monte horebe,38.21,29.46,18.02,5.9,40.49,30.7,63.2,61.63
nova palmeira,27.57,24.66,7.7,3.23,29.77,22.56,56.97,56.64
olivedos,31.46,19.37,11.15,2.96,34.17,16.75,54.02,47.24
ouro velho,29.55,22.91,10.29,4.61,31.16,22.1,53.55,47.88
parari,24.07,20.85,8.57,5.77,23.02,18.57,49.23,43.52
passagem,32.46,29.23,13.61,8.61,32.66,27.35,66.81,64.63
pedra branca,31.11,25.55,11.14,6.13,38.67,26.49,55.43,55.35
poco dantas,53.49,36.46,30.39,10.65,61.81,40.03,77.71,72.68
poco de jose de moura,36.86,27.03,12.66,3.69,38.5,25.86,62.73,53.36
prata,35.13,23.49,17.35,4.74,35.29,23.02,57.31,46.79
quixaba,34.44,26.24,19.68,6.02,35.06,28.51,57.53,51.49
riachao,44.96,31.48,20.38,3.78,48.87,32.97,77.54,69.06
riachao do bacamarte,43.36,35.81,23.07,9.84,45.17,37.09,70.93,66.39
riachao do poco,44.25,33.63,24.87,8.98,45.6,33.92,77.4,67.11
riacho de santo antonio,37.39,24.64,20.7,4.29,39.5,25.24,65.19,57.75
salgadinho,41.49,33.02,19.28,5.58,43.84,34.3,76.62,68.84
santa ines,44.63,32.15,25.25,7.84,50.48,38.04,65.81,59.84
santa teresinha,35.84,27.14,19.04,4.18,38.77,28.84,59.76,49.45
santarem,37.43,35.85,14.08,6.83,43.25,36.96,67.89,71.95
santo andre,29.47,27.15,9.11,3.09,29.99,25.38,55.32,57.31
sao bentinho,34.61,32.8,13.23,4.41,36.11,33.96,61.4,62.05
sao domingos,40.95,38.55,22.14,6.83,46.14,41.64,57.47,62.32
sao domingos do cariri,27.62,23.81,11.72,4.29,25.78,21.48,53.7,50.51
sao francisco,35.62,31.46,8.58,4.74,40.68,30.35,59.47,57.98
sao joao do cariri,24.67,18.73,9.85,3.88,24.11,17.38,45.25,38.18
sao joao do tigre,46.77,35.78,24.06,9.07,50.12,37.02,72.49,63.36
sao jose de espinharas,34.15,32.0,15.7,7.03,37.9,33.75,57.64,58.11
sao jose de princesa,35.74,31.1,19.09,6.78,39.17,32.13,62.32,65.18
sao jose do bonfim,38.68,26.58,23.18,5.05,39.6,28.3,63.1,53.35
sao jose do brejo do cruz,39.73,27.92,18.75,3.9,47.74,31.54,58.04,52.58
sao jose do sabugi,30.01,27.22,13.21,7.91,31.71,28.36,54.78,49.17
sao jose dos cordeiros,30.54,22.64,13.66,4.23,30.92,20.85,54.08,44.88
sao sebastiao do umbuzeiro,40.19,25.13,16.01,5.13,42.83,24.31,61,52.11
serra da raiz,40.43,31.81,16.31,5.44,39.27,29.51,77.3,70.82
serra grande,41.33,30.81,16.86,6.78,46.97,31.88,76.24,68.46
sertaozinho,36.22,28.43,12.76,3.79,34.34,23.86,70.93,63.92
sossego,44.26,31.34,20.62,6.46,48.72,32.34,73.02,66.93
tenorio,39.01,29.09,18.8,8.43,45.65,31.23,63.11,61.89
