city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
olho d'agua das cunhas,63.27,48.23,49.59,26.46,36.26,15.02
olinda nova do maranhao,47.93,33.33,85.27,39.38,44.81,17.08
palmeirandia,50.4,34.09,71.53,36.44,39.9,14.76
passagem franca,63.59,52.8,61.9,17.69,44.5,11.67
pastos bons,51.89,32.0,45.11,16.84,28.86,6.78
paulino neves,72.11,53.79,92.69,72.06,69.99,42.16
peri mirim,41.03,33.12,90.03,66.82,39.04,24.92
pirapemas,63.64,42.5,55.58,44.08,42.55,25.06
pocao de pedras,55.47,43.53,62.39,46.41,39.36,22.9
presidente juscelino,68.33,46.19,72.79,70.77,53.95,37.48
presidente sarney,56.45,46.31,99.04,71.12,56.18,35.97
presidente vargas,68.13,42.0,73.58,64.96,55.95,33.46
primeira cruz,58,46.85,87,73.52,54.84,37.85
santana do maranhao,74.57,54.4,98.34,18.16,73.53,11.79
santo amaro do maranhao,62.75,47.03,99.11,84.99,62.28,43.3
santo antonio dos lopes,58.07,44.03,68.15,36.9,43.78,19.67
sao benedito do rio preto,62.25,50.59,72.53,66.2,50.52,39.66
sao francisco do brejao,46.06,38.78,27.56,28.32,13.83,12.55
sao francisco do maranhao,63.47,47.69,80.33,65.99,56.37,36.28
sao joao batista,49.15,26.9,90.05,56.13,47.11,16.14
sao joao do caru,75.7,59.86,82.02,39.91,63.91,28.15
sao joao do paraiso,36.4,33.39,62.27,43.08,26.88,14.71
sao joao do soter,66.97,53.75,83.25,27.51,58.18,16.65
sao pedro da agua branca,55.56,44.89,61.58,13.87,39.36,7.19
sao raimundo das mangabeiras,43,28.44,55.87,24.0,30.04,8.52
satubinha,69.66,41.28,75.6,24.59,55.44,11.19
senador alexandre costa,62.91,48.77,78.5,43.31,50.72,24.31
senador la rocque,59.83,41.34,35.23,13.61,23.88,6.42
serrano do maranhao,54.54,43.61,84.05,45.97,49,22.66
sitio novo,42.2,29.99,75.61,56.82,35.37,21.34
sucupira do norte,46.64,35.41,67.74,34.84,35.69,13.48
trizidela do vale,46.16,33.82,18.65,12.54,10.24,7.02
vila nova dos martirios,56.82,39.29,31.4,25.19,16.73,8.86
de 20.001 a 50.000 ,55.91,40.73,58.83,37.44,38.28,18.81
alcantara,44.19,23.09,57.42,38.86,30.02,12.57
aldeias altas,70.57,53.6,78.97,59.57,59.63,36.66
alto alegre do maranhao,65.78,44.77,62.56,22.39,46.75,13.7
alto alegre do pindare,69.91,46.76,63.37,17.97,48.46,10.54
amarante do maranhao,50.99,41.94,64.28,33.51,35.11,15.61
anajatuba,56.28,37.16,75.54,40.85,48.57,19.09
araioses,74.69,51.38,77.8,61.52,61.57,36.69
arame,63.92,53.59,71.88,36.4,51.6,22.1
arari,53.19,35.12,47.85,36.05,32.1,19.18
bequimao,45.03,32.85,91.78,67.48,43.15,24.8
bom jardim,65.26,44.83,47.22,30.81,34.35,16.04
bom jesus das selvas,60.48,40.57,55.28,35.01,35.52,13.26
brejo,62.05,45.15,68.54,53.37,48.98,27.54
buriti,63.95,49.58,83.24,72.77,57.92,39.54
buriti bravo,60.56,47.7,62.66,37.26,45.22,21.37
cantanhede,59.14,40.9,56.4,37.4,37.69,19.78
carolina,41.73,22.67,48.2,31.2,26.46,11.22
carutapera,48.11,32.47,70.78,31.85,37.88,12.09
coelho neto,59.43,46.29,32.12,13.9,25.05,9.26
colinas,60.84,47.18,72.74,40.31,51.32,24.68
cururupu,35.55,27.36,69.76,38.89,27.45,13.25
dom pedro,47.22,31.54,42.9,8.58,25.81,4.78
estreito,36.76,22.37,29.76,17.17,15.3,5.83
governador nunes freire,58.38,41.74,83.6,23.32,50.48,12.9
humberto de campos,50.18,40.52,86.9,54.64,45.76,26.53
icatu,51.03,37.74,92.44,58.13,48.62,23.45
itinga do maranhao,44.38,34.07,16.6,12.35,9.85,5.61
joao lisboa,51.04,31.5,37.18,14.19,23.51,5.27
lago da pedra,62.83,47.54,64.71,29.37,45.68,18.12
