city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
santa luzia,42.84,33.3,25.1,9.97,48,37.04,77.35,71.18
tutoia,39.49,28.91,22.99,9.02,43.85,32.9,68.88,64.94
ze doca,34.76,24.21,17.12,7.34,39.05,24.59,71.93,60.46
de 100.001 a 500.000 ,24.36,16.06,10.7,3.81,25.57,15.28,61.64,49.69
acailandia,24.87,17.69,10.47,3.75,28.5,18.47,66.14,55.93
bacabal,28.8,21.4,12.44,5.43,31.26,21.1,62.7,54.42
caxias,33.93,25.75,15.86,6.97,36.59,25.55,68.47,61.56
codo,40.62,30.47,21.86,7.85,44.23,31.74,72.72,67.54
imperatriz,16.01,10.87,5.17,1.9,16.35,9.1,54.14,42.53
paco do lumiar,9.64,5.76,3.78,1.6,9.59,5.1,39.24,24.54
sao jose de ribamar,12.91,6.7,5.08,1.53,13.31,6.17,45.29,28.49
timon,25.12,17.26,11.03,3.91,26.93,16.74,62.04,50.75
mais de 500.000 ,7.31,4.67,2.96,1.31,7.28,4.11,25.99,17.28
sao luis,7.31,4.67,2.96,1.31,7.28,4.11,25.99,17.28
