city,total,regular,military_and_gov,irregular,entrepreneur,employers
pedro avelino,602.63,654.49,933.34,508.31,603.91,950.44
pedro velho,587.21,646.09,935.08,452.68,498.5,1450.12
pendencias,801.01,871.24,1328.36,545.96,851.47,3243.02
piloes,533.62,791.67,753.22,368.73,333.7,2029.5
poco branco,684.15,858.51,1232.26,430.32,524.58,400
portalegre,511.64,762.79,1013.43,296.32,462.53,1358.85
porto do mangue,489.38,712.43,2933.97,427.82,261.74,1500
presidente juscelino,594.5,716.51,806.34,567.77,402.41,1350
pureza,508.79,772.62,1433.24,335.79,401.12,1381.3
rafael fernandes,549.54,906.66,857.39,414.58,333.84,1588.7
rafael godeiro,481.22,726.93,873.94,416.88,377.78,-
riacho da cruz,433.77,770.68,802,287.87,294.83,800
riacho de santana,539.44,687.98,1060.32,426.55,462.34,500
riachuelo,636.65,630.46,988.6,549.17,550.64,1484.18
rio do fogo,472.28,670.63,680.78,290.31,560.14,928.46
rodolfo fernandes,419.48,622.35,1097.13,307.92,414.76,1373.02
ruy barbosa,571.13,672.69,1952.52,454.1,388.54,-
santa cruz,635.92,779.46,1295.74,389.25,526.56,1875.38
santa maria,576.57,731.4,510,445.04,566.99,1395.06
santana do matos,579.36,817.55,968.23,386.61,539.33,2688.56
santana do serido,461.78,726.77,903.16,382.64,298.63,600
santo antonio,725.22,720.12,5194.65,363.95,494.5,3510.41
sao bento do norte,532.5,757.57,797.16,404.05,393.27,2187.32
sao bento do trairi,519.82,712.85,566.26,409.32,266.88,-
sao fernando,608.76,645.48,1433.53,494.59,548.61,1446.52
sao francisco do oeste,541.43,648.78,919.48,377.79,566.67,-
sao goncalo do amarante,712.94,717.16,1297.31,527.19,655.56,3528.26
sao joao do sabugi,552.28,658.81,1245.87,354.67,337.98,529.14
sao jose de mipibu,671.37,779.57,1633.96,413.31,600.99,3199.53
sao jose do campestre,502.83,723.01,930.62,368.44,322,5728.03
sao jose do serido,623.91,612.94,893.26,418.05,661.67,3019.4
sao miguel,617.12,809.93,998.5,460.05,563.67,2252.22
sao miguel do gostoso,504.52,728.45,587.48,395.44,422.93,1756.41
sao paulo do potengi,574.97,643.38,976.47,401.79,515.19,1878.43
sao pedro,611.93,639.31,1314.06,421.39,552.08,3025.79
sao rafael,499.74,731.35,2112.71,327.92,516.2,1735.6
sao tome,546.11,659.99,1038.34,374.1,544.29,1573.34
sao vicente,618.96,846,978.46,424.94,601.92,1276.9
senador eloi de souza,468.99,677.69,821.58,380.63,300.03,-
senador georgino avelino,576.96,614.57,764.34,458.3,513.6,1020
serra de sao bento,562.66,692.12,921.03,369.85,438.27,1594.81
serra do mel,518.37,776.36,1080.86,293.06,631.3,1268.19
serra negra do norte,473.14,556.62,891.38,400.81,438.08,1508.28
serrinha,462.16,672.46,1145.99,355.88,394.52,-
serrinha dos pintos,493.6,596.92,867.2,281.37,519.48,1593.11
severiano melo,486.88,720.22,876.1,349.49,483.38,1098.63
sitio novo,484.95,614.84,716.28,346.93,286.21,5000
taboleiro grande,508.45,663.22,891.06,301.53,923.82,7000
taipu,513.03,635.81,835.3,353.04,451.81,985.63
tangara,610,713.4,896.07,384.67,566.17,5122.25
tenente ananias,564.21,766.89,990.7,503.48,533.07,1377.59
tenente laurentino cruz,425.38,692.21,922.4,357.31,305.2,1101.22
tibau,639.14,616.27,1345.69,435.84,436.78,3548.58
tibau do sul,1046.53,745.52,981.23,533.52,1271.33,11548.39
timbauba dos batistas,458.53,741.2,806.44,478.62,261.99,1010.55
touros,504.15,799.85,1568.36,308.06,426.78,1313.06
triunfo potiguar,487,607.55,1021.26,396.73,410.54,436.6
umarizal,540.57,754.65,1198.75,356.88,616.16,1540.79
upanema,531.54,713.55,1122.6,341.99,523.26,-
varzea,517.94,657.84,882.91,407.23,399.16,452.74
venha-ver,512.13,722.61,727.17,487.16,203.11,-
vera cruz,488.05,737.66,732.38,353.26,544.22,850.3
vicosa,587.27,735.97,1289.33,481.66,490.98,1000
vila flor,581.21,603.56,817.94,468.34,715.06,-
