city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
ananindeua,5.43,3.44,2.36,1.3,5.17,2.92,23.88,13.77
braganca,21.39,15.69,10.08,4.91,23.03,16.68,48.99,40.18
cameta,16.21,10.53,5.74,3.03,16.06,9.88,48.72,35.38
castanhal,12.72,7.81,4.96,1.94,13.22,7.19,39.56,29.02
maraba,17.05,11.36,6.78,3.18,18.59,11.28,53.88,43.17
marituba,9.27,4.74,3.93,1.73,9.32,3.97,34.73,22.63
parauapebas,16.3,8.11,7.15,2.13,18.32,8.49,56.87,42.22
santarem,11.66,7.4,3.61,1.47,11.29,6.43,41.92,28.43
mais de 500.000 ,5.04,3.33,2.24,1.29,4.63,2.77,16.59,10.31
belem,5.04,3.33,2.24,1.29,4.63,2.77,16.59,10.31
