city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
mato grosso,18.01,10.03,23.17,15.52,6.75,3.27
ate 5.000 ,22.48,13.89,39.52,32.89,10.59,6.79
araguaiana,19.65,11.94,44.33,34.7,8.56,4.48
araguainha,25.63,2.35,16.88,5.88,6.25,0.0
canabrava do norte,20.87,9.38,77.68,31.14,18.41,5.44
conquista d'oeste,-,12.02,-,30.5,-,8.5
curvelandia,-,11.94,-,28.1,-,3.28
figueiropolis d'oeste,21.75,10.9,60.99,42.06,16.14,4.05
gloria d'oeste,21.43,10.04,47.32,37.07,9.82,1.93
indiavai,27.72,8.1,36.63,22.27,11.88,2.02
itauba,25.81,13.02,28.95,18.98,8.19,0.88
luciara,21.34,16.74,31.71,10.3,10.06,0.43
nova brasilandia,38.06,16.88,30.9,17.13,15.67,5.29
nova guarita,19.53,9.49,57.52,50.0,12.4,4.87
nova marilandia,24.9,11.22,35.97,34.29,12.25,5.13
nova nazare,-,56.57,-,73.73,-,54.45
nova santa helena,-,8.98,-,37.46,-,3.1
novo horizonte do norte,22.09,14.48,46.8,42.07,13.95,8.28
novo santo antonio,-,11.98,-,37.79,-,2.3
planalto da serra,20,14.33,36.62,19.54,8.62,2.93
ponte branca,16.22,7.59,9.01,12.41,2.25,0.69
porto estrela,42.6,22.73,57.56,25.76,26.83,8.18
reserva do cabacal,24.71,11.65,35.14,23.69,9.27,2.01
ribeiraozinho,16.29,6.67,18.1,14.36,1.36,1.03
rondolandia,-,21.15,-,79.7,-,20.09
salto do ceu,28.83,10.46,35.86,43.08,15.14,4.0
santa carmem,17.8,11.19,22.2,14.99,3.9,1.12
santa cruz do xingu,-,15.28,-,30.09,-,7.41
santa rita do trivelato,-,4.3,-,28.67,-,1.79
santo afonso,18.62,6.81,57.59,36.92,13.18,3.58
santo antonio do leste,-,14.4,-,43.7,-,13.11
sao jose do povo,24.9,13.06,38.13,24.08,9.34,3.67
sao pedro da cipa,29.86,15.01,15.4,6.54,6.87,1.21
serra nova dourada,-,9.45,-,33.86,-,3.15
tesouro,14.56,9.76,32.28,27.87,7.91,2.44
torixoreu,13.22,8.37,26.87,22.05,3.08,2.28
uniao do sul,20.11,11.06,19.4,24.37,5.42,5.03
vale de sao domingos,-,8.63,-,52.88,-,2.88
de 5.001 a 10.000 ,24.13,15.42,41.75,31.52,12.82,7.45
acorizal,38.85,21.91,26.32,19.31,14.4,6.72
alto boa vista,22.97,20.0,63.96,45.67,18.69,15.12
alto taquari,17.14,8.29,16.82,7.07,2.83,0.37
apiacas,28.18,17.25,36.89,29.43,14.8,7.67
barao de melgaco,35.14,21.47,51.3,47.55,21.81,13.11
bom jesus do araguaia,-,11.41,-,32.79,-,4.17
campos de julio,7.75,9.17,31.23,13.07,0.73,0.85
castanheira,15.44,13.4,47.19,53.48,6.84,8.72
cocalinho,25.11,16.47,50.53,34.52,15.22,7.14
denise,24.43,12.82,14.13,8.73,4.56,0.86
dom aquino,21.03,8.29,22.99,16.44,5.75,1.49
gaucha do norte,15.83,55.34,50.25,69.42,9.3,53.16
general carneiro,25,11.63,40.15,67.91,11.36,8.84
ipiranga do norte,-,7.39,-,29.02,-,1.48
itanhanga,-,11.48,-,17.14,-,3.0
jangada,37.52,24.27,48.86,50.76,26.57,14.29
lambari d'oeste,31.33,18.25,50.29,25.36,15.67,4.93
nortelandia,18.69,14.36,10.44,15.43,2.45,4.08
nova lacerda,28.83,10.87,44.58,37.29,16.56,7.69
nova maringa,29.79,14.19,45.8,13.66,13.63,2.79
nova monte verde,22.43,7.73,72.49,35.87,18.73,3.04
nova ubirata,17.42,11.83,31.18,33.4,4.73,3.38
novo mundo,20.67,12.12,60.83,51.81,13.83,7.8
novo sao joaquim,22.04,11.9,52.78,29.12,13.8,4.03
pontal do araguaia,13.81,6.26,20.92,7.13,2.09,1.08
porto dos gauchos,16.9,8.51,34.32,28.92,7.23,2.27
ribeirao cascalheira,22.66,16.89,57.72,37.64,15.08,12.83
rio branco,27.05,8.86,23.69,12.35,8.58,0.7
santa terezinha,36.45,23.75,48.97,31.66,20.53,6.87
sao jose do xingu,30.06,19.69,50.67,26.2,16.85,6.82
tabapora,19.29,9.31,61.35,25.06,14.75,1.77
de 10.001 a 20.000 ,21.94,13.94,35.37,29.21,10.63,6.7
alto araguaia,18.55,6.38,21.16,10.71,5.04,1.03
alto garcas,13.89,10.79,18.48,10.14,3.56,0.65
alto paraguai,19.28,13.69,23.19,30.47,6.75,4.03
araputanga,17.73,10.46,14.3,15.94,3.82,2.18
arenapolis,23.16,9.89,25.24,8.84,8.49,1.35
aripuana,25.61,11.98,62.07,32.73,19.41,6.3
brasnorte,22.78,12.37,44.65,31.7,13.06,5.52
campinapolis,36.71,47.3,67.34,81.97,31.42,45.14
canarana,22.25,20.6,31.35,26.73,11.04,14.36
