city,total,adequada,semi_adequada,inadequada
praia grande,2149,896,1208,45
presidente castelo branco,547,53,478,17
presidente getulio,3395,1674,1664,57
presidente nereu,636,152,422,61
princesa,668,7,596,65
quilombo,2734,523,1958,253
rancho queimado,731,142,568,20
rio das antas,1679,285,1251,143
rio do campo,1697,455,1155,88
rio do oeste,1832,610,1174,48
rio do sul,15154,10640,4485,28
rio dos cedros,2484,795,1638,51
rio fortuna,1074,9,998,68
rio negrinho,9912,6260,3444,209
rio rufino,596,89,433,73
riqueza,1354,10,1199,145
rodeio,2948,1301,1628,19
romelandia,1759,211,1358,190
salete,1894,634,1204,56
saltinho,1002,3,773,225
salto veloso,1043,558,476,9
sangao,2103,313,1624,166
santa cecilia,3782,1546,1951,285
santa helena,664,7,564,93
santa rosa de lima,493,29,401,62
santa rosa do sul,2227,288,1911,28
santa terezinha,2008,121,1517,370
santa terezinha do progresso,874,0,729,145
santiago do sul,416,0,367,49
santo amaro da imperatriz,4317,2523,1785,9
sao bento do sul,17710,12690,5001,19
sao bernardino,765,0,639,126
sao bonifacio,883,0,812,72
sao carlos,2635,343,2162,130
sao cristovao do sul,1067,393,651,23
sao domingos,2580,339,2112,129
sao francisco do sul,9205,4363,4780,62
sao joao batista,4296,2129,2122,45
sao joao do itaperiu,833,40,746,48
sao joao do oeste,1500,112,1274,113
sao joao do sul,1961,180,1686,96
sao joaquim,6505,3213,3119,173
sao jose,49809,38673,11017,119
sao jose do cedro,3604,201,3173,230
sao jose do cerrito,2866,214,2320,333
sao lourenco do oeste,5304,1238,3740,326
sao ludgero,2289,1217,1010,62
sao martinho,835,135,647,52
sao miguel da boa vista,539,14,489,36
sao miguel do oeste,9432,3148,6163,121
sao pedro de alcantara,1029,171,843,15
saudades,2083,192,1687,204
schroeder,2936,1129,1807,0
seara,4437,1751,2515,171
serra alta,830,43,706,81
sideropolis,3286,1658,1557,71
sombrio,6543,310,6167,66
sul brasil,794,2,717,75
taio,4522,1535,2893,94
tangara,2473,585,1789,100
tigrinhos,502,0,468,34
tijucas,6596,4103,2418,75
timbe do sul,1488,427,997,63
timbo,8452,5630,2822,0
timbo grande,1508,355,914,239
tres barras,4351,1898,2332,121
treviso,824,276,509,39
treze de maio,1818,222,1506,90
treze tilias,1336,587,638,111
trombudo central,1662,572,1018,72
tubarao,26111,18710,7370,32
tunapolis,1241,12,1110,119
turvo,3014,1095,1887,32
uniao do oeste,849,7,769,74
urubici,2786,1143,1555,88
urupema,703,202,470,31
urussanga,5194,2914,2252,28
vargeao,914,146,723,45
vargem,847,60,698,89
vargem bonita,1308,524,745,39
vidal ramos,1654,236,1265,153
videira,11913,6725,5135,53
vitor meireles,1305,216,965,124
witmarsum,848,104,709,35
xanxere,10635,3632,6855,147
xavantina,1081,166,833,82
xaxim,6217,1749,4245,224
zortea,744,258,476,10
