city,total,adequada,semi_adequada,inadequada
lagoa do ouro,3390.33824335,1391.13448093,1920.77100442,78.432758
lagoa dos gatos,4668.37355836,1431.67133318,2833.35420896,403.34801622
lagoa grande,6048.3254994,1802.14380477,3885.69729435,360.48440028
lajedo,10987.43847218,5317.55021328,5454.67686719,215.21139171
limoeiro,16389.88217412,5123.65560339,10831.7523402,434.47423053
macaparana,6667,2979.58512812,3429.73743899,257.67743289
machados,3593.00000001,318.78620006,3021.54189747,252.67190248
manari,4147.00000002,-,3158.27352478,988.72647524
maraial,3066.56848935,395.01685737,2374.44265816,297.10897382
mirandiba,3583.76226175,1306.54359598,1922.53184078,354.68682499
moreilandia,2933.3238804,288.56570172,2319.45525517,325.30292351
moreno,16439.3952783,6208.25440683,9683.01605648,548.12481499
nazare da mata,8670.86783367,5130.93477784,3375.89371731,164.03933852
olinda,113163.33924824,53132.14591298,59740.76511903,290.42821623
orobo,6354,1114.16543113,4564.85033124,674.98423763
oroco,3382.38463311,915.09228861,2243.36714868,223.92519582
ouricuri,16562.50579251,5554.86930792,9200.48598592,1807.15049867
palmares,15390.77091808,6781.07489505,7739.81771197,869.87831106
palmeirina,2334.00000001,846.11669444,1343.68412199,144.19918358
panelas,7278.66404072,2755.00843783,4053.070102,470.58550089
paranatama,3119.07547198,49.35522922,2722.72529621,346.99494655
parnamirim,5074.20087173,1344.66260281,3029.72783235,699.81043657
passira,8608.87550953,677.72029091,7408.81583852,522.3393801
paudalho,14156.23117585,2358.37820019,11115.19784032,682.65513534
paulista,90621.56296276,43127.30286767,47262.20146935,232.05862574
pedra,5920.99999999,1939.21712298,3387.68973073,594.09314628
pesqueira,18399.11561613,8296.56524252,9330.10586689,772.44450672
petrolandia,8586.28419064,4484.01863731,3835.08996414,267.17558919
petrolina,80351.45481197,44604.89646848,34243.47873019,1503.0796133
pocao,3361.49220007,788.26144672,2399.21420246,174.01655089
pombos,7207.11269443,3307.13962386,3694.94848622,205.02458435
primavera,3684.52885591,1015.2132096,2401.58528185,267.73036446
quipapa,6266.10222953,2448.54235608,3203.40238922,614.15748423
quixaba,1804.00000002,398.24908841,1180.33364773,225.41726388
recife,470896.32648602,243832.65188302,226086.11331666,977.56128634
riacho das almas,6020.89618794,2027.20454318,3540.04918917,453.64245559
ribeirao,11917.79019128,5690.9809503,5613.48115219,613.32808879
rio formoso,5483.42857143,1456.25953031,3374.80834485,652.36069627
saire,3549.68462443,592.62090829,2734.13515757,222.92855857
salgadinho,2270.69757924,17.71220113,1930.97543706,322.00994105
salgueiro,15032.6457301,7122.33282935,7573.86779929,336.44510146
saloa,4487.91941428,1130.90991099,3015.76418691,341.24531638
sanharo,5982.93650324,2267.25049879,3550.95626051,164.72974394
santa cruz,3609,529.25290088,2463.39297698,616.35412214
santa cruz da baixa verde,3332.70828328,1102.17553727,1884.98083849,345.55190752
santa cruz do capibaribe,25899.87503437,15535.84848591,10175.3681151,188.65843336
santa filomena,3610.99999998,135.94104921,2763.42246569,711.63648508
santa maria da boa vista,9813,2621.12511256,6489.82064448,702.05424296
santa maria do cambuca,3784,453.1168362,2839.95547405,490.92768975
santa terezinha,3015.35026639,1194.47204291,1589.49141849,231.38680499
sao benedito do sul,3180.88251101,431.49416536,2254.31511767,495.07322798
sao bento do una,14695.49999998,5222.21346176,8263.68640625,1209.60013197
sao caitano,10655.04552094,4193.34837932,5926.24659882,535.4505428
sao joao,5815,1020.34532099,4261.83014784,532.82453117
sao joaquim do monte,6171.96782935,3359.99072983,2489.77665102,322.2004485
sao jose da coroa grande,4899.25270449,166.16025116,4549.20881071,183.88364262
sao jose do belmonte,8813.96613943,2207.01860362,5761.22329065,845.72424516
sao jose do egito,10065.93472446,5573.13931987,4166.20078717,326.59461742
sao lourenco da mata,30341.151618,8218.87559548,21313.76745541,808.50856711
sao vicente ferrer,4644.61495738,1452.85803719,2857.39460644,334.36231375
serra talhada,23042.83233496,12696.91919806,9331.16622476,1014.74691214
serrita,4418.00000003,1131.87888534,2557.89167841,728.22943628
sertania,9726.00253339,4004.77909605,5088.65925237,632.56418497
sirinhaem,10020.00000002,2094.23521278,7246.80215729,678.96262995
solidao,1547,297.6876916,1093.89004309,155.42226531
surubim,17517.35102892,8680.40507634,8306.18947032,530.75648226
tabira,7955.49650273,4677.16158256,3108.98381794,169.35110223
tacaimbo,3913.99999999,1385.34673225,2330.85039772,197.80287002
tacaratu,5691.08979245,644.30975546,4367.37251445,679.40752254
tamandare,5349,722.29793822,4149.37813356,477.32392822
taquaritinga do norte,7365.97881176,1905.27769907,5153.87163295,306.82947974
terezinha,1838.93870421,548.90332432,1126.16748025,163.86789964
terra nova,2426.01367753,834.60067122,1390.88379423,200.52921208
timbauba,15161.50442045,7375.65195744,7415.21565162,370.63681139
toritama,10162.95832676,5484.15373752,4641.90141697,36.90317227
tracunhaem,3642.35179117,611.31113245,2948.06976286,82.97089586
trindade,6884.26259872,2104.37947089,4531.57194871,248.31117912
triunfo,4344.99999998,662.23601078,3443.09973638,239.66425282
tupanatinga,6150.71727868,1204.58285764,3979.64294805,966.49147299
tuparetama,2588.08609799,1412.25137544,1113.93111084,61.90361171
venturosa,4507.48325752,1775.29729722,2410.31101607,321.87494423
verdejante,2415.73814206,565.22907733,1682.59584258,167.91322215
vertente do lerio,2309.99999999,9.88669832,2087.22653929,212.88676238
vertentes,5484.52445089,1628.1573487,3576.08722866,280.27987353
vicencia,8075.27554559,2574.87961108,5299.21620145,201.17973306
vitoria de santo antao,39461.31109907,19149.49225136,19461.51615017,850.30269754
xexeu,3668.31303438,1395.51786049,2087.24893758,185.54623631
