city,total,regular,military_and_gov,irregular,entrepreneur,employers
sao sebastiao,1206.14,1143.62,2455.75,691.86,1306.76,3352.13
sao sebastiao da grama,853.01,802.53,1527.29,606.94,1258.59,2832.86
sao simao,1062.59,1001.12,2069.28,576.47,1446.35,2442.37
sao vicente,1213.43,1186.1,2064.27,800.51,1321.22,3215.87
sarapui,927.17,844.33,1012.56,566.81,1284.63,5052.53
sarutaia,729.85,730.43,1122.67,474.44,1114.82,1997.83
sebastianopolis do sul,1243.19,1028.17,1543.88,563.69,2103.34,5885.33
serra azul,940.04,1045.14,2135.07,332.85,1281.82,1997.19
serra negra,1158.18,899.79,2789.29,653.76,1661,3114.42
serrana,1113.64,1084.9,1463.38,693.18,1406.43,3631.12
sertaozinho,1452.35,1335.76,2111.05,727.95,1894.13,4430.23
sete barras,884.57,797.71,1516.08,546.07,968.17,4414.22
severinia,996.8,981.4,1081.13,651.46,1840.31,1716.46
silveiras,774.47,877.11,1302.53,452.61,913.02,3009.71
socorro,975.05,892.3,1897.97,608.73,1026.56,4037.15
sorocaba,1604.57,1508.91,2562.89,911.61,1622.79,5623.53
sud mennucci,1339.06,1043.44,1667.54,513.72,1480.77,16329.42
sumare,1339.85,1295.16,2000.39,792.45,1457.53,6409.33
suzanapolis,862.97,913.37,1140.26,421.05,872.24,8495.35
suzano,1134.95,1138.77,2087.06,694.6,1212.79,3279.47
tabapua,1078.67,917.13,1267.92,562.83,1598.31,5033.06
tabatinga,912.99,810.59,1737.33,645,1104.94,4372.55
taboao da serra,1307.97,1245.29,1932.98,887.72,1450.52,6248.44
taciba,898.57,913.48,1413.3,506.64,1064.53,2248.57
taguai,805.17,741.85,1587.7,544.23,1064.15,2049.82
taiacu,956.43,957.89,1921.41,634.18,1301.14,1898.92
taiuva,1083.39,945.65,1550.57,708.78,1508.88,2512.64
tambau,1170.83,987.84,1568.07,643.48,1692.97,4105.99
tanabi,1033.91,1031.67,1929.59,652.86,1174.18,2740.86
tapirai,789.51,875.47,1519.4,536.32,800.51,2739.1
tapiratiba,978.4,890.25,1567.49,1007.77,1129.13,2653.55
taquaral,1367.12,828.55,782.97,542.49,2484.27,14348.55
taquaritinga,1081.55,954.62,1937.07,579.1,1277.52,3055.26
taquarituba,979.82,915.52,1465.81,535.21,1263.23,2991.98
taquarivai,758.56,768.34,749.19,468.65,912.87,3278.68
tarabai,869.06,880.67,1465.22,535.33,985.36,1964.57
taruma,1535.88,1086.45,1091.75,525.13,4973.16,2898.64
tatui,1217.49,1121.65,1687.88,756.26,1555.65,4522.55
taubate,1545.64,1479.02,2694.61,747.55,1603.09,3984.69
tejupa,794.05,703.58,1168.67,470.89,981.41,9560.5
teodoro sampaio,1107.95,1164.23,1616.2,671.82,938.29,3674.35
terra roxa,1161.79,977.77,1704.82,576.6,1924.91,5805.98
tiete,1312.58,1196.66,2732.85,862.18,1443.62,3653.81
timburi,752.69,691.1,2515.59,553.1,810.9,1747.58
torre de pedra,849.89,894.05,1072.33,658.55,837.18,3000
torrinha,1103.8,949.45,1421.17,672.95,1363.89,6429.75
trabiju,803.33,771.82,2845.34,421.61,1220.58,-
tremembe,1499.69,1485.53,3237.95,610.31,1543.56,4336.4
tres fronteiras,974.1,877.37,1233.32,566.57,1405.49,2959.21
tuiuti,880.39,875.53,1194.46,595.08,1046.12,1996.19
tupa,1315.61,1018.46,2791.68,650.91,1788.6,5118.37
tupi paulista,1186.36,1034.73,2583.8,603.33,1168.46,4600.65
turiuba,957.1,948.04,1228.3,606.41,937.52,800
turmalina,965.35,893.32,1334.1,623.69,1223.61,-
ubarana,941.72,927.45,1507.86,585.8,1105.84,4148.78
ubatuba,999.36,918.53,1906.39,601.1,1197.8,3006.46
ubirajara,827.45,848.32,1617.67,573.99,984.58,2346.88
uchoa,959.48,945.33,1540.34,654.25,1071.42,1873.9
uniao paulista,1039.19,1072.08,1596.82,714.72,1159.33,1000
urania,1106.82,918.73,1523.65,589.25,1569.79,3623.49
