city,total,regular,military_and_gov,irregular,entrepreneur,employers
porto rico do maranhao,390.97,781.81,688.36,319.02,333.12,799.01
presidente dutra,766.95,930.78,1690.96,477.2,743.17,2570.34
presidente juscelino,512.18,872.11,650.57,586.93,246.38,-
presidente medici,529.97,706.73,727.08,440.7,460.89,2000
presidente sarney,424.93,839.29,544.8,412.18,319.95,-
presidente vargas,355.89,819.01,1101.38,420.09,187.09,-
primeira cruz,316.65,606.9,573.83,332.94,226.53,916.99
raposa,612.13,777.69,1075.78,450.64,599.67,1018.35
riachao,673.83,880.94,1507.08,429.65,767.58,5000
ribamar fiquene,928.02,862.84,848.71,573.51,628.46,18559.3
rosario,582.94,834.35,904.62,427.42,401.34,3227.3
sambaiba,557.46,824.53,761.2,496.76,460.05,1500
santa filomena do maranhao,414.48,825.24,719.26,386.15,264.61,-
santa helena,436.82,807.62,683.62,414.8,343.93,3334.56
santa ines,814.13,857.45,1826.94,511.83,866.33,3364.95
santa luzia,584.73,768.54,906.05,441.73,556.66,2583.76
santa luzia do parua,584.61,778.78,757.32,415.98,541.25,5876.41
santa quiteria do maranhao,384.61,618.73,758.87,363.21,312.74,723.11
santa rita,591.95,903.27,825.68,425.15,512.95,1231.67
santana do maranhao,475.88,820.97,543.51,385.42,426.43,-
santo amaro do maranhao,370.14,700.44,862.29,349.09,250.04,-
santo antonio dos lopes,568.42,882.93,1191.76,494.54,387.53,3163.12
sao benedito do rio preto,415.72,588.21,631.66,346.89,316.7,10952.48
sao bento,485.36,785.92,873.33,448.97,358.29,1303.83
sao bernardo,532.91,926.1,797.44,389.44,535.56,4975.2
sao domingos do azeitao,1128.18,737.3,939.75,475.83,1254.8,26108.69
sao domingos do maranhao,549.6,699.18,1138.05,435.21,510.06,958.36
sao felix de balsas,523.4,746.53,812.7,468.06,348.71,-
sao francisco do brejao,623.36,677.31,991.85,449.62,705.32,1173.43
sao francisco do maranhao,513.74,761.93,905.49,431.11,375.28,-
sao joao batista,520.44,1064.27,983.9,373.6,358.28,1972.94
sao joao do caru,499.18,593.47,666.32,432.85,478.21,628.69
sao joao do paraiso,547.63,791.07,776.8,361.21,592.29,1445.72
sao joao do soter,304.97,738.66,612.26,451.39,173.07,630.12
sao joao dos patos,594.57,829.1,1704.47,424.64,408.04,3115.28
sao jose de ribamar,879.99,953.97,1659.57,590.1,927.81,2977.03
sao jose dos basilios,522.48,676.82,820.79,421.64,416.16,1058.29
sao luis,1317.09,1246.45,2947.64,708.23,1280.88,5278.26
sao luis gonzaga do maranhao,391.18,718.78,846.95,356.48,265.17,1687.41
sao mateus do maranhao,996.03,961.73,884.77,409.56,852.63,49827.76
sao pedro da agua branca,656.67,784.4,852.62,424.85,694.44,1358.7
sao pedro dos crentes,550.76,701.57,792.53,366.62,522.83,1209.02
sao raimundo das mangabeiras,643.84,827.35,1289.9,360.54,531.59,2538.28
sao raimundo do doca bezerra,427.96,652.5,687.81,397.71,319.4,-
sao roberto,456.61,698.69,799.25,395.02,335.65,-
sao vicente ferrer,563.36,647.39,998.31,457.6,525.67,3000
satubinha,355.36,731.5,591.03,261.25,340.54,-
senador alexandre costa,502.47,709.26,709.16,434.7,305.19,1529.49
senador la rocque,651.01,741.86,843.5,473.94,655.07,2064.48
serrano do maranhao,347.54,608.07,753.11,342.8,212.01,550
sitio novo,538.8,656.88,767.33,419.67,469.28,4249.32
sucupira do norte,557.55,648.88,987.84,489.77,423.32,250
sucupira do riachao,435.78,615.53,678.76,330.18,464.52,6000
tasso fragoso,780.37,889.08,919.14,664.28,858.08,3000
timbiras,480.41,633.76,1038.7,547.32,322.69,1510.27
timon,681.18,717.51,1302.29,516.79,626.32,2512.6
trizidela do vale,529.52,712.26,816.28,437.77,504.46,1910.21
tufilandia,441.01,650.29,744.55,359.83,315.8,-
tuntum,506.96,702,946.33,522.28,383.98,952.33
