city,total
abaiara,3149
acarape,4815
acarau,17637
acopiara,18980
aiuaba,5260
alcantaras,3506
altaneira,2197
alto santo,6017
amontada,11312
antonina do norte,2305
apuiares,4750
aquiraz,23316
aracati,22614
aracoiaba,9118
ararenda,3900
araripe,7180
aratuba,4426
arneiroz,2824
assare,7792
aurora,9788
baixio,2224
banabuiu,6056
barbalha,16562
barreira,6536
barro,7577
barroquinha,5029
baturite,10909
beberibe,16308
bela cruz,10356
boa viagem,19847
brejo santo,14044
camocim,20035
campos sales,9507
caninde,25783
capistrano,5743
caridade,5579
carire,6898
caririacu,8944
carius,7571
carnaubal,5856
cascavel,21625
catarina,5811
catunda,3441
caucaia,94814
cedro,9570
chaval,4207
choro,4316
chorozinho,7487
coreau,7881
crateus,28033
crato,36760
croata,5858
cruz,7061
deputado irapuan pinheiro,3600
erere,2212
eusebio,11443
farias brito,7607
forquilha,6782
fortaleza,777775
fortim,4553
frecheirinha,4449
general sampaio,1666
graca,5085
granja,16973
granjeiro,1891
groairas,3504
guaiuba,7260
guaraciaba do norte,13347
guaramiranga,1926
hidrolandia,6757
horizonte,13260
ibaretama,4681
ibiapina,7997
ibicuitinga,3807
icapui,6451
ico,23757
iguatu,33707
independencia,10140
ipaporanga,4418
ipaumirim,4257
ipu,14580
ipueiras,14079
iracema,5055
iraucuba,7037
itaicaba,2608
itaitinga,10958
itapage,15274
itapipoca,34271
itapiuna,5877
itarema,10299
itatira,5390
jaguaretama,6892
jaguaribara,3548
jaguaribe,13554
jaguaruana,11095
jardim,9513
jati,2772
jijoca de jericoacoara,4630
juazeiro do norte,76001
jucas,8575
lavras da mangabeira,11583
limoeiro do norte,20413
madalena,5342
maracanau,67866
maranguape,31578
marco,7382
martinopole,2941
massape,10308
mauriti,15418
meruoca,3822
milagres,9809
milha,5483
miraima,4144
missao velha,11557
mombaca,16299
monsenhor tabosa,6416
morada nova,25293
moraujo,2565
morrinhos,6559
mucambo,5056
mulungu,3270
nova olinda,4263
nova russas,11355
novo oriente,10403
ocara,8348
oros,8846
pacajus,17021
pacatuba,19722
pacoti,3984
pacuja,1977
palhano,3071
palmacia,3484
paracuru,10195
paraipaba,9883
parambu,12403
paramoti,4119
pedra branca,15744
penaforte,2639
pentecoste,11826
pereiro,5427
pindoretama,5687
piquet carneiro,5416
pires ferreira,3383
poranga,4553
porteiras,5598
potengi,3408
potiretama,2449
quiterianopolis,7504
quixada,25417
quixelo,6357
quixeramobim,23066
quixere,6629
redencao,9356
reriutaba,8057
russas,21221
saboeiro,6101
salitre,5200
santa quiteria,15875
santana do acarau,9451
santana do cariri,5634
sao benedito,14337
sao goncalo do amarante,13137
sao joao do jaguaribe,3821
sao luis do curu,4330
senador pompeu,10608
senador sa,2006
sobral,55943
solonopole,6879
tabuleiro do norte,11341
tamboril,9463
tarrafas,3672
taua,20394
tejucuoca,4865
tiangua,22189
trairi,15938
tururu,4219
ubajara,10404
umari,2784
umirim,6266
uruburetama,5937
uruoca,4209
varjota,5983
varzea alegre,13631
vicosa do ceara,15868
