city,total
alvaraes,3676
amatura,2372
anama,2195
anori,3815
apui,5267
atalaia do norte,3361
autazes,8197
barcelos,8350
barreirinha,6657
benjamin constant,7846
beruri,3558
boa vista do ramos,3369
boca do acre,9423
borba,8192
caapiranga,2769
canutama,3549
carauari,7751
careiro,9840
careiro da varzea,6579
coari,21188
codajas,5573
eirunepe,8241
envira,5815
fonte boa,10106
guajara,4165
humaita,10818
ipixuna,4436
iranduba,10899
itacoatiara,23858
itamarati,2697
itapiranga,2369
japura,3004
jurua,2088
jutai,6919
labrea,9731
manacapuru,24721
manaquiri,4651
manaus,497029
manicore,11797
maraa,5496
maues,12171
nhamunda,5052
nova olinda do norte,6866
novo airao,3115
novo aripuana,5059
parintins,28281
pauini,5377
presidente figueiredo,6577
rio preto da eva,6292
santa isabel do rio negro,3761
santo antonio do ica,8876
sao gabriel da cachoeira,10416
sao paulo de olivenca,7205
sao sebastiao do uatuma,2332
silves,2828
tabatinga,12589
tapaua,5791
tefe,21467
tonantins,4887
uarini,3203
urucara,6183
urucurituba,3579
