city,qt
agua clara,10856
alcinopolis,3679
amambai,29333
anastacio,22446
anaurilandia,7937
angelica,7356
antonio joao,7370
aparecida do taboado,18297
aquidauana,43270
aral moreira,8010
bandeirantes,6359
bataguassu,16130
bataypora,10589
bela vista,21605
bodoquena,8353
bonito,16840
brasilandia,11833
caarapo,20650
camapua,16352
campo grande,661339
caracol,4568
cassilandia,19969
chapadao do sul,11497
corguinho,3582
coronel sapucaia,12757
corumba,94793
costa rica,15290
coxim,30780
deodapolis,11350
dois irmaos do buriti,9318
douradina,4732
dourados,164133
eldorado,11009
fatima do sul,19034
gloria de dourados,10007
guia lopes da laguna,11039
iguatemi,13593
inocencia,7823
itapora,17025
itaquirai,15767
ivinhema,21583
japora,6135
jaraguari,5344
jardim,22399
jatei,4054
juti,4943
ladario,15301
laguna carapa,5527
maracaju,26085
miranda,22865
mundo novo,15619
navirai,36549
nioaque,15007
nova alvorada do sul,9837
nova andradina,35235
novo horizonte do sul,6394
paranaiba,38052
paranhos,10184
pedro gomes,8507
ponta pora,60611
porto murtinho,13139
ribas do rio pardo,16407
rio brilhante,22493
rio negro,5422
rio verde de mato grosso,18048
rochedo,4351
santa rita do pardo,6568
sao gabriel do oeste,16715
selviria,6085
sete quedas,10868
sidrolandia,23414
sonora,9542
tacuru,8701
taquarussu,3493
terenos,11628
tres lagoas,78747
vicentina,5774
