city,total,regular,military_and_gov,irregular,entrepreneur,employers
abreulandia,1024.57,862.71,871.64,1263.46,712.83,2784.33
aguiarnopolis,829.47,866.31,1078.07,500.96,1149.88,-
alianca do tocantins,778.2,867.99,1103.51,473.69,780.71,5593.21
almas,880.6,1083.96,1010.83,554.08,1089.59,3081.88
alvorada,955.89,916.34,1604.14,497.83,1250.61,1703.06
ananas,820.03,815.67,1198.9,490.28,1045.9,1353.18
angico,671.1,678.95,870.83,351.45,841.24,943.3
aparecida do rio negro,706.67,746.78,1128.61,540.86,669.49,300
aragominas,662.81,698.66,1050.36,589.92,603.07,-
araguacema,818.42,864.85,1094.62,527.04,770.25,4321.5
araguacu,829.06,755.61,1219.67,519.58,962.73,2825.52
araguaina,1304.08,982.24,2461.44,645.87,1644.74,5592.98
araguana,875.16,778.03,966.53,483.02,1307.79,1563.51
araguatins,867.98,871.31,1445.6,549.2,846.1,2438.63
arapoema,861.17,833.25,1025.34,504.55,1289.31,2040.32
arraias,915.4,738.58,1680.1,413.79,809.08,1052.81
augustinopolis,795.63,701.5,1864.29,461.45,849.73,1065.47
aurora do tocantins,1044.74,835.02,1610.4,421.39,849.41,30000
axixa do tocantins,693.69,807.99,1088.64,504.25,648.97,1222.77
babaculandia,684.58,786.79,916.35,521.56,662.84,3397.21
bandeirantes do tocantins,762.38,785.86,984.76,655.89,838.77,800
barra do ouro,674.57,698.62,1149.9,407.39,581.5,-
barrolandia,735.53,837.93,1183.27,483.07,727.72,765
bernardo sayao,740.01,879.07,917.29,542.41,742.63,-
bom jesus do tocantins,773.79,769.05,1041.94,439.89,1039.26,3268.68
brasilandia do tocantins,960.82,780.43,1076.72,485.36,825.36,8887.37
brejinho de nazare,878.61,804.9,956.29,412.97,1202.54,4960.92
buriti do tocantins,797.54,814.25,1026.34,608.72,972.69,252.66
cachoeirinha,624.8,639.39,768.98,337.07,823.33,569.76
campos lindos,886.55,776.18,837.75,463.39,1459.15,8180.83
cariri do tocantins,798.78,871.7,1140.27,619.37,862.27,1646.66
carmolandia,812.44,818.25,994.48,401.85,988.7,510
carrasco bonito,666.89,721.57,815.67,421.5,887.22,-
caseara,1023.24,961.13,1420.73,528.91,654.34,5833.65
centenario,679.51,687.67,1001.93,367.78,633.86,1403.85
chapada da natividade,858.78,641.08,919.27,608.67,839.62,11425.79
chapada de areia,766.5,907.09,787.28,496.84,413.01,30000
colinas do tocantins,1095.62,1108.11,1745.58,522.25,1393.52,6650.11
colmeia,820.73,852.02,1226.88,660.77,856.23,2677.85
combinado,805.7,802.45,1614.48,442.79,746.75,1947.39
conceicao do tocantins,644.41,765.4,1013.61,520.03,471.49,3249.21
