city,qt
pinhal de sao bento,2620.75202425
pinhalao,6207.482994
pinhao,30017.60494292
pirai do sul,23334.42611391
piraquara,88324.67809177
pitanga,32573
pitangueiras,2814
planaltina do parana,4080.6686777
planalto,13492.29340652
ponta grossa,310169.20689334
pontal do parana,20865.57973514
porecatu,13980.13058616
porto amazonas,4491.98799314
porto barreiro,3637.07916265
porto rico,2512.4878255
porto vitoria,3958.27570305
prado ferreira,3413
pranchita,5588.54298902
presidente castelo branco,4759.31034602
primeiro de maio,10810
prudentopolis,48146.51595799
quarto centenario,4856
quatigua,7028
quatro barras,19766
quatro pontes,3780.62257782
quedas do iguacu,30494.02207117
querencia do norte,11514.45849784
quinta do sol,5068.21305453
quitandinha,17047.4449013
ramilandia,4118.14777487
rancho alegre,3940.646367
rancho alegre d'oeste,2847
realeza,16273.3888259
reboucas,14167
renascenca,6759.91512758
reserva,25132
reserva do iguacu,7254.88223086
ribeirao claro,10627
ribeirao do pinhal,13402.37217145
rio azul,13904.65653763
rio bom,3280.23944008
rio bonito do iguacu,13547.26889541
rio branco do ivai,3898
rio branco do sul,30647
rio negro,31134.39496778
rolandia,57761.1325384
roncador,11446.35265735
rondon,8984.76355019
rosario do ivai,5558.63735597
sabaudia,6088
salgado filho,4403
salto do itarare,5153.81582464
salto do lontra,13668.01015217
santa amelia,3790.59356829
santa cecilia do pavao,3631
santa cruz de monte castelo,8033.71818755
santa fe,10407.57270934
santa helena,23337.92330634
santa ines,1815.34038632
santa isabel do ivai,8734
santa izabel do oeste,13114.83671573
santa lucia,3925
santa maria do oeste,11497
santa mariana,12404.80694759
santa monica,3558.10281936
santa tereza do oeste,10332
santa terezinha de itaipu,20713.88584151
santana do itarare,5219.81776037
santo antonio da platina,42479.31837339
santo antonio do caiua,2727
santo antonio do paraiso,2408
santo antonio do sudoeste,18870.917791
santo inacio,5247.02939898
sao carlos do ivai,6298.42201908
sao jeronimo da serra,11316.98252558
sao joao,10581.27704765
sao joao do caiua,5882.34777225
sao joao do ivai,11395.74635247
sao joao do triunfo,13618.80107532
sao jorge do ivai,5506
sao jorge do patrocinio,6024.51131218
sao jorge d'oeste,9076.46411519
sao jose da boa vista,6484.87664498
sao jose das palmeiras,3828.10394133
sao jose dos pinhais,263382.70787471
sao manoel do parana,2098
sao mateus do sul,41213.3853126
sao miguel do iguacu,25688.36198931
sao pedro do iguacu,6478.5104627
sao pedro do ivai,10142.33827827
sao pedro do parana,2491
sao sebastiao da amoreira,8578.65867372
sao tome,5349
sapopema,6695.88787539
sarandi,82728.26196674
saudade do iguacu,5028
senges,18339.27787089
serranopolis do iguacu,4568
sertaneja,5810.39353955
sertanopolis,15570.64813676
siqueira campos,18391.39158241
sulina,3394
tamarana,12239
tamboara,4660.68080306
tapejara,14554.4296223
tapira,5805.79560985
teixeira soares,10070.53668936
telemaco borba,69621.62844781
terra boa,15675.02202125
terra rica,15056.3944991
terra roxa,16636.21405269
tibagi,19313.02168018
tijucas do sul,14375.75491297
toledo,118995.08621965
tomazina,8783
tres barras do parana,11795.44142315
tunas do parana,6247.27257506
tuneiras do oeste,8689.23861596
tupassi,7993.57314324
turvo,13790
ubirata,21414.13198856
umuarama,100244.68919101
uniao da vitoria,52526.5444844
uniflor,2466
urai,11431
ventania,9957
vera cruz do oeste,8950
vere,7878
virmond,3950
vitorino,6491.90868484
wenceslau braz,19161.68546584
xambre,6010
