city,total
agua branca,6383
anadia,6394
arapiraca,69501
atalaia,13549
barra de santo antonio,4002
barra de sao miguel,2458
batalha,5235
belem,2097
belo monte,2483
boca da mata,8709
branquinha,3820
cacimbinhas,3598
cajueiro,6486
campestre,2067
campo alegre,14210
campo grande,3461
canapi,6123
capela,6124
carneiros,2150
cha preta,2608
coite do noia,4328
colonia leopoldina,6108
coqueiro seco,1875
coruripe,17606
craibas,7662
delmiro gouveia,15650
dois riachos,4099
estrela de alagoas,5863
feira grande,7837
feliz deserto,1450
flexeiras,4106
girau do ponciano,10392
ibateguara,5162
igaci,9387
igreja nova,7576
inhapi,6101
jacare dos homens,1939
jacuipe,2414
japaratinga,2472
jaramataia,2153
joaquim gomes,7271
jundia,1447
junqueiro,8377
lagoa da canoa,7258
limoeiro de anadia,8327
maceio,294710
major isidoro,6487
mar vermelho,1447
maragogi,7739
maravilha,4739
marechal deodoro,12779
maribondo,5393
mata grande,8717
matriz de camaragibe,8161
messias,3991
minador do negrao,2107
monteiropolis,2495
murici,8271
novo lino,3407
olho d'agua das flores,6704
olho d'agua do casado,2490
olho d'agua grande,1811
olivenca,3638
ouro branco,3479
palestina,1561
palmeira dos indios,25552
pao de acucar,8251
pariconha,3417
paripueira,2794
passo de camaragibe,4651
paulo jacinto,2639
penedo,19636
piacabucu,5838
pilar,11435
pindoba,1170
piranhas,7059
poco das trincheiras,4655
porto calvo,8075
porto de pedras,3368
porto real do colegio,6507
quebrangulo,4334
rio largo,22968
roteiro,2461
santa luzia do norte,2285
santana do ipanema,14933
santana do mundau,3935
sao bras,2290
sao jose da laje,7028
sao jose da tapera,9077
sao luis do quitunde,9692
sao miguel dos campos,17867
sao miguel dos milagres,2046
sao sebastiao,10577
satuba,4666
senador rui palmeira,3976
tanque d'arca,2394
taquarana,6085
teotonio vilela,12773
traipu,7861
uniao dos palmares,20154
vicosa,9180
