city,qt
alta floresta d'oeste,24115.60173424
alto alegre dos parecis,12775.11911921
alto paraiso,17118.03420871
alvorada d'oeste,16719.75605094
ariquemes,89835.95587929
buritis,32296.12180439
cabixi,6302.81969969
cacaulandia,5733.10372505
cacoal,78204.4258088
campo novo de rondonia,12608.92050484
candeias do jamari,19685.20328448
castanheiras,3568.68139445
cerejeiras,16966.24057038
chupinguaia,8059.59660225
colorado do oeste,18540
corumbiara,8646.89602512
costa marques,13562.85796475
cujubim,15715.21684454
espigao d'oeste,28510.36352852
governador jorge teixeira,10453.75385627
guajara-mirim,39960.11368994
itapua do oeste,8456.05174185
jaru,51771.48688203
ji-parana,115997.37068489
machadinho d'oeste,31033.51943484
ministro andreazza,10352
mirante da serra,11878
monte negro,14029.37797567
nova brasilandia d'oeste,19542.26977336
nova mamore,22284.43025287
nova uniao,7480.6068916
novo horizonte do oeste,10197.63082549
ouro preto do oeste,37732.17301214
parecis,4773.77020939
pimenta bueno,33622.7473205
pimenteiras do oeste,2282.30660736
porto velho,423100.24037772
presidente medici,22287
primavera de rondonia,3494.97701563
rio crespo,3286.24213705
rolim de moura,50402
santa luzia d'oeste,8865.41485019
sao felipe d'oeste,6002.64981144
sao francisco do guapore,16018
sao miguel do guapore,21700.27204308
seringueiras,11428.5098633
teixeiropolis,4866.87702849
theobroma,10335.03657307
urupa,12901.92567046
vale do anari,9362.44805345
vale do paraiso,8199.26679864
vilhena,75725.89982015
