city,total,regular,military_and_gov,irregular,entrepreneur,employers
jatoba do piaui,423.88,581.84,686.53,395.82,359.66,-
jerumenha,595.16,742.34,1462.82,442.07,578.7,-
joao costa,472.92,698.79,845.7,364.56,341.08,1500
joaquim pires,501.86,753.53,683.43,333.48,552.33,2500
joca marques,452.74,793.05,300,390.83,327.42,250
jose de freitas,526.97,635.5,1110.02,419.92,344.64,2736.01
juazeiro do piaui,456.47,629.5,781.85,323.59,331.83,3724.89
julio borges,501.29,774.62,706.09,399.85,288.56,500
jurema,464.57,828.83,-,403.09,364.65,-
lagoa alegre,476.73,879.16,809.65,321.09,315.92,969.71
lagoa de sao francisco,519.73,691.83,735.51,266.07,263.05,968.58
lagoa do barro do piaui,665.37,695.27,984.04,454.04,493.55,-
lagoa do piaui,486.33,645.15,644.69,342.95,462.58,510
lagoa do sitio,355.32,679.17,964.69,311.5,262.21,-
lagoinha do piaui,478.33,706.1,804.3,393.68,407,-
landri sales,688.1,954.82,869.07,482.24,584.47,-
luis correia,528.06,674.76,1300.53,360.73,405.24,2758.53
luzilandia,462.57,722.47,1665.48,409.13,355.93,766.81
madeiro,490.54,644.11,1638.72,430.78,271.69,-
manoel emidio,639.71,818.81,1008.86,457.77,491.42,2793.99
marcolandia,472.9,795.54,1223.71,381.32,461.22,1381.42
marcos parente,638.1,713.9,1349.74,448.31,524.17,1941.53
massape do piaui,423.6,647.54,729.42,316.84,347.76,705.04
matias olimpio,416.98,671.36,1177.46,383.56,272.81,893.19
miguel alves,577.78,858.48,1512.72,449.52,438.26,3722.04
miguel leao,480.72,726.83,1818.44,423.2,253.68,-
milton brandao,409.62,668.4,901.11,355.46,277.96,-
monsenhor gil,593.64,744.26,1219.56,407.07,539.33,-
monsenhor hipolito,453.42,852.6,877.73,372.29,400.54,358.11
monte alegre do piaui,629.42,1092.81,952.65,438.63,361.41,2073.83
morro cabeca no tempo,609.14,780.55,964.45,494.55,367.51,-
morro do chapeu do piaui,397.19,745.28,670.07,341.33,225.07,501.24
murici dos portelas,476.19,763.22,-,574.66,280.98,177.18
nazare do piaui,535.21,739.35,909.78,292.98,572.08,1891.45
nazaria,532.26,656.45,1861.7,399.35,465.6,-
nossa senhora de nazare,607.58,973.74,629.83,586.71,342.67,-
nossa senhora dos remedios,290.72,717.22,681.99,353.58,156.78,600
nova santa rita,697.94,1093.03,4440.64,344.07,291.58,3000
novo oriente do piaui,471.91,772.88,1077.45,287.27,319.25,3105.84
novo santo antonio,496.68,1041.3,865.91,286.2,290.93,-
oeiras,741.34,993.62,1282.81,465.95,523.51,3088.64
olho d'agua do piaui,560.58,1096.57,-,433.58,415.92,1000
padre marcos,439.16,750.98,1180.15,331.65,348.54,1500
paes landim,511.24,712.98,1470.89,353.13,358.34,759.34
pajeu do piaui,444.16,815.59,1638.92,305.37,241.97,4000
palmeira do piaui,494.57,836.49,896.56,388.34,373.77,3563.73
palmeirais,419.93,689.35,1451.21,372.86,258.89,6000
paqueta,341.76,633.34,495.13,270.36,301.31,626.13
parnagua,514.99,877.9,993.87,360.36,402.21,1239.02
parnaiba,833.43,867.1,2082.36,452.55,653.6,4371.85
passagem franca do piaui,781.02,1250.94,815,582.36,554.62,-
patos do piaui,488.26,725.36,786.74,400.5,422.51,-
pau d'arco do piaui,380.33,657.36,1295.07,369.5,221.2,-
paulistana,771.5,737.58,1313.95,429.11,698.24,16125.31
pavussu,342.84,600.88,820.49,420.32,190.46,-
pedro ii,537.78,774.74,1312.76,313.98,510.26,1205.55
pedro laurentino,441.68,561.06,684.22,351.67,215.73,-
picos,974.28,916.96,1704.4,531.28,872.08,5817.79
pimenteiras,583.86,652.6,1390.08,347.17,358.2,25000
pio ix,464.49,829.92,787.31,396.2,346.53,897.41
piracuruca,552.56,744.82,1234.97,370.84,555.38,1758.77
piripiri,714.37,855.92,1432.2,438.19,610.2,3388.44
porto,499.92,720.66,1074.38,346.72,358.47,778.93
porto alegre do piaui,479.45,691.92,220,375.37,218.1,480.9
prata do piaui,551.32,827.14,1020,378.34,494.38,100
queimada nova,451.83,667.86,689.73,365.76,260.19,1000
redencao do gurgueia,551.94,677.29,917.37,349.36,656.91,3044
regeneracao,641.65,733.69,1152.85,413.64,416.62,11592.5
riacho frio,526.45,652.57,819.78,433.19,510.6,150
ribeira do piaui,393.84,717.5,996.31,266.76,316.2,100
ribeiro goncalves,716.63,925.51,1012.67,571.52,632.76,2139.03
rio grande do piaui,481.15,742.06,929.12,361.01,370.99,4891.76
santa cruz do piaui,549.06,901.98,1046.62,415.64,491.2,1500
santa cruz dos milagres,461.7,572.89,668.83,394.94,328.42,-
santa filomena,512.42,733.14,1613.33,485.47,393.97,-
santa luz,433.65,667.12,1039.88,275.22,285.29,2616.59
santa rosa do piaui,558.12,748.25,933.78,297.62,471.15,1277.9
santana do piaui,367.79,673.44,850.2,268.07,296.93,382.78
