city,total,suitable,semi_suitable,inappropriate
abadia de goias,1398,0,1258,140
abadiania,3214,42,2972,200
acreuna,5183,241,4802,140
adelandia,737,6,697,33
agua fria de goias,1136,0,1053,83
agua limpa,685,4,654,27
aguas lindas de goias,26349,18,18614,7718
alexania,5520,40,5121,359
aloandia,737,58,669,10
alto horizonte,763,0,732,31
alto paraiso de goias,1497,130,1304,63
alvorada do norte,1913,49,1786,78
amaralina,660,32,567,60
americano do brasil,1526,20,1450,56
amorinopolis,1302,31,1219,52
anapolis,80375,32997,46333,1045
anhanguera,277,22,255,0
anicuns,5581,2698,2770,113
aparecida de goiania,90910,12112,76630,2168
aparecida do rio doce,703,40,651,11
apore,1027,5,965,57
aracu,1252,42,1154,55
aragarcas,4746,114,4564,68
aragoiania,1889,58,1665,166
araguapaz,2055,11,1851,193
arenopolis,1236,82,1131,23
aruana,1384,43,1222,119
aurilandia,1317,8,1265,44
avelinopolis,752,298,428,26
baliza,698,0,615,82
barro alto,1722,5,1618,99
bela vista de goias,5741,655,4751,334
bom jardim de goias,2421,4,2275,142
bom jesus de goias,4783,272,4389,122
bonfinopolis,1492,20,1450,22
bonopolis,680,0,600,79
brazabrantes,812,61,705,45
britania,1484,323,1130,31
buriti alegre,2892,614,2240,38
buriti de goias,825,85,714,26
buritinopolis,780,0,732,48
cabeceiras,1810,0,1704,106
cachoeira alta,2674,1238,1320,116
cachoeira de goias,464,157,287,19
cachoeira dourada,2498,631,1846,21
cacu,3160,1362,1690,108
caiaponia,4273,1625,2487,161
caldas novas,14519,4539,9771,209
caldazinha,815,0,749,66
campestre de goias,779,15,720,44
campinacu,1041,36,866,139
campinorte,2764,7,2590,167
campo alegre de goias,1335,9,1274,52
campos belos,4254,120,3919,215
campos verdes,2228,8,2032,188
carmo do rio verde,2411,37,2284,90
castelandia,1089,372,696,21
catalao,18754,7839,10636,279
caturai,1229,10,1179,40
cavalcante,2214,55,1778,381
ceres,6312,775,5366,171
cezarina,1834,612,1160,62
chapadao do ceu,1026,230,736,61
cidade ocidental,10301,4133,5553,615
cocalzinho de goias,3803,34,3373,396
colinas do sul,999,0,908,91
corrego do ouro,941,9,885,47
corumba de goias,2582,153,2220,209
corumbaiba,2021,65,1900,55
cristalina,8749,384,7677,688
cristianopolis,890,31,847,13
crixas,4164,146,3791,228
crominia,1140,101,1000,38
cumari,992,427,525,40
damianopolis,852,0,794,57
damolandia,782,25,743,14
davinopolis,665,0,637,28
diorama,788,0,762,26
divinopolis de goias,1280,34,1089,157
doverlandia,2395,23,2206,166
edealina,1195,18,1106,72
edeia,3084,89,2878,117
estrela do norte,987,10,941,37
faina,2083,0,1891,191
fazenda nova,2257,44,2059,153
firminopolis,3065,26,2938,101
flores de goias,1433,13,1159,261
formosa,19791,606,18483,702
formoso,1615,7,1589,19
goianapolis,2812,4,2739,69
goiandira,1536,68,1439,29
goianesia,13693,3648,9852,193
goiania,313633,197179,115905,550
goianira,5273,303,4849,121
goias,7855,1457,5935,463
goiatuba,9395,1216,8011,167
gouvelandia,1242,41,1141,61
guapo,3756,125,3392,239
guaraita,846,37,759,50
guarani de goias,1087,0,969,118
guarinos,798,6,717,75
heitorai,928,69,813,47
hidrolandia,3697,206,3107,383
hidrolina,1329,9,1243,77
iaciara,2656,5,2420,231
