city,total,married,separated,divorced,widow,single
nazario,5481,2525,137,111,265,2442
neropolis,14966,5946,394,202,707,7717
niquelandia,30871,12908,331,222,1228,16183
nova america,1811,792,39,8,142,830
nova aurora,1669,713,43,17,93,802
nova crixas,8815,3028,56,123,261,5347
nova gloria,7405,3599,136,74,445,3151
nova iguacu de goias,2239,1026,39,35,121,1017
nova roma,2979,824,8,5,70,2073
nova veneza,5320,2363,114,59,327,2457
novo brasil,3517,1430,78,75,289,1645
novo gama,55122,17487,729,858,1542,34506
novo planalto,2751,1100,17,13,105,1516
orizona,10691,4981,120,89,451,5049
ouro verde de goias,3542,1593,58,72,176,1643
ouvidor,3608,1763,113,30,203,1499
padre bernardo,16401,4891,214,257,585,10453
palestina de goias,2698,1183,41,51,74,1349
palmeiras de goias,14778,6418,259,346,647,7108
palmelo,1910,722,91,10,123,964
palminopolis,2931,1672,43,32,136,1048
panama,2282,985,62,40,119,1076
paranaiguara,6831,2329,161,187,389,3763
parauna,8794,3676,133,132,332,4521
perolandia,2170,837,51,5,50,1228
petrolina de goias,8642,3886,157,73,474,4052
pilar de goias,2735,1348,53,15,47,1272
piracanjuba,19657,8290,566,299,1059,9443
piranhas,10120,3832,241,117,453,5476
pirenopolis,17138,7257,332,236,815,8498
pires do rio,21873,9291,477,556,1258,10291
planaltina,54321,14952,1186,502,1410,36270
pontalina,13711,5065,443,249,823,7132
porangatu,31943,12427,526,320,1407,17264
porteirao,2225,844,56,16,71,1239
portelandia,2921,1298,96,42,69,1417
posse,19913,5525,242,199,563,13385
professor jamil,2781,906,54,53,168,1600
quirinopolis,30350,12322,1236,586,1388,14818
rialma,8327,3864,154,142,462,3706
rianapolis,3563,1345,102,82,167,1867
rio quente,1702,717,33,25,31,897
rio verde,94781,36728,2523,1844,3450,50236
rubiataba,14844,6725,303,205,790,6821
sanclerlandia,6222,3003,139,124,298,2658
santa barbara de goias,3992,1444,57,35,238,2218
santa cruz de goias,2875,1263,42,11,99,1460
santa fe de goias,3260,1423,24,15,117,1681
santa helena de goias,28299,10493,631,380,1345,15451
santa isabel,2975,1672,59,11,142,1091
santa rita do araguaia,4085,1345,150,48,170,2371
santa rita do novo destino,2416,1146,16,22,106,1126
santa rosa de goias,2979,1540,52,26,162,1199
santa tereza de goias,3859,1570,58,121,274,1835
santa terezinha de goias,9742,4012,164,92,520,4955
santo antonio da barra,3238,1165,75,50,127,1821
santo antonio de goias,2483,1225,90,29,96,1044
santo antonio do descoberto,38444,11188,427,537,935,25357
sao domingos,7626,1682,56,19,222,5646
sao francisco de goias,4962,2484,158,38,233,2048
sao joao da parauna,1686,684,22,21,101,857
sao joao d'alianca,5158,1390,41,44,172,3512
sao luis de montes belos,21829,9540,419,414,1163,10293
sao luiz do norte,3333,1375,36,24,182,1716
sao miguel do araguaia,18420,8090,445,214,676,8994
sao miguel do passa quatro,2862,1447,29,27,34,1326
sao patricio,1523,820,17,4,60,623
sao simao,11059,4123,301,268,532,5835
