city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
santa maria do oeste,32.85,18.75,71.78,47.69,25.79,10.1
santa mariana,23.17,14.32,17.52,7.28,5.06,1.29
santa tereza do oeste,16.37,6.4,19.72,9.76,3.27,0.43
santo antonio do sudoeste,23.86,12.55,27.97,4.75,8.7,1.11
sao jeronimo da serra,36.86,20.36,46.29,35.28,20.29,6.96
sao joao,17,6.27,43.69,21.67,8.32,1.44
sao joao do ivai,31.88,17.25,8.94,15.3,3.64,3.37
sao joao do triunfo,15.64,8.26,49.4,35.4,9.82,2.88
sao pedro do ivai,21.28,10.84,12.49,8.79,2.6,1.14
senges,19.66,7.97,19.94,9.32,5.59,1.4
sertanopolis,12.96,5.72,14.06,9.68,2.27,1.23
siqueira campos,10.99,4.79,19.74,6.65,2.47,0.36
tamarana,34.82,22.35,35.15,37.93,10.64,13.3
tapejara,15.03,10.11,15.03,3.86,2.04,0.49
teixeira soares,15.03,5.31,33.91,26.75,6.87,1.49
terra boa,14.86,8.33,13.5,7.0,2.1,0.44
terra rica,17.61,9.33,16.03,7.03,2.56,1.22
terra roxa,15.09,6.72,24.92,8.32,3.96,1.12
tibagi,24.81,13.52,32.59,15.43,9.87,2.2
tijucas do sul,16.57,7.99,39.59,7.91,9.02,0.88
tres barras do parana,24.54,14.3,44.48,34.56,12.23,3.88
turvo,23.76,11.33,56.29,38.8,17.61,7.15
urai,22.24,8.64,20.12,12.58,5.56,1.52
wenceslau braz,18.98,9.19,23.28,13.25,4.21,1.13
de 20.001 a 50.000 ,15.44,8.26,18.36,10.06,4.32,1.42
altonia,15.6,6.93,28.19,12.93,4.18,1.0
andira,15.77,8.58,6.86,2.5,1.43,0.06
arapoti,14.21,7.17,18.46,7.49,3.88,0.65
assis chateaubriand,13.67,6.84,17.6,8.97,1.66,0.43
astorga,13.95,6.73,11.02,7.11,1.67,0.49
bandeirantes,15.96,8.91,15.68,8.27,3.04,1.03
cambara,16.92,8.73,8.92,3.27,1.36,0.21
campina grande do sul,9.42,5.1,10.31,1.54,2.37,0.21
campo magro,12.19,5.81,4.8,1.48,1.05,0.52
colorado,12.11,6.0,6.44,3.24,0.77,0.27
cornelio procopio,13.43,6.12,9.19,3.61,2.56,0.55
coronel vivida,16.64,8.03,34.19,14.47,7.05,1.77
cruzeiro do oeste,17.64,9.73,18.71,9.27,2.4,0.93
dois vizinhos,12.13,5.89,24.68,14.07,4.64,1.18
goioere,17.38,8.55,11.6,5.64,2.69,0.65
guaira,17.31,12.07,12.08,4.06,2.78,0.61
guaratuba,12.34,7.26,4.43,0.64,1.93,0.34
ibaiti,21.77,9.45,22.21,11.66,6.2,1.82
ibipora,12.77,4.96,3.84,0.13,0.81,0.0
imbituva,10.72,5.88,21.92,8.63,2.84,0.42
itaperucu,18.27,11.06,11.82,12.31,4.61,2.8
ivaipora,19.05,8.94,17.9,8.35,4.41,0.71
jacarezinho,17.62,10.54,9.77,3.27,3.09,0.62
jaguariaiva,14.24,6.86,11.21,8.04,2.09,1.06
jandaia do sul,11.33,5.52,13.65,7.86,1.83,1.2
lapa,11.35,5.06,23.91,16.17,4.41,1.47
laranjeiras do sul,19.76,10.32,20.92,13.66,5.89,1.71
loanda,14.72,7.57,9.95,4.87,1.58,0.35
mandaguari,11.98,5.34,8.87,4.73,1.65,0.78
mandirituba,12.49,6.31,24.99,9.56,5.36,1.15
marechal candido rondon,6.86,4.83,14.05,1.75,0.8,0.06
marialva,8.03,4.67,15.44,16.45,2.02,0.95
matinhos,8.17,4.02,1.28,0.2,0.2,0.0
medianeira,10.43,6.03,7.92,4.29,1.06,0.68
nova esperanca,13.54,6.88,15.92,8.46,2.45,0.46
ortigueira,37.52,18.06,55.68,30.22,23.86,6.72
paicandu,11.47,6.51,1.94,0.98,0.17,0.1
palmas,25.6,15.91,13.81,3.36,5.84,0.91
palmeira,11.15,4.2,21.78,12.24,2.95,0.65
palotina,11.88,6.46,16.09,4.46,1.82,0.27
pinhao,26.07,17.25,40.35,32.95,13.42,8.21
pirai do sul,13.38,6.12,30.99,20.09,5.5,1.77
pitanga,21.5,11.06,46.24,30.25,12.41,4.35
pontal do parana,9.98,6.16,0.75,0.61,0.4,0.17
prudentopolis,15.28,8.57,45.54,27.91,8.56,3.55
quedas do iguacu,18.99,14.91,17.1,31.04,4.43,6.91
reserva,34.32,17.13,41.42,21.08,17.99,4.81
rio branco do sul,22.34,10.58,19.29,12.31,7.53,3.02
rio negro,7.89,3.53,10.22,4.04,1.69,0.36
santa helena,14.26,9.01,5.01,0.81,0.54,0.23
santa terezinha de itaipu,14.51,8.07,8.86,4.03,1.37,0.46
santo antonio da platina,20.2,10.37,14.16,6.77,3.6,0.9
sao mateus do sul,7.81,3.07,37.24,21.19,3.52,0.76
sao miguel do iguacu,17.73,11.63,12.89,13.07,2.77,2.19
ubirata,16.44,8.78,19.1,9.67,3.18,0.89
de 50.001 a 100.000 ,10.75,5.21,6.84,3.87,1.33,0.34
cambe,9.29,4.03,4.06,2.2,0.55,0.22
campo mourao,13.43,6.18,5.4,2.33,1.11,0.21
castro,17.23,7.52,24.54,16.84,7.02,1.84
cianorte,9.58,3.83,12.44,5.92,1.84,0.4
fazenda rio grande,9.42,3.37,2.3,0.26,0.49,0.0
francisco beltrao,11.12,4.51,13.31,5.17,2.38,0.54
irati,8.82,4.47,18.53,12.95,2.25,0.9
paranavai,10.18,6.12,6.14,2.89,0.62,0.24
pato branco,9.72,4.95,6.35,2.0,1.27,0.12
piraquara,11.19,4.96,2.8,0.18,0.98,0.02
rolandia,11.57,4.62,10.7,4.47,1.84,0.39
sarandi,10.03,5.79,1.22,0.77,0.1,0.04
telemaco borba,13.62,7.01,0.83,0.15,0.34,0.04
uniao da vitoria,9.38,5.63,4.5,3.88,1.13,0.22
de 100.001 a 500.000 ,9.41,4.5,3.16,1.7,0.72,0.2
almirante tamandare,14.41,6.63,2.24,0.66,0.92,0.2
apucarana,11.42,4.94,6.26,2.82,1.58,0.36
arapongas,8.79,3.87,5.01,1.86,1.03,0.29
araucaria,6.96,2.86,1.7,0.29,0.24,0.03
campo largo,9.7,3.78,8.58,4.75,2.05,0.63
cascavel,10.06,4.77,6.04,3.71,1.1,0.24
colombo,9.48,4.29,1.06,0.27,0.39,0.05
foz do iguacu,12.53,7.31,1.55,0.49,0.54,0.1
guarapuava,14.56,8.21,8.91,5.96,2.36,0.94
maringa,5.18,2.44,1.27,0.71,0.14,0.05
paranagua,8.14,5.14,1.34,0.91,0.31,0.24
pinhais,6.19,2.41,0.15,0.0,0.02,0.0
ponta grossa,8.25,3.99,2.37,0.78,0.58,0.07
sao jose dos pinhais,7.51,2.98,2.46,0.77,0.35,0.1
toledo,9.53,3.91,10.66,3.97,0.74,0.14
umuarama,10.11,4.3,6.84,3.39,1.09,0.16
mais de 500.000 ,5.18,2.68,0.25,0.39,0.05,0.06
curitiba,5.18,2.31,0.25,0.02,0.05,0.0
londrina,9.57,3.9,3.92,1.63,0.88,0.23
