city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
adrianopolis,25.01,22.29,35.27,50.61,39.72,27.1
agudos do sul,17.33,12.27,52,64.13,30.67,23.6
amapora,5.52,19.66,86.32,64.88,8.16,15.46
antonio olinto,4.21,6.15,28.17,43.95,67.61,49.9
barracao,45.47,41.13,27.16,46.23,27.36,12.64
boa ventura de sao roque,0.18,0.94,23.62,36.67,76.2,62.39
boa vista da aparecida,5.76,12.49,55.06,59.19,39.18,28.32
bom sucesso,16.22,19.23,64.77,72.49,19.01,8.28
borrazopolis,1.67,10.88,67.99,70.66,30.33,18.46
braganey,5.32,4.18,57.66,71.99,37.02,23.83
california,13.92,1.56,64.06,82.53,22.02,15.91
cambira,12.92,5.63,57.88,82.64,29.21,11.73
campo do tenente,45.32,50.39,42.29,44.57,12.39,5.03
congonhinhas,0.53,6.76,71.74,64.04,27.73,29.19
coronel domingos soares,0.18,21.17,33.5,24.14,66.32,54.7
diamante do norte,1.61,14.61,76.41,73.1,21.98,12.29
diamante d'oeste,0.16,5.7,70.32,74.66,29.52,19.65
douradina,1.46,48.74,78.1,42.46,20.45,8.79
doutor camargo,28.76,47.1,55.94,49.38,15.3,3.52
doutor ulysses,1.46,18.4,42.49,51.39,56.06,30.21
eneas marques,16.07,2.63,15.12,78.41,68.81,18.96
fernandes pinheiro,13.46,7.29,41.82,70.76,44.73,21.94
figueira,16.97,27.21,71.68,65.64,11.35,7.16
florai,18.12,19.21,70.61,72.63,11.27,8.16
floresta,0.47,17.23,87.53,79.42,11.99,3.35
formosa do oeste,1.18,4.65,64.12,66.5,34.71,28.85
foz do jordao,2.33,1.2,72.67,86.54,25,12.26
francisco alves,1.11,0.86,67.27,80.79,31.62,18.35
goioxim,0.22,2.33,22.05,37.02,77.74,60.65
grandes rios,0.24,26.69,59.92,45.62,39.84,27.7
guairaca,0.7,3.39,72.72,82.76,26.58,13.85
guamiranga,6.78,0.47,27.41,71.43,65.81,28.1
guaraci,1.7,2.28,82.08,85.21,16.23,12.51
guaraquecaba,15.79,27.61,69.26,52.17,14.95,20.22
honorio serpa,3.52,2.45,29.14,52.99,67.34,44.56
ibema,1.53,1.4,81.48,85.13,16.99,13.47
icaraima,1.05,2.64,80.53,76.52,18.42,20.84
itaipulandia,0.8,42.28,94.09,57.51,5.11,0.21
itambaraca,13.82,24.23,66.15,65.07,20.03,10.71
itambe,52.98,71.85,37.98,26.73,9.04,1.42
ivate,1.11,1.06,72.31,85.56,26.58,13.37
janiopolis,0.22,1.2,71.14,80.11,28.65,18.69
japura,6.33,5.57,78.89,88.19,14.78,6.23
jesuitas,12.21,18.95,51.47,54.85,36.32,26.2
juranda,0.72,4.69,75.61,79.35,23.67,15.96
jussara,14.73,58.35,76.03,41.17,9.24,0.47
laranjal,2.47,1.58,26.85,42.79,70.68,55.63
lindoeste,2.6,2.28,44.35,52.26,53.05,45.46
luiziana,2.8,1.9,59.26,75.27,37.95,22.84
lunardelli,0.31,2.24,63.04,71.82,36.65,25.93
maria helena,0.67,14.73,64.53,58.71,34.8,26.56
marilandia do sul,0.12,1.72,67.46,74.85,32.42,23.43
marilena,0.44,11.4,69.3,71.45,30.26,17.15
mariopolis,20.38,16.2,54.7,72.94,24.92,10.86
maripa,8.94,23.03,58.85,67.67,32.2,9.3
maua da serra,21.93,2.8,64.61,90.37,13.46,6.83
