city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
sao carlos do ivai,16.16,10.77,3.06,0.68,14.78,7.51,46.31,38.58
sao joao do caiua,20.34,13.19,4.65,1.69,19.9,10.57,50.79,37.23
sao jorge do ivai,12.84,9.1,2.21,0.99,11.39,5.91,33.96,25.8
sao jorge do patrocinio,18.3,14.47,3.3,1.64,15.74,9.87,52.03,40.57
sao jorge d'oeste,12.2,7.27,2.72,1.2,9.94,5.15,36.18,22.16
sao jose da boa vista,19.37,11.44,3.92,0.89,17.02,8.26,51.16,32.77
sao pedro do iguacu,18.32,11.64,4.59,1.74,17.29,9.47,51.56,29.39
sao sebastiao da amoreira,20.5,14.46,4.92,1.41,20.3,12.71,50.18,38.06
sao tome,14.57,9.12,1.42,0.61,13.47,5.99,43.57,34.74
sapopema,23.73,16.97,7.76,2.57,23,16.01,56.2,40.9
saudade do iguacu,13.64,8.26,3.38,1.38,13.46,6.72,41.67,25.75
sertaneja,13.62,9.52,1.43,1.03,11.31,6.0,40.86,27.66
tapira,19.04,13.9,2.11,1.53,15.24,8.98,49.19,38.32
tomazina,17.3,13.23,2.32,1.43,15.85,10.24,44.15,35.03
tunas do parana,28.09,18.25,6.93,3.52,30.34,18.59,66.04,58.88
tuneiras do oeste,17.73,9.49,3.67,1.49,15.65,6.6,50.54,30.63
tupassi,12.37,6.82,2,0.68,10.12,4.3,39.69,20.29
ventania,20.62,14.97,5.07,1.73,21.62,13.47,54.03,47.11
vera cruz do oeste,16.54,11.11,2.97,1.14,14.82,7.67,45.85,32.93
vere,13.91,10.77,2.56,1.7,13.03,7.65,39.2,31.66
vitorino,12.48,5.7,2.4,0.56,10.61,4.12,36.31,17.42
xambre,19.02,12.86,2.29,1.49,15.59,8.17,48.18,34.89
de 10.001 a 20.000 ,14.4,10.03,3.16,1.34,13.49,7.96,40.48,29.96
alto parana,15.18,10.38,2.65,0.98,13.26,7.51,44.51,34.19
alto piquiri,19.29,13.86,4.87,1.17,18.13,10.98,48.3,38.65
alvorada do sul,14.63,10.21,2.25,1.18,12.76,7.64,42.03,30.29
ampere,10.63,7.52,2.26,1.13,9.78,5.51,32.67,25.85
antonina,11.44,8.67,3.36,1.74,10.25,7.0,28.73,21.88
araruna,13.77,9.84,1.85,0.86,12.78,7.15,40.36,32.17
assai,14.81,10.0,2.71,1.14,13.7,7.48,39.53,27.27
balsa nova,7.3,4.55,1.62,1.13,6.4,3.31,25.43,16.88
barbosa ferraz,22.87,15.79,3.87,1.3,21.62,12.47,54.92,39.69
bela vista do paraiso,16.9,11.92,3.38,1.37,14.7,9.18,44.24,30.82
bituruna,11.22,8.07,3.03,0.68,11.62,7.51,33.3,25.28
bocaiuva do sul,13.44,9.05,4.05,1.26,12.17,7.31,37.99,29.04
cafelandia,8.01,4.43,1.49,0.37,7.79,3.24,31.23,20.51
campina da lagoa,18.29,13.03,4.14,1.31,16.66,9.95,51.75,36.83
candido de abreu,22.5,16.16,6.66,2.06,23.74,14.37,52.42,42.05
candoi,14.17,9.31,4.25,0.89,14.82,7.92,42.77,33.89
cantagalo,14.77,8.79,5.07,2.39,14.63,8.0,40,23.33
capanema,10.01,7.32,2.65,0.93,9.18,5.79,25.8,19.55
capitao leonidas marques,11.49,9.59,2.37,1.13,10.89,7.74,35.42,27.89
carambei,7.58,4.99,1.65,0.59,7.07,3.77,31.94,23.84
carlopolis,14.69,8.06,1.99,1.2,13.76,6.55,40.08,21.67
catanduvas,19.05,13.6,4.65,1.23,20.72,13.19,46.67,35.55
centenario do sul,17.91,13.56,3.66,1.8,16.17,10.93,46.56,36.54
cerro azul,24.48,17.73,9,2.43,25.52,16.09,55.13,48.07
ceu azul,9.87,6.21,1.6,0.82,8.26,4.53,31.63,18.94
chopinzinho,11.33,8.02,2.25,1.14,10.27,6.0,36.99,25.68
cidade gaucha,15.05,11.33,2.03,1.54,13.59,8.38,47.12,39.23
clevelandia,12.95,11.38,3.02,1.86,12.89,9.66,32.53,30.28
contenda,7.5,5.06,1.68,0.99,6.43,3.87,26.65,16.76
corbelia,10.6,7.66,1.71,0.88,9.88,6.14,30.78,23.45
cruz machado,8.31,5.88,2.25,0.71,7.88,4.94,23.81,18.16
curiuva,20.98,13.6,4.5,1.02,20.11,11.72,55.44,38.91
engenheiro beltrao,13.99,9.69,2.08,1.07,12.57,7.29,41.59,29.5
faxinal,18.77,13.39,4.33,1.05,17.26,11.19,48.26,36.37
florestopolis,17.48,12.94,3.54,1.68,16.89,9.97,51.36,42.78
general carneiro,13.08,9.87,4.97,2.26,13.97,9.33,32.67,28.0
guaraniacu,15.55,10.74,4.3,1.18,15.78,8.93,38.67,28.64
imbau,23.25,16.35,4.38,1.6,23.96,13.54,57.03,51.58
inacio martins,13.3,10.89,3.6,2.04,12.91,9.77,41.18,34.16
ipiranga,10.5,7.62,2.75,1.61,10.13,6.3,31.77,25.58
ipora,16.71,12.11,2.57,1.18,13.68,8.73,45.18,32.85
iretama,22.16,16.79,4.05,1.97,22.59,14.17,53.19,41.66
itapejara d'oeste,10.85,7.32,1.97,0.9,8.27,5.15,35.41,22.86
ivai,12.25,8.29,3.19,0.77,12.19,7.49,31.99,23.63
jaguapita,15.66,10.81,2.75,1.23,13.51,8.19,45.41,33.33
jardim alegre,20.35,15.12,3.86,1.31,20.1,11.93,49.79,39.0
jataizinho,15.75,10.24,3.49,1.36,15.21,7.76,44.14,32.95
joaquim tavora,14.13,8.16,2.01,0.64,11.42,4.77,40.84,28.61
mallet,5.61,3.27,1.56,0.7,4.24,2.27,17.51,10.56
mambore,13.75,10.98,2.85,1.3,12.78,8.33,41.53,34.53
mandaguacu,12.1,8.83,2.43,1.11,10.1,6.31,40.46,30.31
mangueirinha,13.94,9.45,4.14,1.77,14.94,8.51,39.17,28.43
