city,quantity
sao joao do triunfo,3332
sao jorge do ivai,1481
sao jorge do patrocinio,1832
sao jorge d'oeste,2991
sao jose da boa vista,1860
sao jose das palmeiras,1439
sao jose dos pinhais,58679
sao manoel do parana,690
sao mateus do sul,9976
sao miguel do iguacu,7963
sao pedro do iguacu,2267
sao pedro do ivai,2632
sao pedro do parana,789
sao sebastiao da amoreira,2449
sao tome,1536
sapopema,1677
sarandi,19880
saudade do iguacu,1349
senges,4530
serranopolis do iguacu,1280
sertaneja,1814
sertanopolis,4245
siqueira campos,3963
sulina,1134
tamarana,2414
tamboara,1004
tapejara,3469
tapira,1658
teixeira soares,2444
telemaco borba,18009
terra boa,3931
terra rica,3791
terra roxa,4361
tibagi,4402
tijucas do sul,3038
toledo,33277
tomazina,2583
tres barras do parana,3366
tunas do parana,905
tuneiras do oeste,2264
tupassi,2561
turvo,3857
ubirata,6662
umuarama,27563
uniao da vitoria,14659
uniflor,696
urai,3256
ventania,2029
vera cruz do oeste,2866
vere,2613
vila alta,1169
virmond,1056
vitorino,1761
wenceslau braz,4957
xambre,1698
