city,total,regular,military_and_gov,irregular,entrepreneur,employers
abaiara,419.47,618.76,1517.37,287.34,495.99,200
acarape,539.58,605.83,876.46,380.01,511.6,4085.06
acarau,557.84,778.36,1026.72,368.81,399.78,7812.41
acopiara,529.12,674.29,1145.61,321.87,538.03,4139.62
aiuaba,371.48,586.77,869.83,293.26,346.53,552.86
alcantaras,480.75,607.34,701.43,287.57,400.72,-
altaneira,469.43,631.74,712.85,442.99,311.69,1638.04
alto santo,483.02,657.65,567.55,355.99,578.21,100
amontada,413.79,839.99,821,322.44,273.55,1575.99
antonina do norte,454.23,507.67,630.94,345.6,544.41,2361.93
apuiares,399.59,636.98,1007.46,295.81,278.67,1282.29
aquiraz,674.3,694.24,988.02,459.72,905.68,2234.34
aracati,668.76,781.93,1615.92,418.87,605.01,2408.13
aracoiaba,482.3,660.78,1216.91,371.85,365.99,1329.58
ararenda,405.46,578.94,824.7,322.82,261.41,2000.21
araripe,384.68,800.17,563.57,240.57,255.81,1611.68
aratuba,370.23,483.49,614.28,308.97,323.13,1331.06
arneiroz,461.39,673.03,962.22,360.65,461.1,1402.75
assare,568.76,979.51,835.3,336.61,477.43,3544.52
aurora,469.23,728.87,1259.25,351.24,316.05,4119.9
baixio,395.9,574.67,1151.38,296.95,331.68,780.64
banabuiu,505.01,860.48,931.15,385.35,348.78,2366.83
barbalha,638.83,775.52,1804.56,473.48,435.71,2155.37
barreira,520.84,671.71,911.14,341.06,502.91,3556.46
barro,486,646.14,1104.43,319.81,503.89,2429.09
barroquinha,429.64,710.05,777.56,331.7,366.03,518.99
baturite,547.9,725.06,1361.28,400.9,478.9,1591.06
beberibe,529.11,638.76,1066.62,379.9,460.31,2493.34
bela cruz,378.9,638.48,779.74,315.06,245.99,5362.31
boa viagem,558.81,685.75,1004.79,322.36,528.69,3002.56
brejo santo,605.61,769.87,1962.14,411.98,566.36,2397.7
camocim,574.03,838.25,1055.22,355.25,460.49,3003.88
campos sales,572.26,903.87,1186.39,392.34,434.51,1751.5
caninde,600.5,790.44,1217.42,402.7,550.25,2086.06
capistrano,472.19,705.09,725.12,342.92,475.71,510
caridade,486.44,683.98,721.51,344.06,446.45,1657.57
carire,410.39,568.64,944.36,328.2,318.39,1308.37
caririacu,485.38,946,669.91,290.15,345.67,469.77
carius,452.97,667.64,818.98,374.52,396.59,500
carnaubal,402.57,682.44,1219.31,290.77,341.58,1368.76
cascavel,585.03,692.4,1094.58,397.2,591.77,1777.81
catarina,554.51,805.96,924.38,466.84,423.27,3291.37
catunda,413.99,561.51,592.16,301.44,446.52,1125
caucaia,738.66,772.37,1604.02,512.39,795.92,2970.58
cedro,651.35,987.14,1362.17,417.06,461.26,4466.91
chaval,435.3,577.2,727.73,309.85,438.73,-
choro,509.74,626.52,710.87,484.95,381.05,-
chorozinho,554.01,594.79,944.33,411.95,541.33,3941.09
coreau,435.44,617.9,914.31,364.6,314.46,955.13
crateus,742.23,1009.87,1814.85,450.35,752.21,2510.37
crato,826.23,843.88,1963.34,486.97,782.17,2738.39
croata,395.93,626.57,1500,316.53,380.73,252.65
cruz,515.72,925.89,732.5,335.74,449.89,3828.41
deputado irapuan pinheiro,403.77,563.77,652.21,347.38,278.82,852.1
erere,444.69,636.71,689.17,315.18,327.42,-
eusebio,1077.35,975.92,2130.81,529.38,1667.85,5612.32
farias brito,436.22,591.16,827.01,270.63,345.05,5118.26
forquilha,549.79,651.01,875.01,334.41,528,1728.29
fortaleza,1296.95,1170.88,3838.74,651.65,1289.03,6298.18
fortim,519.46,879.31,815.29,422.84,443.04,1464.53
frecheirinha,465.02,660.56,740.1,372.75,374.83,1995.07
general sampaio,435.13,700.16,918.15,406.68,345.63,-
graca,471.2,624.65,752.52,406.51,367.56,1736.16
granja,471.64,737.46,786.04,334.05,467.28,1102.31
granjeiro,401.63,627.37,535.21,273.35,356.95,2552.49
groairas,472.9,727.94,716.47,372.35,335.49,1533.5
guaiuba,513.92,677.98,709.77,401.07,437.52,911.17
guaraciaba do norte,441.84,581.46,1208.06,303.35,452.3,1832.78
guaramiranga,594.22,597.05,881.42,413.96,1321.04,2798.38
hidrolandia,429.4,676.53,723,267.35,427.81,1015.96
horizonte,629.87,612.22,1245,472.79,670.86,2219
ibaretama,429.37,636.22,558.59,326.07,457.42,1396.13
ibiapina,418.22,700.81,688.13,324.94,426.62,689.76
ibicuitinga,448.27,647.95,613.14,453.92,300.43,378.85
icapui,529.89,720.36,1177.38,432.44,401.13,3446.2
ico,564.56,793.38,1149.81,376.75,477.31,985.67
iguatu,743.04,789.18,1774.01,474.73,745.13,2699.96
independencia,546.84,816.72,986.39,361.68,581.82,1578.29
ipaporanga,356.01,539.38,771.44,266.93,284.41,800
ipaumirim,591.54,709.67,1078.71,331.83,510.31,6528.11
ipu,536.53,825.44,1067.87,343.22,551.17,2254.64
ipueiras,439.02,737.59,607.78,306.73,387.46,1239.1
iracema,559.6,771.32,1325.62,341.47,485.08,2839.37
iraucuba,606.95,602.93,1202.91,431.77,812.45,1000
itaicaba,430.37,597.83,1020.28,386.92,261.81,1211.08
itaitinga,610.29,665.13,1003.66,474.2,606.45,1196.57
itapage,500.72,608.07,1226.35,328.25,524,2329.3
itapipoca,577.34,717.37,1136.5,394.31,445.57,3698.17
itapiuna,424.83,715.87,1278.38,384.01,318.39,931.46
itarema,413.33,636,718.77,318.53,366.99,1439.55
itatira,470.56,691.65,830.7,374.94,369.98,1638.19
jaguaretama,559.38,851.21,1008.31,344.39,540.88,768.05
jaguaribara,518.06,757.9,925.92,393.07,483.77,1241.67
jaguaribe,478.07,740.2,1488.44,377.65,341.06,1681.13
jaguaruana,427.13,602.84,1023.13,301.3,441.62,918.61
jardim,465.73,623.92,978.96,334.48,401.17,600
jati,426.12,691.69,626.5,325.66,357.1,1206.01
jijoca de jericoacoara,696.46,699.24,895.18,457.19,861.7,2367.86
juazeiro do norte,804.33,802.9,1747.39,490.28,791.4,3671.53
jucas,483.44,692.87,799.44,370.67,479.79,965.33
lavras da mangabeira,590.79,850.32,2094.55,325.09,617.19,1030.83
limoeiro do norte,734.13,803.78,1892.12,478.3,739.13,2990.93
madalena,577.46,675.38,943.38,386.73,557.73,1847.16
maracanau,702.81,717.68,1391.6,502.37,766.78,2524.83
maranguape,603.74,657.42,1198.38,438.2,542.91,2452.69
marco,534.15,713.74,865.29,334.55,692.08,1412.02
martinopole,484.61,626.92,461.13,367.27,590.21,1146.18
massape,452.84,558.71,862.6,347.91,328.47,2037.94
mauriti,429.34,660.17,888.66,307.8,310.62,1949.77
meruoca,468.97,619.02,1264.91,368.92,385.3,3272.21
milagres,465.37,729.59,885.15,295.75,387.75,-
milha,528.55,890.76,758.98,422.52,432.78,1676.1
miraima,467.53,564.72,496.03,486.38,401.44,-
missao velha,472.01,733,1093.03,356.17,332.97,3188.38
mombaca,502.67,756.85,744.52,332.31,447.08,4037.03
