city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
abreulandia,424,2,18,42,154,208
aguiarnopolis,454,0,22,205,67,159
alianca do tocantins,1511,11,187,258,312,743
almas,1514,32,219,363,248,652
alvorada,2443,18,446,557,333,1090
ananas,2788,21,432,351,204,1781
angico,538,0,21,81,148,288
aparecida do rio negro,786,23,162,156,118,329
aragominas,941,16,93,164,225,442
araguacema,896,0,112,175,159,451
araguacu,2509,15,377,532,252,1333
araguaina,29695,386,3888,11863,3067,10491
araguana,617,7,15,180,29,387
araguatins,4243,46,650,966,698,1884
arapoema,1600,11,143,309,164,973
arraias,2432,21,319,248,545,1299
augustinopolis,1881,36,248,325,548,724
aurora do tocantins,609,0,92,63,150,303
axixa do tocantins,1466,6,164,180,398,718
babaculandia,1589,4,194,400,127,865
bandeirantes do tocantins,559,0,29,181,105,245
barra do ouro,331,0,41,28,99,164
barrolandia,1301,5,167,223,124,782
bernardo sayao,861,0,65,160,165,470
bom jesus do tocantins,394,0,34,46,57,258
brasilandia do tocantins,565,0,36,76,96,358
brejinho de nazare,891,19,130,225,81,436
buriti do tocantins,1337,15,193,165,266,697
cachoeirinha,284,0,26,3,117,137
campos lindos,349,0,15,64,0,270
cariri do tocantins,894,7,123,141,210,414
carmolandia,382,8,55,105,68,146
carrasco bonito,453,3,63,47,156,184
caseara,1003,0,192,99,163,549
centenario,235,0,49,9,110,67
chapada da natividade,662,7,39,41,110,465
chapada de areia,222,0,21,21,77,103
colinas do tocantins,7034,84,948,1372,997,3633
colmeia,1992,9,245,506,310,921
combinado,799,15,133,99,143,409
conceicao do tocantins,906,7,192,202,87,419
couto de magalhaes,824,10,99,80,90,546
cristalandia,1982,15,316,344,479,828
crixas do tocantins,339,0,22,62,61,193
darcinopolis,811,0,95,66,141,508
dianopolis,3276,53,456,1253,254,1260
divinopolis do tocantins,1286,0,127,152,46,961
dois irmaos do tocantins,1720,0,157,159,313,1091
duere,1123,7,98,206,137,675
esperantina,787,0,71,169,336,211
fatima,480,10,64,151,78,177
figueiropolis,1495,0,255,264,168,808
filadelfia,1295,24,215,151,371,535
formoso do araguaia,4639,17,535,1291,477,2320
fortaleza do tabocao,491,3,31,65,113,279
goianorte,891,0,66,53,117,655
goiatins,774,18,100,145,166,346
guarai,5461,47,761,1335,1057,2260
gurupi,19181,275,2344,7913,2392,6257
ipueiras,284,12,5,32,103,132
itacaja,1198,10,172,116,269,631
itaguatins,799,0,118,146,168,368
itapiratins,380,0,65,15,104,196
itapora do tocantins,712,0,55,152,34,471
jau do tocantins,615,9,58,68,151,330
juarina,485,5,60,17,138,265
lagoa da confusao,1160,19,95,319,252,475
lagoa do tocantins,272,0,48,13,123,87
lajeado,608,0,28,355,107,117
lavandeira,170,0,7,24,45,94
lizarda,492,0,58,42,171,221
luzinopolis,316,0,41,16,68,191
marianopolis do tocantins,971,0,113,102,100,656
mateiros,104,0,16,0,1,86
maurilandia do tocantins,289,0,106,1,63,119
miracema do tocantins,6779,54,566,3470,801,1888
miranorte,2745,10,407,964,304,1060
monte do carmo,870,11,84,236,91,449
monte santo do tocantins,366,0,17,19,73,258
muricilandia,429,12,25,86,115,191
natividade,1759,11,218,309,303,918
nazare,682,3,77,234,164,204
nova olinda,1884,9,165,331,170,1210
nova rosalandia,611,4,58,93,224,233
novo acordo,516,9,58,65,178,206
novo alegre,552,17,58,103,129,245
novo jardim,713,4,43,85,70,510
oliveira de fatima,189,0,6,42,119,22
palmas,45825,781,4362,17065,11065,12552
palmeirante,470,0,20,17,134,298
palmeiras do tocantins,660,0,65,197,56,341
palmeiropolis,1848,5,232,294,189,1128
paraiso do tocantins,10524,143,1558,3401,1656,3766
parana,1859,4,255,283,279,1039
pau d'arco,543,11,55,58,29,390
pedro afonso,2520,6,377,523,317,1297
peixe,1968,4,157,267,448,1091
pequizeiro,747,3,33,56,156,498
pindorama do tocantins,619,5,74,135,69,336
piraque,591,5,53,126,141,266
pium,1400,13,121,319,230,718
ponte alta do bom jesus,821,10,89,134,165,423
ponte alta do tocantins,848,10,83,229,203,324
porto alegre do tocantins,461,0,41,34,212,173
porto nacional,12060,168,1545,3779,2266,4302
praia norte,656,4,94,76,264,217
presidente kennedy,872,8,117,159,135,453
pugmil,577,9,72,76,194,227
recursolandia,363,0,49,12,112,190
riachinho,530,0,76,46,227,182
rio da conceicao,260,10,11,54,39,145
rio dos bois,525,3,27,128,216,151
rio sono,717,0,99,159,123,336
sampaio,357,0,12,100,76,169
sandolandia,695,0,48,162,86,398
santa fe do araguaia,1056,0,49,329,224,454
santa maria do tocantins,496,5,76,80,190,146
santa rita do tocantins,450,7,52,62,97,232
santa rosa do tocantins,659,15,69,140,196,239
santa tereza do tocantins,369,0,38,68,8,254
santa terezinha do tocantins,261,0,29,95,38,99
sao bento do tocantins,575,0,54,31,161,328
sao felix do tocantins,167,2,28,22,48,66
sao miguel do tocantins,1050,12,134,109,47,748
sao salvador do tocantins,511,6,39,75,128,263
sao sebastiao do tocantins,565,0,65,54,195,252
sao valerio da natividade,1028,4,99,148,78,700
silvanopolis,861,11,96,174,192,387
sitio novo do tocantins,1183,11,70,164,197,741
sucupira,400,8,71,59,115,146
taguatinga,2654,13,401,424,437,1379
taipas do tocantins,258,0,21,10,100,126
talisma,605,9,42,102,76,375
tocantinia,895,0,168,348,169,210
tocantinopolis,5220,10,857,1508,535,2309
tupirama,304,0,115,59,39,90
tupiratins,313,4,25,54,105,125
wanderlandia,2373,0,222,489,279,1382
xambioa,3051,0,391,417,730,1513
