city,total
acailandia,32290
afonso cunha,1599
agua doce do maranhao,3507
alcantara,7220
aldeias altas,6740
altamira do maranhao,3268
alto alegre do maranhao,7232
alto alegre do pindare,10509
alto parnaiba,3150
amapa do maranhao,1858
amarante do maranhao,11535
anajatuba,7745
anapurus,3711
apicum-acu,3508
araguana,3235
araioses,12444
arame,10198
arari,9325
axixa,3143
bacabal,31191
bacabeira,3523
bacuri,4825
bacurituba,1569
balsas,20809
barao de grajau,5466
barra do corda,28529
barreirinhas,13410
bela vista do maranhao,3540
belagua,1759
benedito leite,1954
bequimao,6277
bernardo do mearim,1799
boa vista do gurupi,1571
bom jardim,12750
bom jesus das selvas,6056
bom lugar,4101
brejo,9868
brejo de areia,3786
buriti,8294
buriti bravo,7484
buriticupu,19514
buritirana,4868
cachoeira grande,2342
cajapio,2963
cajari,4595
campestre do maranhao,4235
candido mendes,5574
cantanhede,5995
capinzal do norte,3967
carolina,8036
carutapera,6459
caxias,46826
cedral,3221
central do maranhao,2128
centro do guilherme,2237
centro novo do maranhao,5253
chapadinha,21390
cidelandia,4227
codo,37713
coelho neto,14902
colinas,12611
conceicao do lago-acu,3854
coroata,20523
cururupu,11221
davinopolis,4164
dom pedro,8196
duque bacelar,3088
esperantinopolis,7446
estreito,8195
feira nova do maranhao,2619
fernando falcao,1829
formosa da serra negra,4873
fortaleza dos nogueiras,3872
fortuna,5489
godofredo viana,2441
goncalves dias,6277
governador archer,3282
governador edison lobao,4078
governador eugenio barros,5251
governador luiz rocha,2439
governador newton bello,4326
governador nunes freire,8687
graca aranha,2298
grajau,15810
guimaraes,4007
humberto de campos,6996
icatu,7087
igarape do meio,3369
igarape grande,3644
imperatriz,82271
itaipava do grajau,4728
itapecuru mirim,13898
itinga do maranhao,8800
jatoba,1847
jenipapo dos vieiras,3736
joao lisboa,8598
joselandia,5377
junco do maranhao,1943
lago da pedra,14561
lago do junco,3588
lago dos rodrigues,3056
lago verde,4487
lagoa do mato,3571
lagoa grande do maranhao,3216
lajeado novo,2181
lima campos,4136
loreto,3491
luis domingues,1964
magalhaes de almeida,4651
maracacume,5140
maraja do sena,2560
maranhaozinho,3025
mata roma,4317
matinha,6883
matoes,9558
matoes do norte,2616
milagres do maranhao,1817
mirador,6905
miranda do norte,5459
mirinzal,4198
moncao,9007
montes altos,3908
morros,4763
nina rodrigues,2710
nova colinas,1380
nova iorque,1737
nova olinda do maranhao,5349
olho d'agua das cunhas,5560
olinda nova do maranhao,3511
paco do lumiar,26422
palmeirandia,5461
paraibano,6681
parnarama,11858
passagem franca,5591
pastos bons,5825
paulino neves,3683
paulo ramos,6952
pedreiras,14454
pedro do rosario,6237
penalva,10401
peri mirim,4727
peritoro,6336
pindare-mirim,9272
pinheiro,22038
pio xii,9685
pirapemas,5246
pocao de pedras,8077
porto franco,6176
porto rico do maranhao,1946
presidente dutra,14306
presidente juscelino,3792
presidente medici,1861
presidente sarney,4443
presidente vargas,3623
primeira cruz,3547
raposa,6124
riachao,6904
ribamar fiquene,2389
rosario,11100
sambaiba,1678
santa filomena do maranhao,1668
santa helena,10344
santa ines,23633
santa luzia,24344
santa luzia do parua,7036
santa quiteria do maranhao,9611
santa rita,8754
santana do maranhao,3871
santo amaro do maranhao,2842
santo antonio dos lopes,5240
sao benedito do rio preto,5892
sao bento,10420
sao bernardo,7942
sao domingos do azeitao,2165
sao domingos do maranhao,12316
sao felix de balsas,1914
sao francisco do brejao,2593
sao francisco do maranhao,4943
sao joao batista,7003
sao joao do caru,4839
sao joao do paraiso,3785
sao joao do soter,5419
sao joao dos patos,8151
sao jose de ribamar,37535
sao jose dos basilios,2685
sao luis,287204
sao luis gonzaga do maranhao,8443
sao mateus do maranhao,12536
sao pedro da agua branca,3971
sao pedro dos crentes,1402
sao raimundo das mangabeiras,5087
sao raimundo do doca bezerra,2440
sao roberto,1516
sao vicente ferrer,5831
satubinha,3852
senador alexandre costa,3019
senador la rocque,5792
serrano do maranhao,2909
sitio novo,5390
sucupira do norte,3764
sucupira do riachao,1569
tasso fragoso,2184
timbiras,9455
timon,46529
trizidela do vale,6166
tufilandia,1937
tuntum,13602
turiacu,10215
turilandia,6464
tutoia,12405
urbano santos,6266
vargem grande,11864
viana,15476
vila nova dos martirios,2590
vitoria do mearim,10207
vitorino freire,10183
ze doca,15512
