city,total,regular,military_and_gov,irregular,entrepreneur,employers
guarapuava,1298.96,1080.66,2309.42,590.83,1359.15,7049.45
guaraquecaba,494.59,762.67,1269.53,334.45,336.87,700
guaratuba,1054.07,1006.26,1407.17,675.61,1120.34,2596.83
honorio serpa,803.67,838.04,1212.51,536.34,795.75,1461.23
ibaiti,1285.53,886.69,1759.94,515.62,2446.17,4318.25
ibema,867.27,802.22,1716.35,529.19,1015.82,1969.18
ibipora,1129.63,1025.92,1784.6,755.55,1289.99,3566.09
icaraima,874.75,971.37,1442.35,484.3,950.45,2699.03
iguaracu,933.32,923.9,1195.06,644.6,1086.21,3091.5
iguatu,850.34,741.85,1209.27,419.6,996.69,3955.32
imbau,840.71,869.7,1297.3,447.02,781.79,4675
imbituva,961.18,900.21,1328.41,522.06,878.92,6316.31
inacio martins,759.72,887.59,1281.81,537.43,584.48,4260.59
inaja,840.67,862.49,726.24,419.58,920.05,4610.24
indianopolis,908.82,894.49,1195.36,569.91,1251.55,1434.12
ipiranga,1048.09,1031.44,1687.4,504.45,930.52,9072.8
ipora,940.03,802.51,1636.48,511.63,1031.65,3418.78
iracema do oeste,733,772.61,1080.68,398.39,836.87,1761.39
irati,1089.28,1041.5,2115.53,567.68,1035.93,5518.62
iretama,957.7,870.92,1480.84,904.77,833.73,7235.92
itaguaje,856.02,832.78,1505,452.6,881.42,3379.25
itaipulandia,1174.03,861.01,1784.28,871.13,1757.96,2608.34
itambaraca,805.55,769.28,1338.25,490.21,1106.28,2387.68
itambe,1014.74,943.76,1452.57,623.17,1447.32,1368.21
itapejara d'oeste,1025.17,915.45,2273.21,602.49,1039.78,6039.95
itaperucu,891.44,863.15,1152.5,663.42,1091.44,2562.36
itauna do sul,791.83,852.73,1065.53,458.05,856.76,1333.05
ivai,690.16,854.48,1725.52,368.05,664.2,2810.16
ivaipora,1025.27,1008.05,2373.36,509.59,988.08,2554.25
ivate,930.59,956.76,1454.23,524.55,1104.81,1292.45
ivatuba,1024.09,980.4,1059.61,971.93,970.17,3062.81
jaboti,877.98,883.01,1603.22,504.91,1137.82,2015.47
jacarezinho,1237.43,1067.74,7402.2,613.27,1386.23,2844.53
jaguapita,1040.16,937.1,1474.27,616.32,1653.04,3366.84
jaguariaiva,1154.64,1093.44,1453.03,530.41,1702.43,4659.69
jandaia do sul,1144.18,971.99,2054.64,590.1,1607.98,2920.2
janiopolis,952.72,878.41,1237,436.69,1281.36,4670.82
japira,685.81,967.22,1972.95,437.28,633.14,2239.26
japura,870.84,846.94,1219.78,627.95,1077.86,1959.48
jardim alegre,773.81,945.74,1383.32,442.56,760.06,3363.57
jardim olinda,892.12,871.14,1305.66,675.82,784.98,2468.07
jataizinho,877.01,816.07,1439.27,553.01,1223.48,2522.2
jesuitas,740.25,835.44,1390.21,482.34,718.16,2899.07
joaquim tavora,895.21,865.02,1623.9,596.1,896.05,3048.72
jundiai do sul,714.11,873.44,1800,474.54,761.38,3007.47
juranda,869.1,896.85,1465.7,504.55,1020.91,2256.76
jussara,1073.9,884.57,1597.23,504.38,1522.06,6459.74
kalore,736.53,767.92,2693.26,406.63,828.66,1913.33
lapa,961.54,927.78,1870.22,568.63,960.09,2467.16
laranjal,606.71,781.19,1473.75,425.42,668.58,-
laranjeiras do sul,1082.72,1121.62,2113.2,498.85,1186.4,3228.05
leopolis,772.37,845.46,2011.06,497.74,873.09,1214.68
lidianopolis,692.26,808.47,1057.15,453.86,734.25,-
lindoeste,852.81,862.61,893.2,503.73,1005.08,1000
loanda,1056.93,917.53,2095.05,587.77,1441.22,2079.39
lobato,925.67,897.39,1262.53,550.12,1132.76,1625.97
londrina,1565.74,1304.92,3060.62,828.72,1804.9,5237.42
luiziana,865.52,839.99,1264.81,429.3,1302.58,2938.2
lunardelli,675.78,862.22,1250.51,435.96,688.84,1768.85
lupionopolis,881.49,756.41,2674.4,423.35,1094.33,8035.43
mallet,879.86,944.96,1168.04,576.79,836.12,2331.55
mambore,1115.48,1050.4,1641.74,535.41,1409.45,3097.99
mandaguacu,1064.43,991.15,1407.36,676.71,1462.88,2925.8
mandaguari,1059.21,1011.2,2039.82,563.15,1096.02,3443.29
mandirituba,858.75,823.14,1324.99,523.78,948.99,1372.38
manfrinopolis,768.08,734.95,1136.91,470.59,883.4,-
mangueirinha,926.43,867.1,1032.42,568.1,1156.58,2391.93
