city,total,regular,military_and_gov,irregular,employers,entrepreneur
abaiara,100,100,151,80,1500,150
acarape,151,200,263,130,400,150
acarau,125,200,160,120,70,100
acopiara,139,152,226,80,2500,150
aiuaba,84,105,151,80,550,75
alcantaras,100,150,200,120,600,60
altaneira,100,151,130,55,453,151
alto santo,151,220,200,120,1000,151
amontada,150,151,180,100,600,150
antonina do norte,100,230,83,87,3000,150
apuiares,100,151,134,80,600,100
aquiraz,151,200,226,151,600,151
aracati,151,170,200,140,600,150
aracoiaba,125,160,151,96,600,150
ararenda,75,151,100,60,600,60
araripe,100,151,1200,90,790,90
aratuba,100,151,161,90,80,100
arneiroz,100,138,151,100,760,70
assare,110,180,151,110,300,100
aurora,100,151,194,70,100,95
baixio,100,110,138,75,0,100
banabuiu,144,212,180,120,1000,150
barbalha,151,184,302,100,800,110
barreira,150,191,200,100,300,130
barro,100,151,195,80,200,100
barroquinha,100,150,147,100,500,90
baturite,151,200,322,100,700,100
beberibe,151,151,170,130,500,120
bela cruz,100,150,150,90,400,100
boa viagem,100,170,200,90,400,80
brejo santo,150,200,240,100,1000,151
camocim,140,160,205,100,700,103
campos sales,120,158,240,80,1000,100
caninde,151,205,200,150,500,120
capistrano,151,200,260,100,500,120
caridade,120,220,120,120,1500,100
carire,90,166,151,60,700,80
caririacu,80,155,202,70,300,60
carius,150,151,170,100,500,150
carnaubal,120,151,169,100,302,100
cascavel,151,151,180,150,800,150
catarina,150,151,172,80,300,150
catunda,55,110,110,60,70,40
caucaia,200,266,300,151,1208,200
cedro,150,151,151,80,1000,150
chaval,80,151,215,60,500,60
choro,136,158,155,120,500,151
chorozinho,151,151,180,100,900,151
coreau,51,150,200,80,302,40
crateus,150,250,300,100,880,120
crato,151,170,430,120,1000,151
croata,70,174,240,80,300,50
cruz,100,140,151,100,4000,100
deputado irapuan pinheiro,60,100,177,50,6000,50
erere,150,230,200,70,3000,150
eusebio,180,200,400,151,2000,200
farias brito,80,151,180,72,200,60
forquilha,151,151,342,140,1300,150
fortaleza,270,300,700,160,2000,300
fortim,150,196,300,150,500,100
frecheirinha,120,144,151,100,500,150
general sampaio,100,151,151,70,30,70
graca,100,151,151,80,500,90
granja,80,152,73,80,650,70
