city,total,adequada,semi_adequada,inadequada
angra dos reis,32716,16482,16024,209
aperibe,2457,1397,1021,39
araruama,23677,10735,12376,566
areal,2615,616,1961,38
armacao dos buzios,5340,1061,4251,28
arraial do cabo,6975,3395,3545,35
barra do pirai,25377,11479,13370,528
barra mansa,47897,25456,22201,240
belford roxo,121650,44371,75053,2226
bom jardim,6502,2089,4094,320
bom jesus do itabapoana,9661,6151,3210,300
cabo frio,36403,12593,23276,533
cachoeiras de macacu,13859,5309,7701,849
cambuci,4365,1669,2439,256
campos dos goytacazes,112095,42798,65686,3610
cantagalo,5402,2478,2632,293
carapebus,2451,432,1902,117
cardoso moreira,3770,1302,2203,265
carmo,4270,1319,2841,110
casimiro de abreu,6312,3335,2885,92
comendador levy gasparian,2122,1029,1046,47
conceicao de macabu,5161,1127,3925,109
cordeiro,5289,3611,1612,66
duas barras,2920,672,2099,149
duque de caxias,219876,80776,134585,4515
engenheiro paulo de frontin,3643,519,3042,82
guapimirim,10622,2240,8189,193
iguaba grande,4479,2045,2407,26
itaborai,53302,6930,42506,3867
itaguai,22985,8879,13763,343
italva,3842,1924,1695,223
itaocara,7060,3388,3304,369
itaperuna,25052,15660,8867,525
itatiaia,6797,3986,2791,20
japeri,23029,4573,17225,1231
laje do muriae,2186,853,1236,97
macae,37959,21912,15598,449
macuco,1256,752,473,31
mage,58130,12556,43722,1853
mangaratiba,7189,3021,4016,151
marica,22864,2652,19091,1121
mendes,5112,1939,3090,83
miguel pereira,7147,1241,5763,143
miracema,7305,4383,2697,224
natividade,4342,2040,2100,202
nilopolis,44407,28671,15720,15
niteroi,143823,90425,52796,602
nova friburgo,53536,30678,22365,493
nova iguacu,260594,113851,142995,3748
paracambi,11419,4509,6649,261
paraiba do sul,10352,5505,4579,268
parati,7811,2813,4755,243
paty do alferes,6813,1997,4289,528
petropolis,84404,29846,54119,439
pinheiral,5330,2790,2500,40
pirai,6224,3210,2844,170
porciuncula,4490,2344,1988,158
porto real,3148,1427,1691,30
quatis,2912,1283,1560,69
queimados,33352,11987,20556,809
quissama,3701,529,2983,190
resende,29399,20779,8428,192
rio bonito,13715,4762,8354,599
rio claro,4355,1459,2687,209
rio das flores,1998,787,1128,83
rio das ostras,10571,237,10142,191
rio de janeiro,1801863,1297268,502748,1846
santa maria madalena,3015,1045,1744,226
santo antonio de padua,11386,5647,5283,456
sao fidelis,11192,5708,4878,606
sao francisco de itabapoana,11663,88,9363,2211
sao goncalo,262871,130123,129243,3506
sao joao da barra,8151,2380,5618,153
sao joao de meriti,129323,71867,57227,228
sao jose de uba,1790,288,1325,177
sao jose do vale do rio preto,5421,785,4459,177
sao pedro da aldeia,17838,9291,8214,333
sao sebastiao do alto,2371,570,1479,323
sapucaia,4825,2027,2579,219
saquarema,15023,2084,12257,682
seropedica,18114,6109,11655,350
silva jardim,5896,1147,4480,269
sumidouro,4182,34,3701,447
tangua,7246,758,6124,364
teresopolis,41293,15630,24948,715
trajano de morais,2837,579,2035,224
tres rios,19920,11390,8268,262
valenca,18706,10283,7960,463
varre-sai,2105,181,1675,249
vassouras,8928,4332,4336,260
volta redonda,70867,53207,17576,84
