city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
serra talhada,29.54,21.03,14.17,5.58,30.16,20.74,59.83,48.91
surubim,32.51,24.87,14.73,5.82,33.01,23.31,64.15,57.08
timbauba,28.68,21.39,13.73,5.99,29.33,20.66,59.51,48.69
de 100.001 a 500.000 ,16.34,12.03,7.77,3.56,16.04,11.19,40.91,32.08
cabo de santo agostinho,20.5,13.01,9.11,3.61,21.28,12.08,54.78,39.96
camaragibe,15.74,11.13,5.79,2.19,15.75,9.84,44.37,33.92
caruaru,22.59,15.58,12.15,4.99,21.72,14.89,49.03,38.98
garanhuns,24.28,17.57,11.19,5.12,24.47,16.44,53.2,43.73
igarassu,20.32,14.2,8.63,3.39,20.38,12.95,55.62,43.46
olinda,9.93,7.03,4.62,2.25,9.41,6.23,24.63,17.25
paulista,8.43,6.18,3.45,1.83,7.76,5.3,28.36,18.08
petrolina,17.7,12.05,8.11,3.53,18.82,12.05,47.59,36.43
sao lourenco da mata,22.76,15.96,10.85,4.61,23.28,15.14,55.28,43.12
vitoria de santo antao,27.54,21.77,13.88,6.22,28.26,21.37,57.78,50.37
mais de 500.000 ,11.3,7.7,5.28,2.37,11.03,7.07,26.93,19.01
jaboatao dos guararapes,13.2,9.12,6.42,2.66,12.96,8.41,36.37,25.65
recife,10.55,7.13,4.81,2.25,10.25,6.51,24.24,16.88
