city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
carpina,2.9,12.55,87.49,81.1,9.61,6.35
escada,33.78,32.18,44.06,57.17,22.16,10.65
goiana,17.25,25.7,65.22,65.61,17.53,8.69
gravata,55.45,61.78,26.22,27.63,18.33,10.59
ipojuca,20.78,36.78,54.68,51.66,24.53,11.56
limoeiro,18.96,38.01,56.32,50.75,24.72,11.24
moreno,17.85,43.92,64.07,45.46,18.07,10.62
ouricuri,24.43,41.2,21.64,27.55,53.92,31.25
palmares,54.33,54.83,28.29,30.53,17.38,14.63
paudalho,7.84,21.02,63.89,60.82,28.26,18.16
pesqueira,37.02,51.96,31.59,31.58,31.4,16.47
salgueiro,45.98,61.71,39.42,30.09,14.6,8.2
santa cruz do capibaribe,59.81,72.82,29.95,24.34,10.25,2.84
sao bento do una,33.58,40.37,32.57,27.43,33.85,32.2
serra talhada,49.29,66.27,22.08,13.86,28.63,19.86
surubim,40.96,54.97,31.1,31.23,27.94,13.8
timbauba,30.05,57.81,47.83,35.91,22.12,6.28
de 100.001 a 500.000 ,50.33,54.92,42.42,41.44,7.25,3.63
cabo de santo agostinho,35.67,46.41,55.52,49.15,8.81,4.44
camaragibe,16.54,34.03,75.27,64.8,8.19,1.17
caruaru,66.76,77.15,22.44,20.44,10.8,2.41
garanhuns,22.94,49.74,65.9,41.31,11.16,8.96
igarassu,8.18,16.58,78.26,76.99,13.56,6.43
olinda,49.23,53.97,48.33,45.41,2.44,0.62
paulista,55.83,54.25,42.28,44.8,1.89,0.95
petrolina,65.35,70.99,24.12,24.08,10.53,4.93
sao lourenco da mata,24.51,33.74,55.29,56.58,20.2,9.69
vitoria de santo antao,60.18,56.18,25.8,35.25,14.01,8.57
mais de 500.000 ,44.85,53.46,51.97,45.68,3.18,0.85
jaboatao dos guararapes,32.42,38.43,58.7,59.57,8.89,2
recife,49.83,59.75,49.28,39.87,0.89,0.38
