city,total,adequada,semi_adequada,inadequada
abaiara,1986,0,1495,491
acarape,3014,42,2446,525
acarau,10343,439,7621,2283
acopiara,11702,953,8404,2345
aiuaba,3310,0,2461,849
alcantaras,2219,82,1388,749
altaneira,1499,17,1257,225
alto santo,3668,441,2395,832
amontada,6759,216,4547,1996
antonina do norte,1559,162,1178,219
apuiares,2928,62,2532,334
aquiraz,14014,649,11707,1658
aracati,14224,204,12477,1543
aracoiaba,5632,124,4156,1352
ararenda,2469,0,1860,609
araripe,4216,336,2877,1003
aratuba,2527,98,1809,621
arneiroz,1669,65,1116,488
assare,5075,18,4026,1031
aurora,6040,18,4602,1419
baixio,1351,13,1086,251
banabuiu,3567,66,2653,847
barbalha,10473,327,9166,980
barreira,4073,0,2974,1100
barro,4779,38,3740,1001
barroquinha,2983,5,2252,727
baturite,7032,1717,4445,869
beberibe,9967,14,7966,1987
bela cruz,6095,22,4574,1500
boa viagem,12147,2459,7228,2460
brejo santo,8857,1665,5797,1396
camocim,12046,1117,9151,1778
campos sales,6160,1185,3990,984
caninde,15724,1396,11336,2991
capistrano,3527,190,2498,839
caridade,3517,48,2764,705
carire,4293,53,3376,863
caririacu,5653,91,4217,1344
carius,4633,69,3289,1276
carnaubal,3530,9,2874,646
cascavel,13714,75,11508,2131
catarina,3158,36,2418,705
catunda,2132,4,1635,492
caucaia,59347,15543,39438,4365
cedro,6078,9,5097,971
chaval,2599,3,1736,860
choro,2580,22,1763,794
chorozinho,4482,0,3574,908
coreau,4691,186,3395,1110
crateus,18314,4432,11489,2393
crato,24711,6080,16536,2095
croata,3724,190,2569,965
cruz,4375,39,3288,1049
deputado irapuan pinheiro,2148,0,1692,456
erere,1387,203,833,350
eusebio,7249,70,6539,640
farias brito,4849,59,3758,1032
forquilha,4182,860,2770,552
fortaleza,525991,220712,301927,3352
fortim,2813,22,2387,404
frecheirinha,2817,34,2299,483
general sampaio,1061,0,878,183
graca,3408,6,2469,933
granja,10376,39,7447,2889
granjeiro,1116,51,671,394
groairas,2230,222,1676,332
guaiuba,4473,138,3612,724
guaraciaba do norte,7962,153,5743,2066
guaramiranga,1207,99,784,325
hidrolandia,4289,89,3357,843
horizonte,8061,16,6993,1053
ibaretama,2829,12,2025,792
ibiapina,4880,9,3722,1150
ibicuitinga,2205,162,1708,336
icapui,3795,34,3611,150
ico,14736,771,11081,2884
iguatu,21817,2003,18240,1574
independencia,6226,1323,3544,1359
ipaporanga,2842,4,2118,721
ipaumirim,2834,359,1989,486
ipu,9410,125,7651,1634
ipueiras,9059,458,6499,2102
iracema,3231,729,2158,344
iraucuba,4183,780,2567,835
