city,total
abreulandia,888
aguiarnopolis,1130
alianca do tocantins,2405
almas,2682
alvorada,3233
ananas,3649
angico,1078
aparecida do rio negro,1222
aragominas,2441
araguacema,1970
araguacu,3907
araguaina,41546
araguana,1589
araguatins,9285
arapoema,2653
arraias,3584
augustinopolis,4802
aurora do tocantins,1239
axixa do tocantins,2997
babaculandia,3498
bandeirantes do tocantins,1111
barra do ouro,1229
barrolandia,2002
bernardo sayao,1961
bom jesus do tocantins,877
brasilandia do tocantins,827
brejinho de nazare,1688
buriti do tocantins,2522
cachoeirinha,705
campos lindos,1839
cariri do tocantins,1178
carmolandia,860
carrasco bonito,1093
caseara,1413
centenario,833
chapada da natividade,1180
chapada de areia,519
colinas do tocantins,9750
colmeia,3979
combinado,1668
conceicao do tocantins,1498
couto de magalhaes,1700
cristalandia,2653
crixas do tocantins,559
darcinopolis,1587
dianopolis,5135
divinopolis do tocantins,2322
dois irmaos do tocantins,3188
duere,1783
esperantina,2725
fatima,1394
figueiropolis,2224
filadelfia,2884
formoso do araguaia,7474
fortaleza do tabocao,986
goianorte,2030
goiatins,3895
guarai,7540
gurupi,24941
ipueiras,400
itacaja,2585
itaguatins,2317
itapiratins,1297
itapora do tocantins,1062
jau do tocantins,1369
juarina,979
lagoa da confusao,2441
lagoa do tocantins,762
lajeado,863
lavandeira,489
lizarda,1253
luzinopolis,705
marianopolis do tocantins,1288
mateiros,535
maurilandia do tocantins,1095
miracema do tocantins,9118
miranorte,4723
monte do carmo,1936
monte santo do tocantins,764
muricilandia,1057
natividade,2869
nazare,1907
nova olinda,3614
nova rosalandia,1236
novo acordo,997
novo alegre,774
novo jardim,758
oliveira de fatima,377
palmas,52057
palmeirante,1371
palmeiras do tocantins,1626
palmeiropolis,2899
paraiso do tocantins,13566
parana,3571
pau d'arco,1615
pedro afonso,3190
peixe,3411
pequizeiro,1862
pindorama do tocantins,1475
piraque,877
pium,2069
ponte alta do bom jesus,1545
ponte alta do tocantins,2111
porto alegre do tocantins,808
porto nacional,15925
praia norte,2266
presidente kennedy,1441
pugmil,827
recursolandia,1081
riachinho,1361
rio da conceicao,381
rio dos bois,1001
rio sono,2093
sampaio,951
sandolandia,1484
santa fe do araguaia,2063
santa maria do tocantins,731
santa rita do tocantins,797
santa rosa do tocantins,1465
santa tereza do tocantins,746
santa terezinha do tocantins,915
sao bento do tocantins,1385
sao felix do tocantins,399
sao miguel do tocantins,3095
sao salvador do tocantins,999
sao sebastiao do tocantins,1283
sao valerio da natividade,1988
silvanopolis,1721
sitio novo do tocantins,3311
sucupira,646
taguatinga,4624
taipas do tocantins,557
talisma,984
tocantinia,1998
tocantinopolis,7640
tupirama,455
tupiratins,568
wanderlandia,3811
xambioa,4268
